Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.112;0.176	#	#	#	#	-0.267;0.211	#	#	-0.293;0.336	-0.158;0.055	00110000000000	0.000	0.064	2	41.32	58	33	0.40		3	47
#	#	#	#	#	-0.285;0.213	-0.320;0.223	#	#	-0.352;0.185	00001100000110	0.000	0.052	1	41.07	81	34	0.30		3	58
-0.342;0.177	#	#	-0.112;0.167	-0.294;0.180	#	0.128;0.170	#	#	#	01100000011110	0.000	0.000	1	19.00	35	35	0.40		0	1
-0.155;0.111	#	#	0.064;0.494	#	#	#	-0.248;0.317	-0.050;0.202	#	00001100000000	0.000	0.111	1	28.56	36	36	0.40		1	9
-0.245;0.183	-0.179;0.082	#	-0.286;0.144	#	#	-0.120;0.505	#	-0.370;0.288	-0.189;0.110	00111100000110	0.000	0.027	1	40.52	37	37	0.60		1	37
#	#	-0.358;0.098	#	-0.203;0.249	#	-0.240;0.224	-0.151;0.060	#	#	11000001100110	0.000	0.027	1	36.36	38	38	0.40		1	37
#	-0.329;0.089	-0.096;0.137	-0.308;0.085	#	-0.307;0.405	#	-0.134;0.352	#	#	11000000000110	0.000	0.118	1	40.46	65	40	0.50		4	34
-0.269;0.137	#	#	-0.271;0.197	#	#	#	-0.115;0.128	-0.382;0.024	#	01100000011000	0.000	0.038	1	36.35	41	41	0.40		1	26
-0.290;0.117	#	#	#	-0.191;0.039	#	-0.264;0.310	#	-0.054;0.343	#	00000000000110	0.000	0.033	1	39.22	45	45	0.40		1	30
#	-0.208;0.143	#	#	#	#	-0.231;0.172	#	-0.084;0.255	-0.277;0.314	00000001100000	0.000	0.000	1	40.24	47	47	0.40		0	36
#	-0.236;0.085	#	#	#	#	-0.264;0.018	#	-0.163;0.156	#	11000000000000	0.000	0.000	1	36.24	48	48	0.30		0	19
#	#	-0.254;-0.013	#	#	-0.200;0.156	#	#	-0.216;0.248	#	00000011000110	0.000	0.111	2	34.96	82	49	0.30		3	27
-0.166;0.100	#	#	-0.025;0.179	#	-0.189;0.483	#	-0.324;0.006	#	-0.084;0.255	01100000000110	0.000	0.200	1	29.80	50	50	0.50		1	5
#	#	-0.115;0.162	#	#	#	-0.084;0.208	#	#	-0.209;0.201	11001100001110	0.000	0.029	1	40.28	51	51	0.30		1	35
#	#	#	-0.193;0.343	-0.118;0.061	-0.405;0.073	#	-0.281;0.237	#	#	00110000000110	0.000	0.138	1	40.96	77	52	0.40		4	29
#	#	#	0.040;0.259	#	-0.213;0.520	-0.470;0.164	-0.215;-0.019	#	#	10000000000110	0.000	0.200	1	28.00	54	54	0.40		1	5
#	-0.269;0.104	-0.216;0.106	#	#	#	#	#	-0.341;0.346	-0.342;0.249	10000111001110	0.000	0.028	1	40.21	55	55	0.40		1	36
#	#	#	-0.231;0.117	#	-0.383;0.238	#	-0.111;0.312	#	#	00011000000110	0.000	0.152	1	40.26	79	56	0.30		5	33
-0.112;0.271	#	#	#	#	-0.267;0.211	#	#	-0.293;0.336	-0.158;0.055	00110000000000	0.000	0.033	1	41.50	58	58	0.40		1	30
#	#	#	#	#	#	#	-0.098;0.160	-0.210;0.177	-0.407;0.177	11000000000000	0.000	0.077	1	41.16	61	61	0.30		2	26
#	#	#	#	#	#	#	#	-0.320;-0.069	#	01101100011110	0.000	0.091	1	32.01	62	62	0.10		1	11
-0.052;0.159	#	-0.184;0.299	-0.261;-0.057	0.012;0.206	#	#	#	#	#	01100000000110	0.031	0.500	1	33.00	63	63	0.40		1	2
-0.101;0.193	-0.357;0.188	#	-0.276;0.215	#	#	-0.113;0.179	#	#	#	11110000000110	0.000	0.037	1	40.79	64	64	0.40		1	27
-0.131;0.129	#	-0.237;0.264	-0.079;0.193	-0.223;0.065	-0.253;0.307	#	-0.267;0.149	-0.273;0.394	0.184;0.626	00000011000110	1.000	1.000	1	26.00	66	66	0.80		1	1
#	#	-0.227;0.256	#	-0.197;0.026	-0.109;0.267	-0.288;0.448	#	-0.328;0.243	#	01110000000110	0.000	0.000	1	40.97	69	69	0.50		0	13
-0.228;0.263	-0.323;0.080	-0.263;-0.003	#	#	-0.365;0.113	-0.388;0.096	-0.269;0.037	-0.430;0.054	-0.283;0.072	11110000000110	0.000	0.143	1	39.71	71	71	0.80		1	7
#	#	-0.383;0.288	-0.129;0.082	-0.048;0.153	#	-0.232;0.181	0.038;0.234	#	#	00111000000110	0.001	0.250	1	43.25	72	72	0.50		1	4
#	-0.198;0.131	-0.181;0.222	#	#	#	#	#	#	-0.298;0.294	00001100000110	0.000	0.115	1	39.58	81	74	0.30		3	26
#	-0.166;0.163	-0.232;0.081	#	#	#	-0.341;0.172	#	#	#	00111100000111	0.000	0.045	1	40.28	75	75	0.30		1	22
-0.161;0.112	#	-0.270;0.052	0.079;0.427	-0.066;0.142	-0.195;0.273	#	#	-0.261;0.261	-0.357;0.132	10000000000000	0.001	0.250	1	37.00	78	78	0.70		1	4
#	-0.255;0.171	-0.082;0.500	#	-0.199;0.125	-0.248;0.047	-0.271;0.323	#	#	#	01100000000110	0.000	0.000	1	41.89	80	80	0.50		0	9
#	#	-0.345;0.263	#	#	-0.285;0.213	-0.320;0.223	#	#	-0.352;0.185	00001100000110	0.000	0.062	1	42.19	81	81	0.40		1	16
#	#	#	#	-0.241;0.068	#	-0.320;0.223	#	#	-0.352;0.185	00001100000110	0.000	0.083	1	42.29	81	81	0.30		1	12
#	#	-0.254;-0.013	#	#	-0.015;0.156	#	#	-0.216;0.248	#	00000011000110	0.000	0.000	1	32.20	82	82	0.30		0	5
0.007;0.288	#	#	#	#	-0.194;0.202	#	-0.313;0.079	#	-0.224;0.091	00000110000000	0.004	0.333	1	36.33	83	83	0.40		1	3
#	#	#	#	#	-0.155;0.303	#	-0.123;0.081	-0.381;0.248	-0.210;0.129	00000110001100	0.000	0.125	1	42.38	85	85	0.40		1	8
-0.202;0.128	-0.117;0.249	-0.174;0.076	#	-0.154;0.227	-0.303;0.246	#	-0.249;0.237	#	-0.253;0.243	00110000000111	0.000	0.091	1	43.36	87	87	0.70		1	11
#	#	#	-0.198;0.293	#	-0.111;0.327	#	-0.197;0.383	#	#	00000000011000	0.000	0.125	1	40.12	91	91	0.30		1	8
#	#	#	#	#	-0.260;0.137	-0.219;0.184	-0.237;0.021	-0.191;0.322	#	00000000011110	0.000	0.167	1	35.83	92	92	0.40		1	6
#	-0.159;0.379	-0.339;0.135	#	#	#	-0.268;0.427	-0.399;0.189	#	#	11000000000000	0.000	0.167	1	40.17	94	94	0.40		1	6
-0.249;0.039	#	-0.232;0.161	#	0.036;0.237	#	-0.125;0.127	-0.264;0.050	#	#	10110000000000	1.000	1.000	1	42.00	95	95	0.50		1	1
#	-0.354;0.161	#	#	#	#	-0.309;0.296	-0.291;0.250	-0.133;0.148	-0.015;0.459	00110000000110	0.004	0.333	1	44.67	96	96	0.50		1	3
#	#	-0.132;0.190	-0.312;0.247	#	#	-0.230;0.173	#	#	#	00110011000000	0.004	0.333	1	47.33	97	97	0.30		1	3
-0.151;0.059	#	#	#	#	#	-0.096;0.176	#	#	-0.158;0.181	11001100000110	0.031	0.500	1	52.50	98	98	0.30		1	2
