-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	loss
0	0	1	1	#	0	0	0	0	#	1	1	0	0	0	0	1	0	0	0	#	0	0	100000000000000000000000000000000000000001000	0.627	0.977	1	64.32	9625	129	0.87		13	27	0.023
0	#	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	100000000000000000000000000000000000000000000	0.522	0.968	1	65.33	9627	131	0.96		13	25	0.032
#	0	0	1	0	0	0	0	0	#	0	1	0	0	0	1	1	0	0	0	0	0	0	000000000001000000000000000000000000000001000	1.000	1.000	4	21.81	9629	133	0.91		13	13	0.000
0	0	#	0	0	0	0	0	0	0	0	#	0	1	0	0	0	0	0	#	0	0	#	000000000000000000000100000000000000000000000	0.427	0.958	1	176.92	9639	143	0.83		13	204	0.042
1	0	0	0	0	0	0	#	1	0	0	0	#	1	0	0	1	#	0	#	0	0	0	000010000000000000000001000000000000000000000	1.000	1.000	2	48.73	9643	147	0.83		13	13	0.000
0	0	#	0	#	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	000000000000000000000000000000000000100000000	1.000	1.000	6	7.71	9644	148	0.91		13	13	0.000
0	0	0	0	#	0	0	0	0	0	0	1	#	0	0	#	1	0	#	1	#	0	#	000000000100000000000000000000000000000000000	1.000	1.000	1	57.01	9646	150	0.74		36	36	0.000
0	0	0	1	#	#	0	0	0	0	1	1	0	0	0	0	1	0	#	0	#	0	0	000000000000000000000000000000000000100001000	0.676	0.981	2	116.10	9648	152	0.83		24	87	0.019
0	0	0	1	0	#	0	0	0	0	1	1	0	0	0	0	1	0	1	0	#	0	0	000000000000000000000000000000000000100001000	0.633	0.977	1	114.52	9648	152	0.91		12	62	0.023
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	000000000000000000000000000000000001000000000	0.495	0.965	3	55.81	9650	154	1.00		13	27	0.035
0	0	0	1	#	0	0	0	0	1	#	1	0	0	0	0	0	0	1	0	0	0	1	000000000000000000000000000000000000100001000	1.000	1.000	1	12.32	9653	157	0.91		13	13	0.000
#	0	0	0	#	#	1	0	0	#	0	0	0	0	#	1	0	0	0	0	0	0	0	000000000000000000000000100000000000000100000	0.739	0.985	1	171.65	9654	158	0.78		72	222	0.015
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	#	#	1	0	0	0	1	0	000000000000000000000100000000000000000000000	1.000	1.000	4	37.75	9655	159	0.91		13	13	0.000
0	0	1	0	0	#	0	#	0	0	0	0	0	#	0	0	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	0.915	0.996	1	245.57	9915	165	0.87		323	359	0.004
0	0	0	#	#	0	#	0	0	#	0	0	0	#	0	1	0	0	0	#	0	0	0	000000000100000000000000000000000000000000000	0.534	0.969	1	174.23	9972	168	0.74		234	668	0.031
#	0	0	1	0	0	1	0	0	0	1	#	#	0	0	#	1	0	1	0	0	0	1	000000000000000000000000100000000000000001000	1.000	1.000	2	9.62	9665	169	0.83		13	13	0.000
0	0	0	#	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000000001	1.000	1.000	1	76.80	9649	170	0.96		24	24	0.000
0	0	0	0	1	0	#	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000000001	1.000	1.000	1	76.80	9649	170	0.96		24	24	0.000
0	0	0	0	0	0	0	0	0	#	1	1	0	0	0	0	0	0	0	0	0	0	#	000000000100000000000000000000000000000000000	0.443	0.960	3	63.45	9669	173	0.91		13	64	0.040
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	#	0	0	0	#	000010000000000000000000000000000000000000000	1.000	1.000	1	97.95	8891	177	0.91		13	13	0.000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	#	#	0	0	0	1	0	0	#	000000000100000000000000000000000000000000000	0.781	0.988	1	209.85	9988	183	0.87		376	536	0.012
0	0	1	1	0	0	0	#	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	1	32.09	9682	186	0.96		13	13	0.000
1	0	#	0	0	0	0	0	0	0	#	0	#	0	0	0	0	0	1	0	0	0	#	000000000000000000000000000000100000000000000	1.000	1.000	1	69.63	9683	187	0.83		13	13	0.000
0	0	0	0	0	0	0	0	0	0	0	#	0	0	0	0	1	0	1	0	0	#	#	000000000000000000000000000000000000000001000	1.000	1.000	1	20.53	9687	191	0.87		13	13	0.000
0	#	0	0	#	0	0	0	#	0	0	0	0	1	0	0	0	0	0	0	0	0	0	000000000000000000000000000000010000000000000	0.587	0.974	1	150.57	9908	195	0.87		164	340	0.026
0	#	0	0	#	0	0	0	#	0	0	0	0	1	0	0	0	0	0	#	0	0	0	000000000000000000000000000000010000000000000	0.587	0.974	1	150.57	9908	195	0.83		164	340	0.026
0	0	1	0	0	#	0	0	0	#	0	#	0	0	0	0	1	0	0	1	0	0	0	000000000100100000000000000000000000000000000	0.350	0.949	4	52.42	9694	198	0.87		14	40	0.051
0	0	0	#	0	0	0	0	0	#	1	1	0	0	0	0	0	0	1	0	0	0	0	000000000000000000000000000000000000000001000	0.650	0.979	1	59.66	9695	199	0.91		14	50	0.021
0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	#	0	0	0	0	0	1	0	000000000000000000000001000000000000000000000	1.000	1.000	3	18.69	9696	200	0.96		14	14	0.000
1	#	0	0	1	0	#	#	0	0	0	#	0	1	0	0	#	0	0	0	0	0	0	000010000000000000000000000000001000000000001	0.704	0.983	1	63.47	9697	201	0.78		26	64	0.017
0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	000000010100000000000000000000000000000000000	1.000	1.000	3	50.57	9698	202	0.96		14	14	0.000
#	0	0	1	#	0	0	0	0	0	1	1	0	0	0	0	0	#	0	0	0	0	0	000000000000100000000000000000000000010000000	0.296	0.941	1	119.26	9700	204	0.87		14	88	0.059
1	#	#	0	0	0	0	0	#	0	0	0	0	1	0	0	#	0	0	0	#	0	0	000010000000000000000000000000001000000000000	0.694	0.982	1	181.08	9980	206	0.78		279	826	0.018
1	0	0	0	1	0	0	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000010000000000000000000000000000000000000001	1.000	1.000	2	101.24	9924	207	0.96		63	63	0.000
0	0	0	1	0	0	0	0	0	0	0	1	0	0	#	0	0	0	0	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	2	61.11	9706	210	0.96		26	26	0.000
1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	#	1	0	0	0	1	0	000010000000000000000000000000000000000000000	1.000	1.000	1	61.99	9709	213	0.96		26	26	0.000
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	000000000001000000000000000000000000100000000	1.000	1.000	7	28.37	9717	221	1.00		14	14	0.000
#	0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	#	0	0	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	1	123.07	9722	226	0.87		61	61	0.000
0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	4	14.57	9726	230	1.00		14	14	0.000
0	0	0	1	#	#	#	0	0	0	0	1	0	0	0	#	1	0	1	#	#	0	0	000000000000000000000000000000000000100001000	1.000	1.000	6	38.94	9727	231	0.74		14	14	0.000
1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	#	1	0	000000000000000000000000000000010000000000000	0.839	0.991	2	169.73	9852	235	0.96		53	66	0.009
0	0	1	0	0	0	#	0	0	0	0	0	0	#	0	1	#	0	0	1	0	0	0	000000000100000000000000000000000000000000000	0.535	0.969	1	59.71	9733	237	0.87		14	26	0.031
0	0	0	0	0	0	#	0	0	0	0	0	#	0	0	1	0	0	0	0	0	#	1	000000000000000000000000100000000000000000000	1.000	1.000	2	94.75	9734	238	0.87		26	26	0.000
0	0	0	#	0	0	0	#	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	000000000000000000000000000000000000010000000	0.566	0.972	1	82.38	9742	246	0.91		26	53	0.028
0	0	0	0	0	0	0	0	0	#	0	0	0	0	1	0	0	0	0	0	0	0	0	000010000000000000000000000000000000000000000	1.000	1.000	1	93.33	9745	249	0.96		14	14	0.000
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	#	0	0	0	0	0	0	000010000000000000000000001000000000000000000	0.608	0.975	1	197.75	9748	252	0.96		14	458	0.025
#	0	0	#	0	0	0	0	0	0	1	1	0	0	0	0	0	#	0	0	0	0	0	000001000000000000000000000000000000000000000	0.407	0.956	3	105.48	9749	253	0.87		14	123	0.044
0	0	0	0	1	#	#	0	0	0	0	0	0	1	#	0	0	0	0	#	0	0	0	000000000000000000000000000000000000000000001	1.000	1.000	1	126.72	9750	254	0.83		37	37	0.000
1	1	#	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	#	0	000000000000000000000000000000010000000000000	0.693	0.982	1	121.05	9971	255	0.91		64	88	0.018
0	#	0	1	0	0	0	0	0	0	1	#	0	0	0	0	0	0	1	0	0	1	0	000000000000000000000000000000000000000001000	1.000	1.000	4	20.33	9752	256	0.91		14	14	0.000
#	1	0	0	0	0	0	0	#	#	0	1	0	1	1	#	0	1	0	0	0	1	0	000000000000000000000000000000001000000000000	1.000	1.000	4	17.63	9753	257	0.83		14	14	0.000
1	0	#	0	0	0	0	0	0	0	0	#	0	0	1	0	1	1	0	0	0	#	0	000000000010000000000000000000000000000000000	1.000	1.000	1	39.21	9756	260	0.87		14	14	0.000
1	#	0	0	1	#	#	0	0	0	0	#	0	#	1	0	0	1	0	0	0	1	0	000000000010000000000000000000010000000000001	1.000	1.000	1	11.55	9759	263	0.78		14	14	0.000
#	1	0	0	0	0	0	0	0	0	0	0	#	1	1	0	1	0	0	0	0	0	0	000010000000000000000000000000001000000000000	1.000	1.000	1	47.70	9767	271	0.91		14	14	0.000
0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	4	23.68	9768	272	1.00		14	14	0.000
0	0	#	0	0	0	0	1	0	0	#	0	0	#	0	0	0	0	0	0	0	0	#	000000000100000000000000000000000000000000000	1.000	1.000	1	179.78	9775	279	0.83		75	75	0.000
0	0	1	0	0	0	0	0	0	1	0	#	0	0	0	0	1	#	0	1	0	0	0	000000000001000000000000000000000000100000000	1.000	1.000	3	26.35	9781	285	0.91		14	14	0.000
0	0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	0	0	0	1	1	100000000000000000000000000000000000000000000	1.000	1.000	1	60.48	9782	286	0.91		14	14	0.000
0	0	#	0	0	0	#	0	0	0	1	0	0	0	0	0	0	0	0	0	#	0	0	000000000000000001000000000000000000000000000	0.519	0.968	2	98.56	9784	288	0.87		14	51	0.032
0	0	0	1	#	0	0	#	0	0	1	1	0	0	0	0	1	0	1	0	0	#	0	000000000000000000000000000000000000000001000	0.864	0.993	1	108.33	9952	289	0.87		51	76	0.007
#	0	#	0	1	0	0	0	0	0	0	0	#	#	0	0	1	0	#	#	0	0	0	000010000000000000000000000000000000000000001	0.754	0.986	1	82.78	9787	291	0.74		14	38	0.014
0	#	1	1	0	0	0	0	0	0	1	1	0	0	#	0	1	0	0	#	0	0	0	000000000000000000000000000000000000100001000	0.661	0.979	1	64.64	9792	296	0.87		14	26	0.021
0	0	#	0	0	0	0	#	0	0	#	1	1	0	0	0	#	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	3	19.83	9794	298	0.83		14	14	0.000
1	0	0	0	#	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	000010000000000000000000000000000000000000000	1.000	1.000	3	46.88	9798	302	0.96		14	14	0.000
0	0	0	0	0	0	0	0	0	1	1	1	0	0	#	0	0	#	0	0	0	0	0	000000000000000000000000000000000000100000000	1.000	1.000	3	36.38	9800	304	0.91		14	14	0.000
1	1	0	0	0	0	0	0	0	0	#	0	0	0	0	0	1	0	0	0	0	0	0	001000000000000000000000000000000000000000000	1.000	1.000	3	68.49	9802	306	0.96		14	14	0.000
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	#	0	0	0	1	0	1	0	000000000000000000000000000000001000000000000	1.000	1.000	1	32.50	9803	307	0.96		14	14	0.000
#	#	0	0	0	0	0	0	0	0	0	#	#	1	0	0	0	0	0	0	0	0	0	000100000000000000000000000000001010000000000	0.199	0.923	2	168.96	9805	309	0.83		13	981	0.077
0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	000000000000000000000000000000000001100000000	1.000	1.000	1	11.41	9807	311	1.00		13	13	0.000
0	0	1	1	0	#	0	0	#	0	#	0	0	0	#	0	0	0	0	1	0	0	0	100000000100000000000000000000000000000000000	1.000	1.000	4	17.63	9813	317	0.83		13	13	0.000
0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	000000000000000000000000100000000000000100000	1.000	1.000	4	12.63	9814	318	1.00		13	13	0.000
0	0	0	1	#	0	0	0	0	0	0	1	0	0	#	1	0	0	0	#	0	0	#	000000000000000000000000000000000000000001000	1.000	1.000	2	28.02	9815	319	0.83		13	13	0.000
1	1	0	0	0	#	0	#	0	0	0	0	0	#	#	0	0	0	0	#	#	0	0	000010000000000000000000000000001000000000000	0.854	0.992	1	214.54	9985	322	0.74		560	772	0.008
0	#	0	#	#	0	#	0	#	#	0	0	0	0	0	1	0	0	0	#	#	0	0	000000000100000000000000000000000000000000000	0.541	0.970	1	164.62	9989	324	0.65		245	675	0.030
0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	2	16.57	9822	326	1.00		13	13	0.000
0	0	0	1	0	0	1	0	0	0	0	1	#	0	0	1	1	#	0	0	0	0	0	000000000000000000000000100000000000000001000	1.000	1.000	5	19.20	9825	329	0.91		13	13	0.000
1	1	#	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000010000000000000000000000000001000000000001	0.589	0.974	1	235.60	9828	332	0.91		13	424	0.026
1	0	0	0	#	#	0	0	#	0	0	#	0	1	0	#	0	1	0	#	0	1	0	000000000000000000000000000000010000000000000	0.716	0.983	1	149.52	9916	333	0.74		100	150	0.017
0	0	1	1	0	0	0	0	0	#	1	0	0	0	0	0	0	0	0	0	0	0	#	100000000000000000000000000000000000000001000	1.000	1.000	2	46.34	9833	337	0.91		13	13	0.000
#	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	#	#	0	000000000000000000000000000000000000001000000	0.650	0.979	2	31.72	9835	339	0.87		13	25	0.021
0	0	0	0	0	#	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	#	0	000000000000000000000000000000000000010000000	1.000	1.000	3	21.63	9839	343	0.91		13	13	0.000
0	#	0	0	0	0	0	#	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	3	25.86	9842	346	0.91		13	13	0.000
0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	#	1	0	0	0	0	000000000000000000000000000000000000100001000	1.000	1.000	1	18.54	9843	347	0.96		13	13	0.000
0	0	0	1	0	0	0	0	0	#	1	1	0	0	#	#	1	0	0	1	0	#	0	000000000100000000000000000000000000000000000	1.000	1.000	2	14.99	9844	348	0.83		13	13	0.000
0	0	#	#	0	#	#	0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	1	100000000000000000000000000000000000000000000	0.576	0.973	1	129.31	9535	353	0.78		24	62	0.027
1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	000010000000000000000000000000001010000000000	1.000	1.000	1	42.91	9850	354	1.00		13	13	0.000
1	0	0	0	#	0	0	0	0	0	0	1	0	1	0	#	0	1	0	0	#	1	0	000000000000000000000000000000010000000000000	0.690	0.982	1	151.59	9852	356	0.87		50	75	0.018
#	#	0	0	0	1	0	#	#	#	0	0	#	#	0	#	#	#	0	#	0	0	0	000000000000000000000000000000000000000000010	0.869	0.993	8	118.95	9976	357	0.52		222	307	0.007
0	0	0	1	0	0	0	0	0	0	1	0	#	0	0	0	#	0	0	0	0	0	0	000000000001000000000000000000000000000001000	1.000	1.000	1	60.49	9860	364	0.91		13	13	0.000
0	0	0	1	0	0	0	0	0	#	1	1	0	0	0	0	1	0	1	0	0	0	0	000000000000000000000000000010000000000001000	0.596	0.974	2	105.45	9862	366	0.96		13	74	0.026
1	1	0	0	0	0	0	0	0	0	#	#	0	1	0	0	0	1	0	0	0	#	0	000000000000000000000000000000010000000000000	0.568	0.972	1	107.43	9971	369	0.87		112	185	0.028
0	#	0	0	#	0	#	#	0	0	1	#	0	0	0	1	1	0	0	0	0	0	0	000000000000000000000000100000000000000000000	1.000	1.000	5	14.84	9873	377	0.78		13	13	0.000
#	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	#	1	0	0	0	0	0	000000000000000000000000000000001000000000000	0.474	0.963	1	129.81	9876	380	0.91		13	74	0.037
0	0	0	#	#	0	0	0	0	#	#	1	#	#	0	0	1	#	1	0	0	#	1	000000000000000000000000000000000000000001000	0.650	0.979	2	22.86	9881	385	0.65		13	25	0.021
0	0	0	0	0	0	0	#	0	1	0	0	0	0	0	1	1	0	1	1	0	0	#	000000000000000000000000000000000000101000000	1.000	1.000	2	14.40	9882	386	0.91		13	13	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	#	1	1	000000000000000000000000000000000000000001000	1.000	1.000	1	24.57	9891	395	0.96		13	13	0.000
0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	#	1	#	0	#	0	#	0	000000000000000000010000000000000000010000000	0.366	0.951	2	98.65	9892	396	0.78		13	49	0.049
0	0	1	0	#	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	2	17.32	9898	402	0.96		13	13	0.000
1	0	#	0	1	0	0	0	0	0	0	#	0	1	0	0	0	1	#	0	0	0	0	000010000000000000000000000000000000000000001	1.000	1.000	3	38.78	9899	403	0.87		13	13	0.000
1	0	0	0	#	0	0	0	0	0	0	0	#	0	0	0	0	1	0	0	0	1	0	000010000000000000000000000000001000000000000	1.000	1.000	2	125.22	9901	405	0.91		13	13	0.000
