Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.219;0.241	-0.182;0.228	-0.193;0.287	0.300;0.336	-0.029;0.331	0.277;0.677	-0.193;0.227	-0.125;0.125	-0.036;0.394	0.172;0.572	#	-0.246;0.246	-0.061;0.319	0.041;0.371	-0.140;0.140	-0.163;0.163	-0.149;0.149	010000	0.100	1.000	1	1.00	464	464	0.94		0	0
0.043;0.403	-0.165;0.265	-0.052;0.388	0.304;0.704	0.145;0.635	0.547;0.797	-0.121;0.199	0.697;0.957	0.090;0.580	#	-0.012;0.408	0.587;1.000	0.371;0.801	0.039;0.449	0.596;0.906	0.686;0.943	0.480;0.857	000110	1.000	1.000	1	75.08	49797	468	0.94		30	30
0.729;0.979	0.721;1.091	0.625;1.065	0.692;1.082	0.214;0.584	0.248;0.508	0.478;0.748	0.359;0.649	0.116;0.556	0.294;0.664	0.262;0.752	0.272;0.714	0.184;0.474	-0.133;0.307	0.315;0.745	0.191;0.468	0.418;0.666	100000	1.000	1.000	1	58.80	49813	484	1.00		30	30
0.768;1.128	0.632;1.112	0.548;0.828	#	0.534;0.904	-0.227;0.243	0.545;0.915	0.125;0.565	0.541;0.811	-0.172;0.188	0.501;0.941	0.350;0.724	0.329;0.799	#	0.255;0.535	0.410;0.657	0.310;0.727	001000	1.000	1.000	2	43.95	49864	535	0.88		30	30
-0.189;0.191	0.586;1.066	-0.115;0.165	0.755;1.215	0.830;1.170	0.749;1.009	0.612;0.932	0.231;0.621	-0.097;0.243	0.026;0.346	#	-0.071;0.175	#	0.641;1.071	-0.145;0.235	0.356;0.771	0.148;0.575	000001	1.000	1.000	4	36.86	49873	544	0.88		30	30
#	0.144;0.394	0.784;1.104	0.751;1.141	0.870;1.130	0.813;1.083	0.758;1.138	#	#	0.621;0.991	0.775;1.225	0.261;0.752	-0.076;0.274	0.593;0.853	0.374;0.674	0.324;0.630	0.343;0.710	000001	1.000	1.000	2	27.84	49903	574	0.82		30	30
0.249;0.679	0.418;0.698	0.335;0.735	0.356;0.726	0.545;0.835	0.332;0.662	0.395;0.865	0.001;0.271	0.083;0.473	0.169;0.619	0.451;0.891	0.188;0.433	#	0.327;0.697	-0.018;0.342	-0.046;0.360	0.241;0.598	000100	1.000	1.000	1	66.52	49938	609	0.94		30	30
-0.180;0.230	0.076;0.526	0.237;0.707	0.790;1.210	#	0.309;0.689	-0.024;0.276	0.341;0.751	0.078;0.448	#	-0.118;0.172	0.366;0.621	0.054;0.354	0.005;0.285	0.354;0.724	0.585;0.941	0.101;0.537	010000	1.000	1.000	1	72.36	49939	610	0.88		30	30
-0.139;0.161	0.106;0.406	-0.142;0.168	-0.163;0.327	0.159;0.609	#	0.337;0.727	-0.018;0.252	-0.109;0.161	0.084;0.364	0.525;0.795	0.407;0.780	0.109;0.359	-0.212;0.218	#	#	0.397;0.764	000110	1.000	1.000	4	70.25	49940	611	0.82		30	30
0.099;0.529	0.525;0.815	0.239;0.719	-0.058;0.352	0.314;0.564	0.623;1.043	0.369;0.709	0.125;0.395	#	0.403;0.723	#	-0.061;0.302	0.659;1.009	-0.021;0.439	-0.159;0.261	0.130;0.516	-0.220;0.246	000001	1.000	1.000	2	41.16	49966	637	0.88		30	30
-0.144;0.296	0.255;0.271	#	0.061;0.361	-0.131;0.329	-0.170;0.290	#	0.047;0.467	-0.106;0.224	-0.075;0.245	-0.193;0.297	0.218;0.660	-0.213;0.277	-0.095;0.215	0.179;0.659	0.159;0.436	0.077;0.563	010000	0.012	0.806	1	8.60	660	660	0.88		0	0
0.135;0.615	#	0.239;0.599	0.303;0.643	0.324;0.574	0.522;0.872	-0.021;0.419	0.380;0.690	-0.123;0.267	-0.098;0.332	#	0.092;0.446	0.378;0.628	-0.154;0.256	0.028;0.408	0.323;0.788	0.282;0.530	000001	1.000	1.000	1	60.28	48340	695	0.88		21	21
-0.114;0.146	-0.193;0.297	-0.026;0.384	0.458;0.708	0.207;0.687	0.302;0.802	-0.159;0.271	0.338;0.648	0.800;1.200	0.785;1.215	-0.119;0.351	-0.241;0.241	-0.093;0.407	0.486;0.986	-0.220;0.220	0.357;0.684	-0.035;0.412	000001	1.000	1.000	1	34.51	48367	722	1.00		21	21
0.373;0.743	0.780;1.200	0.762;1.032	0.778;1.038	0.048;0.348	0.765;1.035	0.820;1.180	0.308;0.648	-0.145;0.175	0.285;0.745	0.503;0.883	0.296;0.581	#	0.576;0.966	0.374;0.714	0.427;0.764	0.339;0.736	010000	1.000	1.000	5	38.17	48395	750	0.94		30	30
#	0.304;0.704	0.653;1.063	0.450;0.950	0.584;0.914	0.515;0.865	#	0.286;0.786	0.305;0.715	0.450;0.760	0.455;0.795	0.290;0.683	0.472;0.772	-0.050;0.220	0.352;0.702	0.454;0.810	0.349;0.656	000001	1.000	1.000	1	71.57	48400	755	0.88		30	30
-0.185;0.195	-0.175;0.195	-0.187;0.203	0.071;0.431	0.326;0.676	0.844;1.094	0.322;0.642	#	-0.162;0.168	#	0.527;0.837	0.629;1.032	-0.149;0.151	-0.222;0.228	0.678;0.968	0.449;0.914	0.502;0.958	100000	1.000	1.000	1	45.31	48403	758	0.88		30	30
-0.071;0.389	0.652;0.962	0.088;0.398	0.221;0.661	0.554;0.984	0.603;0.923	0.638;0.978	0.072;0.532	#	0.870;1.130	0.743;1.093	0.326;0.640	0.638;0.888	0.495;0.855	#	0.258;0.614	#	000010	1.000	1.000	1	42.90	48405	760	0.82		30	30
-0.167;0.213	0.581;0.881	0.539;1.029	0.685;1.175	0.770;1.230	0.810;1.060	#	-0.042;0.318	0.068;0.438	0.478;0.748	0.770;1.230	#	0.434;0.784	-0.062;0.258	0.534;0.914	#	0.381;0.798	010000	1.000	1.000	2	32.19	48407	762	0.82		30	30
0.019;0.519	0.214;0.694	0.458;0.828	0.649;0.999	#	0.615;0.865	0.369;0.619	0.393;0.743	0.250;0.570	0.167;0.617	0.537;0.987	0.159;0.611	0.483;0.783	0.462;0.862	0.020;0.290	0.446;0.694	0.261;0.757	000001	1.000	1.000	1	66.09	48409	764	0.94		30	30
-0.219;0.241	-0.182;0.228	-0.193;0.287	-0.104;-0.021	-0.029;0.331	0.277;0.677	-0.193;0.227	-0.125;0.125	-0.036;0.394	0.172;0.572	#	-0.246;0.246	-0.061;0.319	0.041;0.371	-0.140;0.140	-0.163;0.163	-0.149;0.149	010000	0.100	1.000	1	2.00	778	778	0.94		0	0
-0.219;0.241	-0.182;0.228	-0.193;0.287	-0.104;0.336	-0.029;0.331	0.277;0.677	-0.193;0.227	-0.125;0.125	-0.036;0.394	0.172;0.572	#	-0.246;0.246	-0.061;-0.038	0.041;0.371	-0.140;0.140	-0.163;0.163	-0.149;0.149	010000	0.100	1.000	1	2.00	778	778	0.94		0	0
0.231;0.263	-0.100;0.310	-0.127;0.313	-0.103;0.317	-0.141;0.219	0.213;0.603	-0.034;0.376	#	#	-0.037;0.223	-0.132;0.218	#	0.150;0.610	0.126;0.436	0.444;0.949	0.357;0.704	0.393;0.809	000001	0.100	1.000	1	4.50	798	798	0.82		0	0
0.251;0.671	0.339;0.809	0.398;0.748	0.323;0.773	0.212;0.652	-0.047;0.433	0.307;0.617	#	-0.085;0.365	0.003;0.483	0.229;0.679	0.611;0.916	0.435;0.715	-0.046;0.434	0.551;1.031	0.346;0.841	0.508;0.984	000010	1.000	1.000	1	74.87	48445	800	0.94		30	30
0.757;1.047	0.800;1.200	0.790;1.210	0.760;1.240	#	-0.147;0.213	0.800;1.200	0.239;0.559	-0.196;0.244	-0.126;0.134	0.850;1.150	0.426;0.790	0.227;0.507	-0.117;0.363	0.425;0.785	0.266;0.751	0.319;0.745	010000	1.000	1.000	1	26.21	48457	812	0.94		30	30
-0.204;0.226	-0.087;0.413	-0.142;0.208	-0.009;0.381	0.324;0.584	#	0.352;0.672	0.485;0.875	#	0.304;0.714	0.461;0.881	#	0.579;0.869	0.348;0.658	-0.128;0.272	0.409;0.765	-0.012;0.236	001000	1.000	1.000	1	46.25	48493	848	0.82		30	30
#	0.204;0.654	0.469;0.799	0.247;0.737	0.185;0.675	0.269;0.579	0.209;0.609	0.074;0.574	0.319;0.689	0.307;0.647	#	0.232;0.517	0.503;0.953	-0.143;0.157	#	0.217;0.504	0.236;0.504	000001	1.000	1.000	1	101.27	48498	853	0.82		30	30
0.695;1.045	#	0.111;0.371	-0.018;0.312	-0.083;0.347	-0.111;0.369	0.228;0.678	0.273;0.663	#	-0.224;0.246	-0.099;0.291	0.603;0.878	0.280;0.650	-0.199;0.271	#	0.226;0.641	0.570;0.957	000001	1.000	1.000	2	55.55	48504	859	0.82		30	30
-0.129;0.181	-0.105;0.245	-0.593;0.250	-0.155;0.185	-0.108;0.172	0.061;0.561	-0.072;0.178	0.370;0.620	0.095;0.595	#	-0.149;0.221	0.269;0.423	0.010;0.390	0.328;0.758	0.577;0.588	0.320;0.706	#	000001	0.012	0.806	1	6.33	868	868	0.88		0	0
0.292;0.602	0.073;0.493	0.021;0.421	0.118;0.488	0.636;0.906	-0.125;0.305	0.759;1.049	0.780;1.040	-0.154;0.176	0.245;0.735	0.658;1.078	0.267;0.561	-0.082;0.228	-0.209;0.271	0.369;0.749	0.539;0.895	0.256;0.623	000001	1.000	1.000	2	36.04	48526	881	1.00		30	30
0.215;0.233	-0.235;0.235	-0.140;0.140	-0.235;0.235	-0.235;0.235	-0.150;0.150	#	0.778;1.148	-0.185;0.185	-0.250;0.250	0.008;0.378	0.782;1.126	-0.053;0.197	-0.233;0.257	0.792;1.112	0.644;1.049	0.718;1.194	100000	0.016	0.833	1	19.50	885	885	0.94		0	0
0.032;0.452	0.060;0.310	0.284;0.724	0.483;0.973	0.850;1.150	0.344;0.774	0.069;0.419	0.644;0.924	-0.233;0.247	-0.202;0.228	0.850;1.130	0.569;0.923	0.402;0.822	#	0.658;0.938	0.671;0.928	0.401;0.837	100010	1.000	1.000	2	43.33	48579	934	0.94		30	30
-0.114;0.306	-0.206;0.244	#	-0.147;0.203	0.327;0.425	-0.020;0.330	#	0.302;0.672	0.070;0.570	0.164;0.634	-0.101;0.189	0.401;0.646	#	0.041;0.501	0.300;0.730	#	0.300;0.663	000010	0.100	1.000	1	11.00	936	936	0.76		0	0
0.454;0.704	0.692;1.172	0.587;0.927	0.547;1.027	0.835;1.165	0.845;1.155	0.775;1.225	#	-0.212;0.258	0.830;1.170	0.626;1.126	0.226;0.550	0.785;1.215	-0.189;0.221	0.226;0.496	0.337;0.634	0.434;0.801	010000	1.000	1.000	1	32.08	48582	937	0.94		30	30
0.650;1.130	-0.105;0.205	0.860;1.140	0.810;1.190	#	0.785;1.215	0.679;1.109	-0.136;0.364	0.508;0.958	#	0.079;0.479	0.317;0.789	0.803;1.083	0.097;0.597	0.187;0.457	0.286;0.573	0.284;0.691	010000	1.000	1.000	2	30.41	48624	979	0.88		30	30
-0.165;0.235	0.155;0.515	-0.102;0.318	-0.088;0.232	-0.065;0.295	0.102;0.592	0.340;0.780	0.061;0.441	0.146;0.446	0.229;0.709	#	0.457;0.909	0.116;0.496	0.128;0.418	0.512;0.892	0.150;0.496	0.558;0.836	000001	1.000	1.000	1	107.62	48635	990	0.94		30	30
0.318;0.748	0.449;0.919	0.413;0.783	0.385;0.805	0.346;0.816	0.437;0.937	0.645;0.955	#	0.212;0.502	-0.000;0.290	-0.097;0.383	0.317;0.602	0.303;0.713	0.076;0.336	0.308;0.608	0.277;0.732	0.180;0.676	000001	1.000	1.000	1	82.80	48656	1011	0.94		30	30
-0.124;0.236	0.307;0.787	-0.202;0.298	-0.054;0.236	-0.100;0.280	-0.071;0.369	0.441;0.811	0.188;0.618	#	-0.024;0.246	0.266;0.696	-0.205;0.228	-0.061;0.409	0.529;0.969	0.012;0.292	0.038;0.533	-0.093;0.195	000010	1.000	1.000	1	68.90	48667	1022	0.94		30	30
-0.153;0.177	-0.140;0.150	-0.216;0.234	#	-0.126;0.144	0.855;1.145	-0.228;0.242	-0.230;0.230	0.780;1.220	0.870;1.130	-0.159;0.171	-0.133;0.133	0.541;1.001	0.820;1.180	-0.160;0.160	-0.134;0.134	-0.238;0.238	010000	1.000	1.000	1	56.65	48691	1046	0.94		30	30
0.684;1.114	0.700;0.950	0.507;0.967	0.648;1.058	0.713;1.053	0.167;0.597	0.742;1.062	-0.010;0.420	#	0.093;0.393	0.732;1.092	0.210;0.672	0.264;0.634	0.661;1.151	0.190;0.490	0.179;0.495	0.120;0.567	001000	1.000	1.000	1	48.91	48729	1084	0.94		30	30
0.828;1.078	0.760;1.150	0.618;0.908	0.502;0.952	0.532;0.922	0.325;0.715	0.641;0.901	#	0.376;0.856	0.624;0.874	0.505;0.885	0.552;0.925	0.683;1.063	0.785;1.215	0.443;0.893	0.470;0.945	0.549;0.876	001000	1.000	1.000	1	36.60	48751	1106	0.94		30	30
-0.144;0.146	#	-0.190;0.190	#	-0.037;0.333	0.145;0.505	0.113;0.583	0.451;0.781	0.273;0.593	0.211;0.471	0.086;0.516	-0.138;0.138	-0.079;0.271	-0.131;0.229	-0.245;0.245	0.134;0.629	-0.124;0.124	000010	1.000	1.000	1	70.22	48771	1126	0.88		30	30
0.199;0.549	-0.204;0.256	-0.014;0.476	0.089;0.509	0.293;0.673	0.662;1.122	0.271;0.561	-0.164;0.296	0.772;1.112	0.743;1.193	0.350;0.660	0.417;0.829	0.517;0.857	-0.079;0.231	0.212;0.612	0.006;0.481	0.350;0.707	000001	1.000	1.000	1	46.57	48790	1145	1.00		30	30
0.158;0.418	0.601;1.021	0.456;0.856	0.651;0.941	0.750;1.250	0.107;0.547	0.845;1.155	#	-0.007;0.353	0.144;0.504	0.835;1.165	0.085;0.497	0.610;0.960	-0.099;0.251	0.030;0.300	0.177;0.622	0.197;0.663	010000	1.000	1.000	3	50.78	48798	1153	0.94		30	30
0.680;0.970	0.690;1.140	0.540;1.000	0.645;1.135	0.018;0.458	0.601;0.981	0.606;0.986	#	0.742;1.042	0.726;1.086	0.465;0.965	0.327;0.729	0.479;0.779	0.757;1.127	0.181;0.671	-0.037;0.389	0.268;0.576	001010	1.000	1.000	2	31.69	48802	1157	0.94		30	30
-0.191;0.209	-0.196;0.284	-0.198;0.222	#	-0.156;0.184	0.477;0.827	#	0.377;0.857	-0.183;0.287	#	-0.153;0.197	0.501;0.953	-0.159;0.221	0.146;0.426	0.525;0.845	0.411;0.896	0.495;0.951	000110	1.000	1.000	2	96.52	48809	1164	0.82		30	30
0.269;0.609	0.719;1.219	0.296;0.656	0.533;0.963	0.226;0.596	0.471;0.801	0.477;0.977	0.255;0.505	#	0.519;0.799	0.155;0.595	0.111;0.406	0.180;0.540	0.405;0.685	-0.058;0.382	0.379;0.735	0.111;0.517	000010	1.000	1.000	1	71.81	48833	1188	0.94		30	30
0.259;0.519	0.199;0.599	0.362;0.852	0.170;0.430	-0.080;0.400	0.061;0.341	0.085;0.475	0.309;0.629	0.248;0.588	0.273;0.693	0.109;0.569	0.261;0.753	0.558;0.838	0.190;0.560	0.249;0.579	#	0.547;0.815	001010	1.000	1.000	1	144.56	48843	1198	0.94		30	30
-0.072;0.268	0.063;0.423	0.187;0.647	0.484;0.814	0.274;0.644	0.363;0.683	0.402;0.732	#	#	0.346;0.736	-0.050;0.250	0.044;0.358	0.550;1.050	0.485;0.775	-0.225;0.225	0.627;0.974	0.226;0.474	001000	1.000	1.000	1	51.54	48859	1214	0.88		30	30
-0.112;0.148	-0.171;0.219	-0.151;0.229	-0.149;0.251	-0.172;0.238	0.507;0.987	-0.152;0.208	0.704;0.954	0.614;1.024	0.815;1.185	-0.147;0.213	0.594;0.909	#	#	0.595;0.875	#	0.617;0.974	010000	1.000	1.000	1	68.30	48862	1217	0.82		30	30
#	0.677;1.147	0.148;0.428	0.471;0.791	0.189;0.639	0.144;0.444	0.583;0.933	-0.005;0.385	0.090;0.440	#	0.133;0.423	-0.137;0.158	0.001;0.391	-0.177;0.293	-0.190;0.190	0.292;0.718	0.075;0.462	010000	1.000	1.000	1	59.56	48865	1220	0.88		30	30
0.549;0.809	-0.196;0.204	0.273;0.653	-0.077;0.323	0.764;1.144	0.600;0.910	0.561;0.991	0.609;1.009	0.314;0.724	0.348;0.818	0.645;1.055	0.466;0.869	0.700;1.070	0.376;0.716	0.407;0.777	0.358;0.793	0.555;1.001	100001	1.000	1.000	2	38.72	48884	1239	1.00		30	30
-0.212;0.248	-0.096;0.164	-0.147;0.183	-0.109;0.141	-0.192;0.218	0.616;0.936	-0.216;0.274	0.253;0.553	0.266;0.626	0.401;0.781	#	0.372;0.716	0.213;0.673	-0.240;0.240	#	0.373;0.739	0.490;0.777	000010	1.000	1.000	1	69.22	48886	1241	0.88		30	30
0.636;0.946	-0.181;0.209	0.791;1.151	0.791;1.041	0.407;0.707	0.635;0.945	-0.003;0.377	-0.118;0.232	0.170;0.620	0.485;0.805	-0.043;0.337	0.345;0.590	-0.161;0.249	-0.088;0.372	0.297;0.737	-0.015;0.331	#	000001	1.000	1.000	1	34.45	48923	1278	0.94		30	30
#	0.418;0.738	-0.097;0.273	0.133;0.523	0.020;0.510	0.666;1.056	-0.009;0.401	0.156;0.616	0.524;0.854	0.638;1.008	-0.095;0.335	0.339;0.722	0.722;1.102	0.747;1.107	0.367;0.617	0.221;0.558	0.247;0.713	000001	1.000	1.000	1	58.25	48934	1289	0.94		30	30
0.362;0.822	0.513;0.813	0.517;1.007	0.752;1.062	0.715;1.115	0.012;0.322	0.383;0.773	0.180;0.590	0.467;0.767	0.266;0.696	0.767;1.057	0.118;0.432	0.067;0.547	0.179;0.489	0.102;0.392	0.144;0.539	0.017;0.414	000001	1.000	1.000	2	48.92	48964	1319	1.00		30	30
0.138;0.628	-0.218;0.232	0.248;0.738	-0.207;0.213	-0.119;0.131	#	-0.238;0.252	0.608;0.988	-0.065;0.195	0.076;0.386	-0.143;0.157	#	0.250;0.312	-0.195;0.275	0.541;0.981	#	0.716;1.172	100000	0.100	1.000	1	2.00	1343	1343	0.82		0	0
0.228;0.708	0.444;0.734	0.411;0.711	0.508;0.898	0.540;0.990	0.263;0.663	0.539;0.969	0.376;0.656	0.226;0.586	0.206;0.556	0.592;0.882	0.164;0.449	0.369;0.769	0.178;0.638	0.216;0.496	#	0.065;0.511	000110	1.000	1.000	2	74.96	49125	1480	0.94		30	30
#	0.875;1.125	0.472;0.762	0.518;0.798	0.545;0.985	#	0.800;1.200	0.165;0.545	0.126;0.486	0.563;0.813	#	0.002;0.326	0.244;0.584	0.021;0.401	-0.013;0.367	0.150;0.427	0.026;0.304	000001	1.000	1.000	2	35.25	49152	1507	0.82		30	30
0.420;0.730	0.289;0.789	0.716;1.066	0.622;1.102	0.575;0.945	0.368;0.848	#	0.418;0.898	0.699;1.029	0.473;0.733	0.407;0.667	0.357;0.622	0.338;0.738	#	0.400;0.790	0.448;0.765	0.308;0.764	000001	1.000	1.000	1	53.79	49168	1523	0.88		30	30
0.536;1.006	0.683;0.943	0.631;0.891	0.608;0.868	#	0.330;0.730	0.489;0.869	0.162;0.422	0.722;1.032	0.355;0.855	0.373;0.663	0.070;0.414	0.246;0.496	0.344;0.844	0.097;0.587	0.083;0.548	0.117;0.385	000010	1.000	1.000	1	43.42	49174	1529	0.94		30	30
-0.215;0.265	0.772;1.212	0.637;0.987	0.806;1.116	0.870;1.130	0.631;1.111	0.840;1.160	0.220;0.560	-0.117;0.183	0.573;1.003	0.860;1.140	0.518;0.911	0.226;0.496	0.097;0.407	0.674;1.074	0.239;0.724	0.464;0.802	010000	1.000	1.000	1	25.90	49175	1530	1.00		30	30
