-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	loss
0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	100000000000000000000000000000000000000001000	0.862	0.993	1	100.63	9840	129	1.00		26	39	0.007
0	0	1	0	0	0	0	1	0	#	1	1	0	0	0	0	0	0	0	0	#	#	0	000000000100000000000000000000000000000000000	1.000	1.000	4	18.80	9637	134	0.87		13	13	0.000
0	0	0	0	0	0	0	#	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.803	0.989	1	159.38	9956	138	0.96		117	155	0.011
0	0	#	0	0	0	0	0	0	0	0	1	0	0	0	1	1	#	#	1	#	0	0	000000000100000000000000000000000000000000000	1.000	1.000	2	66.25	9735	140	0.83		39	39	0.000
0	0	0	1	#	0	0	0	0	0	#	#	0	0	#	0	0	0	0	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	109.61	9644	141	0.83		36	36	0.000
0	0	0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	#	0	0	#	0	0	000000000000000000000100000000000000000000000	0.504	0.966	1	204.76	9967	143	0.83		150	589	0.034
0	0	0	0	#	#	0	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	0	000000000000000000000000000000100000000000000	0.440	0.960	1	190.21	9863	145	0.87		90	812	0.040
0	0	0	0	0	0	#	0	0	0	0	0	0	0	#	0	#	0	0	#	0	0	0	000000000100000000000000000000000000000000000	0.508	0.967	1	229.35	9979	146	0.83		189	724	0.033
0	#	0	#	0	0	1	0	0	1	0	1	#	0	0	1	1	0	0	0	0	0	1	000000000000000000000000100000000000100000000	1.000	1.000	2	11.29	9650	147	0.87		13	13	0.000
0	0	0	0	#	0	#	0	0	0	#	1	0	0	0	1	0	0	1	0	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	10.71	9651	148	0.87		13	13	0.000
0	#	0	1	0	0	0	0	0	1	0	1	0	#	0	0	1	0	0	0	#	0	0	000000000000000000000000000000000000100001000	1.000	1.000	2	29.44	9655	152	0.87		13	13	0.000
0	0	1	0	0	0	0	0	0	0	#	0	0	0	#	0	0	0	0	1	#	#	#	000000000000000000000000000000000001000000000	0.454	0.961	1	94.33	9657	154	0.78		13	100	0.039
#	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	000000000000000000000000000000010000000000000	0.544	0.970	1	126.04	9944	155	0.96		38	77	0.030
0	0	0	#	#	0	0	0	0	1	1	0	0	0	0	0	0	0	0	#	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	3	12.37	9660	157	0.87		13	13	0.000
0	#	#	0	0	0	1	0	0	0	0	#	0	0	0	1	0	0	0	0	0	0	0	000000000000000000000000100000000000000100000	0.694	0.982	1	167.63	9661	158	0.87		61	259	0.018
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	#	0	0	#	0	000000000000000000000100000000000000000000000	1.000	1.000	3	37.55	9662	159	0.91		13	13	0.000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	#	1	1	0	0	0	0	0	0	000000000000000000000000000000000000000100000	1.000	1.000	4	39.37	9665	162	0.96		13	13	0.000
#	0	0	0	0	0	0	#	1	0	#	0	0	0	0	0	0	0	1	0	0	0	0	000000000000001000000000000000000000000000000	1.000	1.000	5	38.39	9670	167	0.87		13	13	0.000
0	0	0	0	0	0	0	#	0	0	0	0	#	0	0	1	0	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.659	0.979	1	152.91	9956	168	0.91		115	215	0.021
0	0	0	#	0	0	#	0	0	0	1	0	0	0	0	1	0	0	0	#	#	0	1	000000000000000000000000100000000000000001000	1.000	1.000	4	14.16	9672	169	0.83		13	13	0.000
1	0	0	#	0	0	0	0	0	0	0	1	0	1	#	0	0	1	0	0	0	1	0	000000000000000000000000000000010000000000000	0.757	0.986	1	162.30	9985	172	0.91		53	77	0.014
1	1	0	0	1	0	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000000001	1.000	1.000	2	43.56	9684	181	0.96		13	13	0.000
0	0	#	0	0	0	0	0	0	0	0	0	0	0	0	1	#	0	0	1	0	0	0	000000000100000000000000000000000000000000000	0.730	0.984	1	167.04	9995	186	0.91		248	373	0.016
0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	0	#	0	#	0	0	0	#	000000000000000000000000000000100000000000000	0.496	0.966	3	226.61	9863	187	0.83		127	532	0.034
0	0	0	0	0	0	0	0	1	0	0	1	0	0	#	0	0	0	0	0	0	1	0	000000000000000000000001000000000000000000000	1.000	1.000	1	27.69	9691	188	0.96		13	13	0.000
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	000000000000010000000000000000000000000000010	0.631	0.977	2	62.44	9693	190	1.00		13	41	0.023
0	0	0	1	0	0	0	0	0	0	0	1	0	#	0	0	1	0	1	0	0	1	1	000000000000000000000000000000000000000001000	1.000	1.000	1	14.91	9694	191	0.96		13	13	0.000
0	1	0	0	#	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	000000000000000000000000000000001000000000000	1.000	1.000	2	19.29	9696	193	0.96		13	13	0.000
1	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	1	0	0	0	0	000000000000000000000000000000100000000000000	1.000	1.000	2	54.70	9700	197	0.96		14	14	0.000
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	#	1	0	0	0	0	0	0	001000000000000000000000000000000000000000000	0.521	0.968	4	67.65	9701	198	0.96		14	27	0.032
0	0	0	0	0	0	0	0	0	0	0	1	#	0	0	0	1	0	1	0	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	3	23.19	9702	199	0.96		14	14	0.000
1	1	0	0	0	0	0	0	0	0	0	0	0	#	#	0	0	1	0	0	0	1	0	000010000000000000000000000000001000000000001	0.414	0.957	4	83.26	9704	201	0.91		14	87	0.043
1	0	0	0	0	0	#	0	0	0	0	0	0	#	0	0	0	1	0	0	#	1	0	000000001000000000000000000000010000000000000	0.469	0.963	1	191.20	9705	202	0.87		14	104	0.037
0	0	0	0	0	#	0	0	0	0	0	#	0	0	0	1	0	0	1	1	#	0	0	000000010100000000000000000000000000000000000	1.000	1.000	2	48.22	9707	204	0.87		14	14	0.000
1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	#	0	0	0	#	000010000000000000000000000000000000000000001	1.000	1.000	5	28.23	9710	207	0.91		14	14	0.000
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	#	0	0	0	000000000000000000000000000000000000010000000	0.556	0.971	1	71.10	9711	208	0.96		14	40	0.029
1	#	0	0	0	0	0	0	0	0	0	0	#	1	0	0	0	1	0	0	0	#	0	000000000000000000000000000000010000000000000	0.671	0.980	1	159.49	9962	211	0.87		140	217	0.020
1	1	0	0	#	0	0	#	0	0	0	0	0	1	#	0	0	#	0	0	0	0	0	000010000000000000000000000000001000000000000	0.725	0.984	2	144.47	9897	214	0.83		287	450	0.016
0	0	1	0	0	0	0	#	0	0	#	1	0	0	0	0	0	#	0	0	0	1	1	100000000000000000000000000000000000000000000	1.000	1.000	5	19.83	9723	220	0.87		14	14	0.000
0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	#	0	0	0	0	0	0	0	100000000000000000000000000000000000000001000	1.000	1.000	5	27.99	9724	221	0.96		14	14	0.000
0	0	1	0	0	0	0	0	0	0	0	0	1	0	#	0	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	1	44.80	9727	224	0.96		14	14	0.000
1	0	0	0	#	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	1	#	0	000000000000000000000000000000000010000000000	1.000	1.000	3	98.98	9935	226	0.87		41	41	0.000
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	000000000000000000000000000000010000000000000	1.000	1.000	1	59.58	9730	227	1.00		14	14	0.000
1	#	0	0	0	0	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000010000000000000000000010000001000000000000	0.459	0.962	1	247.55	9731	228	0.91		26	1049	0.038
0	0	0	1	0	0	0	0	0	0	1	1	0	#	#	0	1	0	0	0	0	0	0	000000000000000000000000000000000000100001000	0.800	0.989	2	70.56	9734	231	0.91		14	28	0.011
0	0	#	0	0	0	0	0	0	0	#	1	0	0	0	1	1	#	#	1	#	0	0	000000000100000000000000000000000000000000000	1.000	1.000	2	66.32	9735	232	0.78		37	37	0.000
0	0	1	#	0	0	#	0	0	0	#	1	0	0	0	0	1	0	0	#	0	0	0	000000000000000000000000000000000000000001000	0.493	0.965	3	80.99	9739	236	0.83		14	64	0.035
0	1	0	0	0	0	0	1	0	0	0	0	0	#	0	1	0	0	0	0	0	#	0	000000000100000000000000000000000000000000000	1.000	1.000	1	87.74	9740	237	0.91		25	25	0.000
0	#	0	0	0	0	1	0	0	0	#	0	0	0	0	1	#	0	0	1	0	#	0	000000000000000000000000100000000000000000000	1.000	1.000	3	79.20	9741	238	0.83		14	14	0.000
0	0	0	#	0	0	0	0	#	0	#	0	1	0	0	0	#	0	0	1	0	0	0	000000000100000000000000000000000000001000000	0.806	0.989	1	59.10	9742	239	0.83		14	27	0.011
1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000010000000000000000000000000000000000000001	1.000	1.000	3	101.60	9931	243	1.00		52	52	0.000
1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	000010000000000000000000000000001000000000000	0.442	0.960	1	102.95	9747	244	1.00		26	65	0.040
0	0	0	0	0	1	0	0	0	0	0	0	1	#	0	1	0	0	#	0	0	0	#	000000000000000000000000000000000000001000010	1.000	1.000	7	26.96	9749	246	0.87		14	14	0.000
0	0	0	0	0	1	#	0	0	1	0	1	0	0	#	1	1	0	1	1	0	0	0	000000000000000000000000000000000001100000000	1.000	1.000	4	11.11	9755	252	0.91		14	14	0.000
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	000000000010000000000000000000000010000000000	1.000	1.000	3	16.02	9758	255	1.00		14	14	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	#	0	1	0	000000000000000000000000000000000000000001000	1.000	1.000	2	38.94	9759	256	0.96		14	14	0.000
#	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	2	199.53	9999	259	0.96		113	113	0.000
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	#	0	000000000000000000000000000000000000000000010	0.748	0.986	1	62.49	9763	260	0.96		14	40	0.014
#	0	0	0	0	#	#	0	0	#	0	0	0	1	0	0	0	#	0	0	0	#	0	000010000000000000000000000000000000000000000	0.665	0.980	1	203.94	9970	261	0.74		411	776	0.020
1	0	0	0	0	#	#	0	0	#	0	0	0	#	0	#	0	0	0	0	#	0	0	000010000000000000000000000000000000000000000	0.919	0.996	1	236.22	9989	262	0.74		1052	1204	0.004
0	0	0	0	0	#	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	#	000000000000000000000000000000000100000000010	1.000	1.000	2	39.11	9766	263	0.91		14	14	0.000
0	#	0	1	0	0	0	0	0	0	1	1	0	0	0	#	1	0	1	0	0	0	0	000000000000000000000000000000000000000001000	0.895	0.994	3	83.35	9972	265	0.91		39	52	0.006
0	#	0	1	0	0	#	0	0	#	1	0	0	0	0	0	#	0	0	0	0	0	0	000000000001000000000000000000000000000001000	1.000	1.000	3	86.95	9770	267	0.83		14	14	0.000
1	0	0	0	1	#	0	0	0	0	0	#	0	1	1	0	#	0	#	0	0	0	0	000010000000000000000000000000000000000000001	1.000	1.000	1	23.81	9772	269	0.83		14	14	0.000
0	#	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	#	000000000000000000000000000000000001000000000	0.521	0.968	1	178.22	9871	270	0.91		99	357	0.032
1	0	0	0	#	0	0	0	0	#	0	0	0	#	0	0	0	0	0	0	1	#	0	000000000000000000000000000000000010000000000	1.000	1.000	1	99.27	9935	272	0.83		39	39	0.000
0	0	0	#	0	0	0	#	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.800	0.989	1	159.38	9956	274	0.91		114	152	0.011
0	0	0	0	#	0	0	#	1	0	0	0	0	#	0	0	0	0	0	#	0	0	0	000000000000001000000000000000000000000000000	0.503	0.966	1	165.49	9779	276	0.83		74	307	0.034
#	0	#	0	0	0	0	0	0	0	0	1	0	#	0	0	#	0	1	0	0	0	0	000010000000000000000000000000000000000000000	0.649	0.979	2	29.01	9784	281	0.83		14	27	0.021
1	#	0	0	#	0	0	#	0	0	0	0	0	1	0	0	0	#	0	0	0	0	0	000010000000000000000000000000001000000000000	0.631	0.977	1	185.48	9897	283	0.83		274	922	0.023
#	0	1	0	0	0	0	0	0	0	0	1	0	0	#	0	#	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	1	175.56	9999	284	0.87		137	137	0.000
#	0	0	0	0	0	0	0	0	1	0	0	0	#	0	#	1	0	0	0	0	0	0	000000000001000000000000000000000000100000000	1.000	1.000	2	39.37	9788	285	0.87		14	14	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	#	0	0	0	#	0	0	0	0	0	000000000000000001000000000000000000000000000	0.391	0.954	2	121.84	9791	288	0.91		14	125	0.046
#	1	0	0	0	0	0	0	0	#	0	#	#	1	0	0	1	0	#	0	0	0	0	000010000000000000000000000000001000000000000	0.896	0.995	3	68.91	9975	295	0.78		40	53	0.005
0	0	0	1	0	0	0	0	0	#	1	1	0	0	0	0	0	0	#	0	0	0	1	000000000000000000000000000000000000100001000	1.000	1.000	3	16.66	9799	296	0.91		14	14	0.000
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	#	0	#	0	#	0	1	0	000000000000000000000000000000000000001000000	1.000	1.000	2	19.72	9801	298	0.87		14	14	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	#	#	#	#	#	000000000001000000000000000000000000000001000	0.806	0.989	5	35.35	9804	301	0.78		14	27	0.011
0	0	1	0	0	0	0	0	0	1	#	0	0	#	0	0	1	0	0	0	0	0	0	000000000000000000000000000000000000100000000	1.000	1.000	1	30.00	9807	304	0.91		13	13	0.000
1	0	0	0	0	0	0	0	0	#	#	0	0	0	0	0	1	0	0	0	0	0	0	000010000000000000000000000000000010000000000	0.642	0.978	1	145.05	9809	306	0.91		13	74	0.022
1	1	0	0	0	#	0	0	0	0	0	#	0	1	0	0	0	1	0	0	#	0	0	000010000000000000000000000100001000000000000	0.271	0.937	1	112.11	9812	309	0.87		13	101	0.063
0	0	1	1	0	0	1	0	#	0	0	1	0	0	0	1	0	0	0	0	0	0	0	100000000000000000000000100000000000000000000	1.000	1.000	2	23.75	9814	311	0.96		13	13	0.000
1	0	0	0	0	#	0	0	0	0	0	0	0	1	1	0	1	1	#	0	0	1	0	000010000000000000000000000000000000000000000	1.000	1.000	1	35.03	9815	312	0.91		13	13	0.000
0	0	0	0	0	0	0	1	0	#	1	1	0	#	0	0	#	#	0	0	0	0	0	000000000100000000000000000000000000010000000	1.000	1.000	4	19.18	9820	317	0.83		13	13	0.000
0	0	0	1	#	#	1	0	#	0	0	1	0	0	0	1	0	#	0	0	0	0	0	000000000000000000000000100000000000000100000	1.000	1.000	4	30.38	9821	318	0.83		13	13	0.000
1	#	0	0	#	0	0	#	0	0	0	0	0	1	0	0	0	#	0	0	#	0	0	000010000000000000000000000000001000000000000	0.631	0.977	1	185.47	9897	322	0.78		271	927	0.023
#	1	1	0	0	0	0	0	0	0	1	1	0	0	0	#	1	0	#	0	0	0	0	000000000000000000000000000000001000000000000	1.000	1.000	2	18.06	9826	323	0.87		13	13	0.000
0	0	#	0	0	#	0	0	0	0	0	0	#	0	0	1	0	0	0	1	0	0	0	000000000100000000000000000000000000000000000	0.713	0.983	1	162.47	9960	324	0.87		244	392	0.017
0	0	0	1	0	0	0	0	0	0	0	#	0	0	0	0	#	0	#	0	0	0	0	000000000000000000000000000000000000000001000	0.909	0.995	1	148.96	9968	326	0.87		135	172	0.005
0	0	0	1	0	0	0	0	#	0	0	#	0	0	0	0	0	0	#	0	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	1	199.73	9959	326	0.87		86	86	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	#	000000000000000000000000000000000000000001000	1.000	1.000	3	23.79	9831	328	0.96		13	13	0.000
0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	#	1	000000000000000000000000100000000000000001000	1.000	1.000	3	9.04	9832	329	0.96		13	13	0.000
0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	#	0	100000000000000000000000000000000000000001000	0.855	0.992	2	100.86	9840	337	0.96		24	37	0.008
0	#	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100000000000000000000000000000000000000000000	0.447	0.961	1	169.61	9845	342	0.91		37	332	0.039
#	0	0	0	0	0	0	0	0	#	1	0	0	0	0	0	0	#	0	0	0	0	0	000000000000000000000000000000000000010000000	0.638	0.978	1	112.34	9846	343	0.87		13	26	0.022
#	0	0	0	0	0	0	#	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.801	0.989	1	159.38	9956	351	0.91		112	149	0.011
1	#	0	0	#	0	0	#	0	0	0	#	0	1	0	0	0	#	0	0	0	0	0	000010000000000000000000000000001000000000000	0.606	0.975	1	174.76	9897	358	0.78		283	1012	0.025
0	0	1	#	0	0	#	0	0	0	0	#	0	0	#	0	#	0	0	0	0	0	0	100000000000000000000000000000000000000000000	0.903	0.995	1	180.96	9999	359	0.78		505	591	0.005
#	0	0	0	0	0	0	0	0	#	0	#	0	1	0	#	0	0	0	0	0	#	0	000000000000000000000000000000010000000000000	0.508	0.967	1	209.02	9988	363	0.78		172	613	0.033
0	0	0	1	0	#	0	0	0	0	#	1	0	#	0	1	1	0	#	0	0	0	0	000000000001000000000000000000000000000001000	1.000	1.000	4	25.45	9867	364	0.83		13	13	0.000
#	0	0	1	#	0	0	0	0	0	#	1	0	#	0	0	0	0	0	0	0	0	0	000001000000000000000000000000000000000000000	0.390	0.954	2	130.22	9873	370	0.83		13	147	0.046
#	0	0	0	0	1	0	0	0	#	0	0	0	0	0	#	0	0	0	#	0	0	0	000000000000000000000000000000000000000000010	0.875	0.993	2	108.42	9909	373	0.83		183	244	0.007
0	#	1	0	0	0	0	0	0	0	1	0	#	0	0	0	0	#	0	0	#	1	1	100000000000000000000000000000000000000000000	1.000	1.000	2	17.21	9879	376	0.83		13	13	0.000
0	0	0	0	#	0	#	0	0	0	0	0	0	1	0	0	1	#	0	0	0	#	0	000000000000000000000000000000000000000000001	1.000	1.000	3	78.38	9882	379	0.83		36	36	0.000
0	1	0	0	0	0	#	#	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	000000000000000000000000000000001000000000000	1.000	1.000	4	17.94	9883	380	0.91		13	13	0.000
0	0	0	0	0	0	#	#	0	#	0	0	#	0	0	#	0	0	0	0	0	0	0	000000000000000000000000000000000000001000000	0.470	0.963	2	192.25	9926	382	0.78		207	1065	0.037
0	0	0	0	0	0	#	#	0	#	0	0	1	0	0	#	0	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	1	132.18	9926	382	0.83		158	158	0.000
0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	#	0	#	0	1	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	3	23.60	9888	385	0.91		13	13	0.000
