Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.123;0.137	-0.111;0.189	-0.226;0.244	-0.137;0.494	-0.200;0.220	-0.047;0.243	-0.119;0.141	0.313;0.733	-0.055;0.255	-0.016;0.384	-0.297;-0.144	0.419;0.704	-0.147;0.293	0.389;0.759	0.333;0.753	0.387;0.753	#	000100	0.024	0.867	1	4.60	580	580	0.94		0	0
#	0.398;0.718	0.410;0.660	0.411;0.671	#	0.312;0.682	0.505;0.755	-0.099;0.371	0.148;0.408	0.169;0.619	0.491;0.851	0.080;0.541	0.523;0.843	0.382;0.642	-0.088;0.412	0.024;0.291	0.291;0.549	000100	1.000	1.000	1	55.92	49938	609	0.88		30	30
-0.234;0.256	0.026;0.486	-0.222;0.248	-0.148;0.312	0.259;0.509	0.444;0.834	0.387;0.677	-0.133;0.367	-0.219;0.271	-0.021;0.469	#	0.373;0.815	0.004;0.464	-0.157;0.163	0.371;0.801	0.098;0.454	0.352;0.808	000110	1.000	1.000	1	79.80	49940	611	0.94		30	30
-0.180;0.250	-0.084;0.176	-0.220;0.280	-0.149;0.201	-0.187;0.243	0.213;0.703	#	0.382;0.862	0.076;0.446	#	-0.204;0.276	0.388;0.781	-0.142;-0.119	#	0.421;0.671	0.446;0.792	0.492;0.740	000110	0.100	1.000	1	2.50	616	616	0.82		0	0
0.548;0.664	0.246;0.606	0.307;0.697	0.080;0.480	0.056;0.456	-0.064;0.336	-0.000;0.420	0.326;0.616	0.151;0.611	0.174;0.434	0.225;0.715	0.226;0.698	-0.178;0.322	-0.042;0.238	#	0.060;0.466	0.061;0.468	000100	0.031	0.889	1	3.00	632	632	0.94		0	0
-0.159;0.311	-0.104;0.146	-0.053;0.207	0.086;0.336	-0.146;0.344	-0.180;0.300	-0.189;0.281	0.017;0.497	-0.086;-0.069	-0.070;0.240	-0.163;0.267	0.317;0.562	-0.188;0.252	-0.180;0.300	#	0.172;0.520	0.191;0.449	010000	0.009	0.786	1	7.71	660	660	0.94		0	0
-0.001;0.389	0.238;0.538	-0.013;0.447	0.042;0.482	0.240;0.520	-0.025;0.315	#	0.286;0.353	0.082;0.502	#	0.041;0.541	0.425;0.709	-0.052;0.398	-0.131;0.359	0.382;0.802	0.326;0.771	0.343;0.680	000100	0.026	0.875	1	6.25	713	713	0.88		0	0
-0.209;0.241	-0.188;0.292	#	0.348;0.818	0.267;0.627	0.427;0.677	-0.124;0.236	0.268;0.718	0.875;1.125	0.780;1.220	-0.129;0.361	-0.142;0.142	-0.088;0.402	0.606;0.866	-0.145;0.145	#	-0.035;0.412	000001	1.000	1.000	1	47.46	48367	722	0.88		21	21
#	0.820;1.160	0.717;1.077	0.768;1.048	#	0.745;1.055	0.775;1.225	#	#	#	0.453;0.933	0.291;0.586	0.418;0.708	#	0.349;0.739	#	0.324;0.751	010000	0.056	0.750	1	43.45	48395	750	0.59		30	60
-0.076;0.394	0.557;1.057	0.013;0.473	0.301;0.581	0.594;0.944	0.608;0.918	0.678;0.938	0.157;0.447	0.536;0.896	0.805;1.195	0.768;1.068	0.336;0.630	0.638;0.888	#	0.192;0.662	0.203;0.668	0.202;0.519	000010	1.000	1.000	1	52.42	48405	760	0.94		30	30
-0.163;0.177	#	-0.175;0.308	-0.127;0.133	0.113;0.254	#	-0.171;0.199	0.729;1.059	#	-0.041;0.279	-0.136;0.154	0.719;0.975	-0.118;0.212	0.203;0.613	0.654;1.014	0.749;1.026	0.634;1.080	100000	0.042	0.917	1	15.75	794	794	0.82		0	0
#	0.611;1.051	0.492;0.812	0.137;0.557	0.560;0.920	#	-0.199;0.201	-0.041;0.229	#	0.781;1.131	-0.032;0.368	0.030;0.482	0.086;0.506	0.074;0.554	-0.161;0.289	-0.148;0.148	0.340;0.617	000001	1.000	1.000	1	50.06	48465	820	0.82		30	30
0.489;0.759	0.264;0.584	#	0.303;0.593	0.180;0.480	#	0.252;0.672	0.157;0.597	0.094;0.484	0.654;1.064	0.736;0.986	0.112;0.515	0.222;0.672	0.100;0.500	0.364;0.744	0.301;0.558	0.099;0.535	000010	1.000	1.000	2	97.96	48482	837	0.88		30	30
-0.154;0.176	0.013;0.313	-0.152;0.218	0.026;0.346	0.319;0.589	0.473;0.773	0.267;0.757	0.540;0.820	0.520;0.820	0.289;0.729	#	-0.135;0.297	0.579;0.869	0.263;0.743	-0.058;0.202	0.409;0.765	-0.131;0.355	001000	1.000	1.000	1	62.00	48493	848	0.94		30	30
-0.090;0.390	0.603;0.863	-0.071;0.379	#	0.323;0.823	-0.058;0.362	0.147;0.607	0.180;0.650	-0.058;0.422	0.021;0.281	0.300;0.570	0.518;0.891	0.490;0.790	0.048;0.328	0.482;0.942	0.314;0.808	0.606;0.854	001000	1.000	1.000	2	98.71	48543	898	0.94		30	30
0.281;0.641	0.384;0.754	#	0.474;0.774	0.419;0.919	0.220;0.690	-0.086;0.334	-0.028;0.392	0.443;0.853	0.270;0.740	0.199;0.519	0.193;0.684	0.170;0.530	0.342;0.622	0.138;0.558	-0.144;0.202	0.317;0.724	000001	1.000	1.000	1	84.59	48549	904	0.94		30	30
0.447;0.767	-0.058;0.432	-0.207;0.273	#	-0.085;0.205	0.040;0.470	-0.029;0.351	0.561;1.001	0.296;0.716	-0.108;0.342	-0.027;0.283	0.798;1.083	0.390;0.780	0.646;0.996	0.424;0.804	0.648;1.043	0.778;1.135	000001	1.000	1.000	2	94.83	48567	922	0.94		30	30
-0.059;0.411	-0.069;0.391	-0.088;0.332	-0.101;0.339	-0.159;0.341	-0.031;0.449	-0.173;0.307	0.420;0.730	-0.023;0.407	-0.064;0.416	-0.111;0.219	0.360;0.733	-0.207;-0.085	0.033;0.493	0.348;0.838	0.482;0.858	0.403;0.721	000010	0.004	0.732	1	45.24	936	936	1.00		0	0
0.333;0.723	0.241;0.491	0.087;0.457	0.833;1.163	0.603;0.963	0.248;0.748	0.291;0.561	0.566;0.916	0.122;0.542	0.071;0.521	0.274;0.534	0.535;0.948	0.276;0.756	0.402;0.702	0.492;0.792	0.416;0.752	0.222;0.510	000001	1.000	1.000	2	82.28	48584	939	1.00		30	30
0.870;1.130	0.392;0.712	0.720;1.000	0.835;1.145	#	0.638;0.988	0.563;0.843	0.468;0.728	0.378;0.848	0.204;0.624	0.756;1.056	0.214;0.637	0.187;0.547	0.199;0.549	0.199;0.509	0.361;0.737	0.286;0.782	000001	1.000	1.000	1	58.22	48715	1070	0.94		30	30
#	0.650;1.000	0.547;0.927	0.678;1.028	0.713;1.053	0.182;0.582	0.692;1.112	-0.020;0.430	0.506;0.946	#	0.782;1.042	0.239;0.642	0.204;0.694	0.656;1.156	0.190;0.490	0.174;0.500	0.175;0.512	001000	1.000	1.000	1	35.51	48729	1084	0.88		30	30
0.167;0.507	0.054;0.524	-0.155;0.315	-0.101;0.229	0.470;0.750	0.109;0.449	0.169;0.469	-0.105;0.185	#	-0.038;0.312	0.149;0.419	0.124;0.428	-0.120;0.270	-0.125;0.125	0.306;0.556	-0.170;0.225	0.026;0.413	010000	1.000	1.000	1	104.88	48730	1085	0.94		30	30
0.081;0.511	-0.040;0.380	0.113;0.483	-0.000;0.460	-0.008;0.392	#	#	0.041;0.291	0.785;1.215	0.829;1.089	0.749;1.099	0.051;0.385	0.541;0.811	0.195;0.555	-0.006;0.424	0.232;0.638	0.009;0.485	000001	1.000	1.000	3	53.32	48736	1091	0.88		30	30
0.808;1.098	0.830;1.080	0.628;0.898	0.537;0.917	0.562;0.892	0.295;0.745	0.596;0.946	0.482;0.732	0.476;0.756	0.554;0.944	0.495;0.895	0.591;0.886	0.748;0.998	0.830;1.170	0.498;0.838	0.460;0.955	0.564;0.862	001000	1.000	1.000	1	32.73	48751	1106	1.00		30	30
0.466;0.966	0.542;0.912	0.181;0.571	0.312;0.802	0.193;0.643	0.338;0.628	0.155;0.645	0.036;0.486	0.149;0.609	#	0.533;0.783	-0.017;0.445	0.429;0.839	0.448;0.728	#	0.064;0.529	0.093;0.559	000100	1.000	1.000	1	75.38	48762	1117	0.88		30	30
0.195;0.505	0.258;0.748	0.393;0.713	0.347;0.667	0.292;0.542	-0.040;0.250	0.296;0.596	0.390;0.870	#	#	0.108;0.488	0.302;0.636	0.141;0.611	-0.102;0.228	0.175;0.595	0.408;0.823	0.311;0.738	100001	1.000	1.000	1	106.86	48763	1118	0.88		30	30
0.129;0.619	-0.169;0.221	0.096;0.366	0.169;0.429	0.293;0.673	0.722;1.062	0.241;0.591	-0.114;0.246	0.717;1.167	0.753;1.183	#	0.417;0.829	0.462;0.912	-0.054;0.206	#	0.046;0.441	#	000001	1.000	1.000	1	56.25	48790	1145	0.82		30	30
0.650;1.000	0.750;1.080	#	0.670;1.110	0.073;0.403	0.646;0.936	0.566;1.026	-0.045;0.455	0.742;1.042	0.716;1.096	0.475;0.955	0.331;0.724	0.459;0.799	0.712;1.172	0.231;0.621	0.003;0.349	0.214;0.630	001010	1.000	1.000	3	28.41	48802	1157	0.94		30	30
#	0.829;1.109	0.286;0.666	0.548;0.948	0.261;0.561	0.386;0.886	0.542;0.912	0.220;0.540	0.462;0.952	0.489;0.829	0.195;0.555	#	0.160;0.560	0.410;0.680	-0.063;0.387	0.354;0.760	0.190;0.438	000010	1.000	1.000	1	67.11	48833	1188	0.88		30	30
-0.177;0.213	-0.191;0.239	-0.126;0.204	-0.194;0.296	-0.107;0.173	0.602;0.892	#	0.599;1.059	0.679;0.959	0.790;1.210	-0.172;0.238	#	-0.042;0.408	0.289;0.589	0.505;0.965	0.623;1.028	0.563;1.029	010000	1.000	1.000	1	99.82	48862	1217	0.88		30	30
-0.233;0.257	-0.209;0.221	-0.147;0.173	#	0.350;0.830	0.279;0.749	-0.109;0.241	0.400;0.860	-0.125;0.185	0.475;0.805	0.082;0.542	0.497;0.978	-0.195;0.245	-0.013;0.397	0.542;0.942	0.411;0.707	#	100000	1.000	1.000	1	81.32	48893	1248	0.88		30	30
0.266;0.676	#	0.315;0.745	0.377;0.727	#	0.388;0.668	0.295;0.605	0.264;0.604	0.470;0.800	0.263;0.623	0.293;0.763	0.209;0.534	0.220;0.480	0.245;0.535	0.097;0.487	0.200;0.606	0.177;0.495	000001	1.000	1.000	1	158.26	48987	1342	0.88		30	30
0.217;0.717	0.400;0.820	0.192;0.612	0.197;0.467	0.318;0.618	-0.010;0.390	0.119;0.509	-0.002;0.458	0.223;0.673	0.295;0.585	0.116;0.546	0.417;0.899	0.780;1.220	0.091;0.481	0.497;0.857	-0.044;0.372	#	000001	1.000	1.000	1	78.83	49055	1410	0.94		30	30
0.024;0.404	0.376;0.706	0.244;0.634	0.259;0.529	0.457;0.757	0.224;0.654	0.652;0.952	-0.166;0.314	0.154;0.494	0.182;0.512	0.498;0.848	-0.051;0.194	0.236;0.686	0.032;0.402	#	0.007;0.452	-0.186;0.260	010000	1.000	1.000	1	60.48	49104	1459	0.94		30	30
-0.122;0.138	-0.229;0.231	-0.138;0.282	0.187;0.667	-0.169;0.311	0.319;0.619	-0.169;0.171	0.001;0.261	0.413;0.763	0.341;0.711	-0.231;0.269	#	0.074;0.494	-0.095;0.215	-0.063;0.357	-0.005;0.263	0.352;0.699	010000	1.000	1.000	1	85.10	49123	1478	0.94		30	30
-0.145;0.195	#	0.577;1.047	0.786;1.136	0.750;1.250	#	0.820;1.180	0.225;0.555	-0.147;0.213	0.593;0.983	0.825;1.175	0.468;0.960	#	0.007;0.497	0.684;1.064	0.357;0.605	0.489;0.777	010000	1.000	1.000	1	37.75	49175	1530	0.82		30	30
0.107;0.487	0.368;0.868	0.181;0.531	0.211;0.531	0.262;0.582	0.285;0.685	0.425;0.685	0.203;0.653	-0.059;0.341	0.196;0.546	0.169;0.549	0.290;0.673	0.107;0.377	0.101;0.451	#	0.287;0.683	0.667;0.745	000001	0.100	1.000	1	1.00	1580	1580	0.94		0	0
0.151;0.611	-0.124;0.366	#	0.500;0.790	0.594;0.964	0.304;0.634	0.428;0.778	-0.152;0.328	0.387;0.767	0.223;0.663	0.368;0.788	0.197;0.541	-0.055;0.435	0.194;0.544	0.355;0.765	-0.035;0.460	0.378;0.686	000001	1.000	1.000	2	76.50	49255	1610	0.94		30	30
-0.195;0.195	-0.124;0.126	-0.199;0.201	-0.181;-0.027	-0.243;0.247	0.248;0.558	-0.150;0.150	-0.033;0.267	-0.077;0.383	0.014;0.394	-0.233;0.237	-0.044;0.250	0.364;0.714	0.026;0.396	-0.107;0.303	-0.089;0.287	-0.069;0.298	010000	0.100	1.000	1	3.67	1623	1623	1.00		0	0
-0.055;0.405	0.069;0.479	#	-0.008;0.352	0.187;0.437	0.414;0.734	0.068;0.448	0.379;0.719	-0.023;0.357	0.156;0.526	0.072;0.532	0.531;0.777	0.051;0.541	-0.113;0.051	0.339;0.875	0.498;0.794	0.527;0.844	001000	0.042	0.917	1	4.00	1625	1625	0.94		0	0
0.197;0.647	#	0.622;0.912	-0.072;0.278	#	#	-0.192;0.255	#	-0.120;0.220	-0.064;0.316	-0.236;-0.166	0.399;0.811	#	-0.064;0.332	#	0.506;1.002	0.435;1.013	100000	0.055	0.896	1	23.50	1685	1685	0.65		0	0
-0.154;0.286	0.064;0.554	-0.125;0.305	-0.115;0.235	#	0.177;0.447	0.128;0.448	0.476;0.876	0.105;0.475	0.040;0.470	0.033;0.483	0.577;0.960	0.424;0.434	0.004;0.404	0.543;0.903	0.482;0.739	0.631;1.017	001000	0.031	0.889	1	14.33	1688	1688	0.94		0	0
0.247;0.647	0.082;0.502	0.381;0.671	0.339;0.839	0.523;1.077	0.527;0.957	0.252;0.642	-0.001;0.254	0.373;0.773	0.493;0.943	0.503;0.953	0.080;0.365	0.163;0.180	0.512;0.982	0.014;0.404	-0.051;0.374	0.010;0.427	000001	0.100	1.000	1	1.00	1697	1697	1.00		0	0
-0.130;0.130	-0.095;0.295	-0.159;0.161	0.693;1.113	#	-0.047;0.213	0.795;1.205	0.953;0.968	-0.240;0.260	0.860;1.140	-0.083;0.357	-0.231;0.231	-0.175;0.175	0.785;1.215	-0.185;0.185	0.139;0.525	-0.041;0.296	010000	0.100	1.000	1	1.00	1703	1703	0.94		0	0
0.093;0.413	0.126;0.466	0.023;0.343	0.010;0.470	0.047;0.357	0.204;0.684	0.227;0.497	0.023;0.333	0.032;0.462	#	0.040;0.480	#	0.230;0.650	0.154;0.604	0.066;0.172	0.121;0.536	0.241;0.589	001000	0.031	0.889	1	4.33	1743	1743	0.88		0	0
-0.113;0.187	-0.217;0.233	-0.204;0.256	-0.166;0.224	-0.131;0.169	-0.165;0.245	-0.192;0.218	0.663;1.013	0.210;0.530	0.029;0.449	-0.200;0.250	0.710;0.995	0.694;0.732	0.105;0.355	0.653;1.023	0.611;1.026	0.653;1.020	001010	0.100	1.000	1	9.00	1758	1758	1.00		0	0
-0.036;0.414	-0.174;0.316	0.448;1.206	0.535;0.945	0.326;0.806	0.151;0.471	-0.135;0.255	0.560;0.840	0.276;0.502	0.213;0.713	-0.124;0.376	0.735;0.792	-0.000;0.450	#	0.507;0.927	0.546;0.892	0.323;0.729	000100	0.100	1.000	1	5.00	1762	1762	0.94		0	0
0.348;0.648	0.366;0.453	0.174;0.674	0.337;0.607	#	0.206;0.506	-0.076;0.628	0.427;0.797	0.113;0.553	0.243;0.683	#	0.234;0.725	0.170;0.560	-0.158;0.292	0.564;0.612	0.450;0.760	0.343;0.621	000001	0.100	1.000	1	4.00	1776	1776	0.88		0	0
-0.186;0.214	-0.158;0.172	#	#	-0.050;0.297	0.807;0.840	-0.205;0.215	0.639;0.889	-0.181;0.199	0.119;0.589	-0.222;0.248	0.655;1.068	-0.227;0.233	-0.149;0.161	0.657;1.097	0.662;0.949	0.633;0.901	100000	0.100	1.000	1	5.50	1805	1805	0.88		0	0
0.875;1.125	0.785;1.215	0.647;1.077	0.745;1.115	0.770;1.120	0.378;0.828	0.698;1.138	0.348;0.598	0.720;1.060	0.100;0.360	#	0.379;0.870	0.749;0.820	0.775;1.035	#	0.363;0.838	0.382;0.868	001000	0.100	1.000	1	1.50	1808	1808	0.88		0	0
0.086;0.356	-0.035;0.315	0.476;0.886	0.030;0.350	-0.124;0.266	0.290;0.560	-0.002;0.438	0.422;0.832	0.665;1.055	0.383;0.403	-0.050;0.400	-0.123;0.300	-0.068;0.212	0.414;0.824	-0.200;0.200	0.183;0.618	-0.239;0.247	000001	0.100	1.000	1	1.00	1820	1820	1.00		0	0
#	0.385;0.675	0.010;0.380	0.140;0.510	0.363;0.753	0.347;0.747	0.237;0.487	0.345;0.357	0.241;0.671	0.404;0.684	0.260;0.879	0.542;0.797	0.353;0.723	0.695;0.955	0.558;0.928	0.371;0.698	0.397;0.843	000010	0.100	1.000	1	1.00	1831	1831	0.94		0	0
#	0.385;0.631	0.010;0.380	0.140;0.510	0.363;0.753	0.347;0.747	0.237;0.487	0.345;0.845	0.241;0.671	0.404;0.684	0.260;0.670	0.542;0.797	0.353;0.723	0.695;0.955	0.546;0.558	0.371;0.698	0.397;0.843	000010	0.100	1.000	1	1.00	1831	1831	0.94		0	0
-0.142;0.308	#	-0.127;0.253	-0.119;0.251	0.020;0.350	0.172;0.442	#	0.641;0.971	-0.095;0.405	0.320;0.600	0.436;0.471	0.671;1.083	0.056;0.546	-0.206;0.244	#	0.653;1.019	0.662;1.046	100000	0.100	1.000	1	3.50	1860	1860	0.82		0	0
-0.137;0.173	0.063;0.433	-0.142;0.178	-0.218;0.282	#	0.034;0.329	-0.044;0.406	0.469;0.729	0.128;0.428	#	#	0.781;1.184	0.154;0.414	#	1.018;1.202	0.374;0.810	0.820;1.117	001000	0.100	1.000	1	6.00	1874	1874	0.76		0	0
-0.137;0.173	0.063;0.433	-0.142;0.178	-0.218;0.282	#	0.302;0.384	-0.044;0.406	0.469;0.729	0.128;0.428	#	#	0.781;1.184	0.154;0.414	#	0.752;1.202	0.374;0.810	0.820;1.117	001000	0.100	1.000	1	6.00	1874	1874	0.76		0	0
0.175;0.565	0.503;0.783	0.302;0.316	0.553;1.225	-0.005;0.375	0.870;1.130	0.179;0.509	0.526;0.836	0.138;0.528	0.390;0.710	0.038;0.438	0.431;0.735	0.478;0.788	0.191;0.641	0.336;0.606	0.496;0.882	0.259;0.557	000001	0.100	1.000	1	2.50	1875	1875	1.00		0	0
-0.095;0.235	0.142;0.228	-0.091;0.219	-0.145;0.275	-0.165;0.275	0.268;0.558	-0.102;0.238	0.494;0.984	0.337;0.827	0.479;0.909	-0.063;0.217	0.454;0.955	0.052;0.462	-0.102;0.178	0.511;0.791	0.555;0.901	0.539;0.916	000110	0.100	1.000	1	9.50	1881	1881	1.00		0	0
