Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	-0.330;0.206	#	#	#	-0.129;0.138	#	-0.643;0.146	00110000000000	0.000	0.036	1	41.98	58	58	0.30		1	28
#	#	-0.265;0.325	#	#	#	#	-0.288;-0.021	-0.460;0.072	-0.133;0.174	01101100011110	0.000	0.091	1	34.74	62	62	0.40		1	11
#	-0.073;0.063	-0.216;0.240	#	-0.020;0.239	-0.309;0.108	#	-0.201;0.238	-0.176;0.249	#	01100000000110	0.000	0.111	1	38.44	80	63	0.60		1	9
#	#	-0.258;0.377	-0.227;0.166	-0.350;0.067	-0.324;0.429	-0.329;0.396	#	#	0.026;0.412	11110000000110	0.000	0.200	1	34.20	64	64	0.60		1	5
#	-0.112;0.157	-0.380;0.246	-0.127;0.130	-0.182;0.313	#	-0.394;0.351	#	-0.209;0.178	#	11000000000110	0.000	0.087	1	41.18	65	65	0.60		2	23
#	-0.156;0.046	-0.312;0.341	#	-0.280;0.158	-0.134;-0.045	#	#	#	#	01110000000110	0.000	0.000	1	43.50	69	69	0.40		0	8
-0.126;0.161	-0.226;-0.017	-0.379;0.113	-0.186;0.049	#	-0.339;0.088	#	-0.222;-0.010	#	-0.393;0.183	11110000000110	0.000	0.200	1	38.80	71	71	0.70		1	5
#	#	#	-0.189;0.143	-0.066;0.171	#	#	#	-0.283;0.037	#	00111000000110	0.000	0.100	1	39.50	72	72	0.30		1	10
-0.197;0.104	-0.190;0.123	-0.302;0.342	#	#	0.135;0.501	#	0.204;0.502	#	-0.136;0.132	00001100000110	1.000	1.000	1	5.00	74	74	0.60		1	1
-0.199;0.270	#	-0.258;0.108	#	#	-0.269;0.097	#	#	-0.240;0.089	#	00111100000111	0.000	0.062	1	37.79	75	75	0.40		1	16
-0.154;0.105	#	-0.435;0.218	#	-0.106;0.182	-0.190;0.268	-0.093;0.209	-0.159;0.249	#	#	10000000000000	0.000	0.071	1	39.34	78	78	0.60		1	14
#	#	#	#	#	#	#	#	#	-0.258;0.136	00001100000110	0.000	0.125	1	40.74	93	81	0.10		2	16
#	#	#	#	-0.221;0.102	#	-0.282;0.171	-0.313;0.008	#	-0.044;0.264	00000011000110	0.000	0.143	1	34.57	82	82	0.40		1	7
#	#	-0.184;0.129	#	-0.171;0.274	#	#	-0.250;0.016	#	#	00000110000000	0.000	0.100	1	37.30	83	83	0.30		1	10
#	#	#	0.063;0.373	-0.024;0.178	#	-0.323;0.352	#	#	#	00000110001100	0.004	0.333	1	35.33	85	85	0.30		1	3
#	-0.202;0.335	#	#	#	#	-0.276;0.207	#	-0.134;0.166	#	00110000000111	0.000	0.091	1	41.14	87	87	0.30		1	11
-0.139;0.176	-0.242;0.139	-0.137;0.113	-0.339;0.122	#	#	#	#	#	-0.292;0.102	01100000000000	0.000	0.111	1	43.44	88	88	0.50		1	9
-0.109;0.186	-0.265;0.266	-0.361;0.158	#	-0.400;0.117	#	#	#	#	#	00000000011000	0.000	0.167	1	39.33	91	91	0.40		1	6
-0.208;0.268	-0.245;0.068	-0.319;0.226	-0.293;0.160	-0.167;0.163	#	-0.356;0.147	#	#	#	00000000011110	0.000	0.000	1	43.00	92	92	0.60		0	5
#	#	#	#	-0.156;0.175	-0.290;0.218	-0.174;0.239	-0.165;0.126	-0.315;0.188	#	00001100000110	0.000	0.000	1	43.50	93	93	0.50		0	4
-0.073;0.235	#	#	#	#	#	-0.147;0.306	#	-0.419;0.239	#	11000000000000	0.004	0.333	1	37.33	94	94	0.30		1	3
#	#	-0.322;0.251	-0.293;0.138	#	#	#	#	-0.524;0.163	#	10110000000000	0.004	0.333	1	46.67	95	95	0.30		1	3
-0.145;0.247	#	#	#	-0.318;-0.031	#	#	-0.146;0.105	-0.133;0.148	-0.070;0.514	00110000000110	0.031	0.500	1	39.00	96	96	0.50		1	2
#	#	#	#	-0.246;0.178	#	-0.346;0.288	-0.487;0.085	#	#	00110011000000	0.031	0.500	1	46.50	97	97	0.30		1	2
-0.172;0.080	#	-0.156;0.202	-0.278;0.221	-0.242;0.175	-0.183;0.071	#	-0.054;0.221	-0.096;0.281	-0.280;0.303	11001100000110	0.031	0.500	1	52.00	98	98	0.80		1	2
