Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	-0.016;0.035	#	#	#	#	#	#	#	-0.191;0.380	-0.053;0.094	#	#	#	#	#	#	#	-0.023;0.503	#	#	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.310	0.889	1	56.60	9825	2168	0.12		22	67
2.779;8.427	#	-0.000;0.029	#	#	#	#	#	-0.091;0.184	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.002;0.023	#	#	#	#	#	#	001001010000001000010001000010000101100000000000001000000000000001000010100000010000000000010001010100000100010010000000000000000000010000000000000000001000000000000000000000	0.137	0.820	1	717.58	9885	2228	0.12		21	5178
#	#	#	#	#	#	0.226;0.566	#	0.106;0.263	0.113;0.295	0.548;0.779	#	#	#	#	0.107;1.126	0.037;0.151	#	#	-19808043079825703849842114878985096297314544923090773042976659217756331957926023182991204778263767901576022500749674966487971140059653459051606089122180475380093932684705792.000;41808063081845904238439705688075858938437362082491472849011313047799742123461525143566423736110892192196208761222230506243693473476160027053052189713086875460815589824528384.000	#	#	#	0.106;0.344	#	#	0.012;0.052	#	0.274;0.655	#	#	#	#	011000010001010100000101010101010101000000000000000000000001000000001000000000000000100000001100000000000000110011000100000000000000000000000000000000000000010000000000000000	1.000	1.000	1	144.35	9894	2237	0.30		21	21
#	#	#	#	0.024;0.051	0.111;0.928	#	#	#	#	#	#	#	#	#	#	-0.029;0.060	#	#	#	#	#	-1.360;5.158	0.010;0.215	#	#	#	#	#	#	-0.049;0.311	0.478;0.819	#	010001100010000110100010101000011010000000000001000000100000000010000000100000000000000000010010100001010101000100000100000000000000100000100000000000000000000000000000000000	0.086	0.783	1	740.36	9899	2242	0.21		21	3522
#	#	0.021;0.059	#	#	#	#	#	0.315;0.666	-0.093;0.093	#	#	#	-0.141;0.173	#	#	0.018;0.094	#	#	#	#	#	-2.109;2.109	-0.079;0.079	#	#	#	-0.160;0.160	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	45.07	9966	2309	0.24		22	22
#	#	#	#	#	#	#	#	#	#	#	#	#	0.085;0.227	#	#	-0.007;0.080	#	#	71222157222186220423614619655729959107472830604930355222302807692099322957744608077525833104512696893075100118109372218580147545575492818972205272166556089827683015084474368.000;128797862979813795276977336377507789146325385442969500054106039291963509464505826873605056805841593623829788330539164933435676317197000899269956319328723695398166817687994368.000	#	0.028;0.341	#	#	#	0.007;0.077	#	#	#	#	0.322;0.577	#	#	100010010101000001010101010100000101000000000000010000000001000001000000000000010010100000001001010100101000110011010000000000000000011000000000010000000000010000000000000000	0.446	0.922	1	439.04	9979	2322	0.18		22	44
#	#	#	#	#	#	-0.101;0.692	#	#	#	#	#	#	#	#	#	#	-0.173;0.309	#	#	-0.898;1.038	0.013;0.363	#	#	#	#	#	#	#	#	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.512	0.935	1	65.63	9883	2577	0.12		20	41
#	#	#	#	#	#	0.524;0.819	#	#	0.165;0.251	#	#	#	#	#	#	-0.011;0.076	0.375;0.548	#	#	#	#	1.405;5.239	#	#	0.020;0.061	#	0.244;0.712	#	#	-0.070;0.252	0.155;0.802	#	000001000101000001000100000100000000100000000000000000000000000000000000000000010000001000000010000010000100010111000000000000000000000000000000000000000000000000000000000000	1.000	1.000	1	410.39	9950	2644	0.27		21	21
#	-0.005;0.017	0.021;0.059	#	#	-1.145;0.538	#	#	#	-0.093;-0.051	#	#	-0.340;0.340	-0.141;0.173	#	#	#	#	#	#	-0.968;0.968	#	#	#	#	#	#	#	#	#	#	#	-0.043;0.047	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.100	1.000	1	73.67	2660	2660	0.24		0	0
#	#	#	#	#	#	#	#	#	-0.093;0.093	#	#	#	#	-40.922;40.922	#	0.018;0.094	#	#	#	#	#	#	-0.079;0.079	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	44.46	9966	2660	0.12		21	21
5.854;11.271	0.029;0.052	0.008;0.039	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.469;0.696	#	#	#	0.364;0.632	#	0.151;0.373	#	#	#	#	0.499;0.756	0.259;1.553	#	#	0.019;0.100	010001100001100101100000000001101010000000000000000000000000000000010110000000010000000000000000101010000100010110010100000000000000000000000000000000000000000000000000000000	1.000	1.000	1	277.83	9656	2701	0.27		20	20
#	#	#	#	#	#	#	#	#	#	0.371;0.676	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.050;0.581	#	#	#	#	001001000000001000010101000010010101100010000000000000000000000000000010110000010000000000000000000100010000010010000000000000000000000000000100000000000000000000000010000000	0.142	0.823	1	628.84	9719	2764	0.06		20	6865
#	#	0.006;0.031	#	#	#	#	#	-0.121;0.173	#	0.289;0.725	#	#	-0.129;0.190	#	#	-0.017;0.045	#	#	#	#	#	0.324;3.870	0.028;0.157	#	#	-0.001;0.031	0.395;0.612	#	#	#	#	#	010101001010000010101010101000011010000000010000000000000000000000000010000000100100000000000010001001000100010101100000100010010000000000000000000000000000000000000000000100	0.075	0.772	1	750.30	9745	2790	0.27		20	3757
#	#	#	#	#	#	#	#	#	#	0.247;0.848	#	#	#	#	#	#	#	#	#	0.781;1.870	#	#	#	#	-0.014;0.050	#	#	#	-0.112;1.181	-0.134;0.520	#	0.096;0.161	000000000000000010000000000000010100000010000000000000000000000000000010110000010000000000000100000100010000010110000000000000000000000000000000000000100000000000000000000000	0.186	0.845	1	679.25	9767	2812	0.18		20	779
#	#	#	#	-0.016;0.035	#	#	#	#	#	-0.099;0.276	#	-0.191;0.380	#	#	#	#	#	#	-11202102121231110434272744015257155457793476497393058551442630981969737882771334579649573371990549562515180503264578961402054413305907115139139430136055813989913513911386112.000;31222102121231310612753277731617666419608111616438283909567797512501880292671446938577102840378513036045248462200432257908641537343309035614260499456251543376853601806712832.000	#	#	#	0.132;0.289	#	#	#	#	-0.059;0.529	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	65.65	9825	2870	0.18		20	40
#	#	#	#	-0.016;0.035	#	#	#	#	#	-0.087;0.288	#	-0.417;0.246	-0.117;0.158	#	#	#	#	#	#	#	-0.023;0.503	#	0.134;0.287	#	#	#	#	#	-0.836;0.869	0.511;1.203	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	65.65	9825	2870	0.24		20	40
#	#	#	#	#	#	-0.107;0.697	#	#	0.057;0.282	#	-0.000;0.034	#	#	#	#	#	#	#	#	#	#	#	#	#	0.024;0.048	#	#	#	#	#	-0.102;0.239	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	1.000	1.000	1	74.29	9883	2928	0.15		19	19
#	#	#	#	0.082;0.127	#	#	#	0.106;0.263	0.113;0.295	#	#	0.454;1.133	#	#	0.107;1.126	#	#	#	-19808043079825703849842114878985096297314544923090773042976659217756331957926023182991204778263767901576022500749674966487971140059653459051606089122180475380093932684705792.000;41808063081845904238439705688075858938437362082491472849011313047799742123461525143566423736110892192196208761222230506243693473476160027053052189713086875460815589824528384.000	#	#	#	0.106;0.344	#	#	0.012;0.052	#	0.274;0.655	#	#	#	0.173;0.278	011000010001010100000101010101010101000000000000000000000001000000001000000000000000100000001100000000000000110011000100000000000000000000000000000000000000010000000000000000	1.000	1.000	1	139.83	9894	2939	0.30		19	19
#	#	#	#	#	#	#	#	#	0.074;0.233	#	0.068;0.114	0.329;0.972	#	#	#	-0.012;0.053	#	#	-15756451575780648649503374069989525598319970580565487542778672680446148721669280666199167390782941920863983035986860940142330109200068666856934240641763626136093301657305088.000;35758653575780866054284196687949044172332357384069179794594497705922092331457255055847673994493231581524929609947930171954527812328694249047473959435788642667709484415057920.000	0.522;1.612	0.097;0.503	#	-0.006;0.272	#	#	#	0.289;0.766	#	#	-0.062;0.364	#	#	010001101000000110100000101001010000100000000000000000001010100000010000000000010000000000000010001000010100100100000100000010000000000000000000000001000000000000000100000000	0.100	0.794	3	681.79	9676	3072	0.30		19	2689
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.823;1.516	#	#	#	#	#	#	0.301;0.942	#	#	#	#	0.090;0.168	010001001000101000101000100010000000000000000000000000010000001000000010100000110101000001010000100001000001001110000010000001000000000000000000000000000000000000000000000001	0.079	0.776	1	667.50	9700	3096	0.09		19	3542
1.644;10.173	#	#	#	#	-0.022;0.832	#	#	-0.032;0.096	#	#	#	0.139;0.764	#	-112.664;-37.368	#	#	#	#	-13636251372658636788952979640329905001482950609454456514537620662012723686629459827961545032017550959604204228426492152429186587134596136708786413205736101232773561738854400.000;33838453374858837815117827141715824590369226106243892493215508915358220397407287178063708142556807057207524706511631224495224100999003336266726555482072609726575213312737280.000	#	-0.065;0.535	#	#	#	#	#	#	#	#	#	0.138;0.741	#	010101101001100100100010100001001010100000000000000000000000000000010000100001010100000000000010101010000000000100100000000010001000000000010100000000000000000000000000011000	0.074	0.770	1	713.06	9734	3130	0.24		19	4519
#	#	#	#	#	#	0.255;0.561	-1.304;2.977	#	#	#	#	#	#	#	0.698;1.683	#	#	#	#	#	#	#	#	#	#	#	#	0.284;0.591	#	#	#	#	011001001000000010010001001000010101000000000100000000000001000100000001000100000010001000010000000000010100010011001000101000000010000000000000000000000000010000000000000000	0.094	0.790	1	551.60	9768	3164	0.12		19	1132
2.476;7.778	0.032;0.051	#	0.150;0.604	#	#	#	#	-0.116;0.225	-0.004;0.212	#	#	#	#	#	#	-0.022;0.072	#	#	-9191901918109189915518406707576126098096436951294761273103121597540291521708031399494334575645447978714029995094092791699524029932688737380175176279097065530273040919691264.000;29191901920309192747990266096058284345980199683948567175646091123760382033260826199096549275435812164909125424737889436762802535191578479724826521852627687135547136556400640.000	#	#	#	#	#	#	#	#	#	#	#	#	#	010000000001100001000010010110001000000000000000000000000100000000010010100000010000010000100000000000001100110100000100000000000000000000100000000000000000000000000000000000	0.113	0.804	1	726.05	9824	3220	0.21		19	4885
