Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.179;-0.136	#	-0.198;0.242	#	-0.101;0.179	-0.133;0.157	-0.197;0.233	#	-0.152;0.178	#	-0.184;0.246	#	-0.171;0.209	#	#	0.310;0.734	0.268;0.665	000100	0.010	0.792	1	14.91	219	219	0.59		0	0
-0.068;0.292	-0.006;0.244	-0.006;0.434	0.182;0.492	0.518;1.008	0.243;0.533	0.335;0.735	-0.230;0.230	0.436;0.926	0.301;0.671	0.160;0.410	-0.110;0.352	0.575;0.875	0.080;0.400	-0.194;0.206	0.074;0.401	0.066;0.423	100000	1.000	1.000	1	73.39	49553	224	1.00		30	30
-0.205;0.205	0.547;1.017	-0.195;0.195	-0.240;0.240	0.875;1.125	0.646;1.006	0.493;0.843	-0.082;0.288	0.188;0.448	0.815;1.185	0.805;1.195	-0.123;0.123	-0.190;0.310	0.108;0.588	-0.210;0.210	0.287;0.663	-0.159;0.159	010000	1.000	1.000	2	33.11	49562	233	1.00		30	30
0.637;1.117	#	0.820;1.180	0.686;0.936	0.510;1.010	0.567;0.887	#	0.203;0.643	0.830;1.170	0.865;1.135	0.428;0.768	#	0.235;0.525	0.574;0.884	0.194;0.524	0.087;0.383	0.570;0.818	000001	1.000	1.000	2	43.38	49567	238	0.82		30	30
0.097;0.567	0.463;0.813	0.306;0.596	0.478;0.828	0.563;0.863	0.438;0.928	0.552;0.852	#	0.541;0.891	0.483;0.953	0.475;0.835	0.402;0.686	0.412;0.672	-0.037;0.433	0.289;0.789	0.344;0.651	0.284;0.661	000001	1.000	1.000	1	108.22	49619	290	0.94		30	30
0.158;0.558	0.467;0.877	0.222;0.492	0.290;0.610	0.529;0.999	0.506;0.936	#	0.131;0.451	0.463;0.773	0.620;0.870	0.295;0.595	0.375;0.837	0.280;0.750	0.368;0.788	0.341;0.761	-0.053;0.333	0.467;0.735	001010	1.000	1.000	4	81.57	49623	294	0.94		30	30
0.124;0.454	-0.174;0.236	0.845;1.155	0.875;1.125	#	0.870;1.130	0.174;0.554	0.670;0.990	-0.162;0.298	0.785;1.215	0.394;0.864	0.086;0.361	#	#	-0.160;0.160	0.529;0.944	#	010000	1.000	1.000	1	26.65	49637	308	0.76		30	30
#	-0.147;0.273	-0.001;0.339	-0.083;0.237	-0.109;0.231	0.439;0.709	-0.143;0.247	#	0.598;1.088	0.661;1.011	#	0.383;0.678	0.711;1.041	0.610;1.040	0.319;0.589	0.474;0.761	0.433;0.681	000010	1.000	1.000	1	65.33	49652	323	0.82		30	30
-0.177;0.183	-0.242;0.248	-0.209;0.211	-0.139;0.141	-0.229;0.231	-0.238;0.262	-0.224;0.226	0.627;1.077	-0.197;0.203	-0.194;0.196	-0.158;0.162	1.030;1.066	-0.202;0.208	-0.239;0.241	0.693;1.003	0.707;1.034	#	100000	0.022	0.861	1	9.96	333	333	0.94		0	0
#	-0.133;0.357	#	0.074;0.564	-0.040;0.440	0.224;0.704	0.027;0.042	0.407;0.807	0.044;0.534	0.145;0.485	0.153;0.443	0.429;0.763	-0.094;0.196	-0.141;0.239	0.479;0.739	0.344;0.829	0.433;0.711	100000	0.100	1.000	1	1.00	341	341	0.88		0	0
0.450;0.890	0.274;0.644	0.446;0.766	0.135;0.565	0.243;0.683	0.222;0.572	0.513;0.773	-0.082;0.218	0.347;0.647	0.312;0.662	0.394;0.734	0.033;0.485	0.430;0.840	0.336;0.836	0.105;0.365	0.083;0.459	-0.132;0.254	000100	1.000	1.000	1	58.90	49674	345	1.00		30	30
-0.165;0.205	0.226;0.566	-0.228;0.262	-0.088;0.282	0.670;0.990	0.129;0.539	0.424;0.884	0.178;0.678	-0.042;0.218	-0.077;0.183	0.564;0.964	0.560;1.022	0.296;0.596	-0.110;0.250	0.537;0.937	0.257;0.574	0.597;0.994	010000	1.000	1.000	1	66.29	49680	351	1.00		30	30
0.850;1.150	0.870;1.130	0.774;1.174	0.770;1.230	0.825;1.175	#	0.865;1.135	0.335;0.685	#	0.280;0.560	0.875;1.125	0.473;0.836	0.760;1.080	0.397;0.857	0.370;0.650	0.486;0.862	0.543;0.801	001000	1.000	1.000	1	44.63	49699	370	0.88		30	30
-0.117;0.233	-0.011;0.299	#	-0.066;0.204	-0.195;0.285	-0.082;0.318	-0.098;0.292	0.601;0.941	#	-0.091;0.289	-0.162;0.298	0.716;1.040	0.108;0.428	-0.171;0.279	0.690;1.030	0.669;0.986	0.626;0.662	000100	0.100	1.000	1	3.50	371	371	0.88		0	0
-0.118;0.182	-0.081;0.209	-0.191;-0.077	#	-0.148;0.332	-0.080;0.310	#	-0.010;0.350	-0.130;0.220	-0.086;0.184	-0.030;0.220	-0.079;-0.069	-0.202;0.248	0.120;0.380	-0.167;0.313	0.024;0.397	-0.007;0.469	000010	0.016	0.833	1	3.00	387	387	0.88		0	0
-0.009;0.241	-0.150;0.210	-0.007;0.333	0.362;0.712	0.323;0.703	0.353;0.693	#	0.352;0.612	-0.154;0.166	0.016;0.336	0.361;0.671	-0.015;0.447	-0.159;0.161	-0.209;0.211	0.118;0.538	0.342;0.827	0.337;0.724	000001	1.000	1.000	1	74.15	49762	433	0.94		30	30
#	-0.133;0.137	-0.230;0.230	-0.175;0.175	-0.171;0.239	0.286;0.546	0.383;0.653	0.665;1.065	#	-0.155;0.155	0.765;1.235	-0.152;0.152	#	-0.120;0.150	-0.245;0.245	0.669;0.916	#	010000	1.000	1.000	1	54.51	49766	437	0.76		30	30
-0.022;0.468	-0.075;0.175	0.043;0.293	0.349;0.659	0.165;0.615	0.442;0.902	-0.141;0.219	0.687;0.967	0.085;0.585	0.352;0.732	#	#	0.351;0.821	0.094;0.394	0.591;0.911	0.621;1.007	0.519;0.817	000110	1.000	1.000	3	105.14	49797	468	0.88		30	30
0.760;1.240	0.099;0.589	#	0.801;1.051	0.676;0.976	0.451;0.751	0.705;1.035	-0.152;0.228	0.431;0.691	0.600;1.040	0.428;0.828	0.017;0.498	0.433;0.833	0.313;0.603	0.233;0.713	0.034;0.499	0.069;0.565	010000	1.000	1.000	2	42.37	49814	485	0.94		30	30
-0.131;0.169	0.127;0.607	-0.134;0.196	-0.115;0.205	-0.185;0.235	0.007;0.457	0.051;0.311	0.397;0.877	-0.163;0.197	0.260;0.263	-0.126;0.164	0.791;1.086	#	-0.072;0.248	0.703;1.193	0.652;0.929	0.711;1.088	100000	0.031	0.889	1	6.00	489	489	0.94		0	0
-0.100;0.380	#	0.433;0.913	0.335;0.645	0.322;0.742	-0.112;0.388	-0.126;0.254	0.468;0.868	-0.172;0.298	0.585;0.865	#	0.193;0.448	-0.098;0.342	-0.133;0.217	0.367;0.867	0.496;0.891	-0.132;0.255	000100	1.000	1.000	1	54.11	49841	512	0.88		30	30
-0.224;0.226	0.601;1.051	-0.225;0.275	0.860;1.110	0.770;1.230	0.644;1.114	0.527;1.017	0.291;0.561	-0.142;0.288	0.001;0.371	#	-0.169;0.273	0.426;0.836	0.691;1.021	-0.110;0.200	0.356;0.771	0.232;0.490	000001	1.000	1.000	1	33.85	49873	544	0.94		30	30
0.748;1.108	0.104;0.434	0.784;1.104	0.796;1.096	0.860;1.140	0.728;1.168	0.768;1.128	0.639;0.929	0.617;1.087	#	0.810;1.190	0.359;0.654	-0.106;0.304	0.553;0.893	0.284;0.764	0.264;0.690	0.328;0.725	000001	1.000	1.000	1	31.83	49903	574	0.94		30	30
-0.124;0.146	0.066;0.446	-0.122;0.148	-0.158;0.322	0.134;0.634	0.484;0.794	0.282;0.782	-0.113;0.347	-0.164;0.216	0.089;0.359	0.440;0.880	0.432;0.756	0.099;0.369	-0.237;0.243	0.426;0.746	0.147;0.404	0.456;0.704	000110	1.000	1.000	1	80.88	49940	611	1.00		30	30
#	-0.046;0.204	-0.058;0.252	-0.087;0.323	-0.121;0.289	-0.030;0.300	-0.113;0.227	0.389;0.659	-0.016;0.324	-0.108;0.392	-0.079;0.191	0.278;0.642	0.032;0.522	0.034;0.314	0.358;0.708	0.753;0.890	0.334;0.800	000001	0.008	0.778	1	20.33	681	681	0.94		0	0
-0.144;0.146	0.042;0.292	0.009;0.269	-0.113;0.237	0.253;0.553	0.275;0.725	-0.031;0.279	0.498;0.978	-0.175;0.225	0.171;0.531	0.404;0.874	0.734;1.097	0.142;0.392	0.153;0.533	0.782;1.092	0.605;1.100	0.777;1.105	010000	1.000	1.000	2	74.15	48336	691	1.00		21	21
0.377;0.647	0.042;0.402	0.307;0.567	0.219;0.589	0.855;1.145	0.865;1.135	-0.091;0.329	#	-0.152;0.328	0.597;1.047	-0.157;0.183	0.142;0.574	0.078;0.388	-0.164;0.206	0.285;0.595	0.701;1.018	#	100000	1.000	1.000	1	36.91	48342	697	0.88		21	21
-0.219;0.251	-0.163;0.267	-0.011;0.369	0.353;0.813	0.202;0.692	0.332;0.772	-0.139;0.251	0.343;0.643	0.760;1.240	0.845;1.155	-0.094;0.326	-0.187;0.187	0.002;0.312	0.561;0.911	-0.215;0.215	#	-0.020;0.397	000001	1.000	1.000	3	37.43	48367	722	0.94		21	21
0.727;1.097	0.041;0.381	0.823;1.163	0.785;1.065	0.414;0.734	0.679;0.949	-0.164;0.266	0.538;0.828	0.222;0.642	0.305;0.765	0.185;0.615	0.180;0.651	0.370;0.740	0.547;0.847	0.354;0.644	0.586;0.873	#	100000	1.000	1.000	1	47.38	48402	757	0.94		30	30
-0.061;0.379	0.647;0.967	#	0.206;0.676	0.579;0.959	0.548;0.978	0.618;0.998	0.082;0.522	0.526;0.906	0.835;1.165	0.678;1.158	#	0.533;0.993	0.530;0.820	0.252;0.602	0.193;0.678	0.182;0.539	000010	1.000	1.000	1	55.47	48405	760	0.88		30	30
0.059;0.479	0.214;0.694	0.438;0.848	0.649;0.999	0.383;0.843	0.540;0.940	0.319;0.669	#	#	0.267;0.517	0.527;0.997	0.209;0.562	#	0.512;0.812	0.030;0.280	0.357;0.783	#	000001	1.000	1.000	2	72.09	48409	764	0.76		30	30
-0.144;0.166	#	-0.143;0.237	-0.099;0.331	0.021;0.281	0.252;0.702	-0.203;0.237	-0.299;-0.160	#	0.192;0.552	-0.117;0.313	-0.147;0.147	-0.086;0.344	0.011;0.401	-0.135;0.135	-0.129;0.129	-0.193;0.193	010000	0.100	1.000	1	1.67	778	778	0.88		0	0
0.546;0.966	0.316;0.746	-0.026;0.444	0.046;0.536	0.036;0.446	#	0.086;0.376	0.351;0.641	0.340;0.630	-0.136;0.294	-0.014;0.406	0.563;1.035	0.334;0.664	0.200;0.630	0.633;0.963	0.425;0.468	0.387;0.959	001000	0.100	1.000	1	1.00	779	779	0.94		0	0
0.318;0.568	0.696;0.966	0.422;0.882	0.177;0.517	0.535;0.945	0.805;1.195	-0.194;0.196	-0.081;0.269	0.308;0.798	0.721;1.191	-0.052;0.388	0.094;0.418	0.096;0.496	0.109;0.519	-0.076;0.204	-0.178;0.178	0.320;0.637	000001	1.000	1.000	1	47.54	48465	820	1.00		30	30
-0.154;0.176	-0.027;0.353	-0.217;0.283	0.006;0.366	0.224;0.684	#	0.292;0.732	0.450;0.910	0.445;0.895	0.309;0.709	0.531;0.811	-0.135;0.297	0.534;0.914	0.288;0.718	-0.083;0.227	0.419;0.756	-0.121;0.345	001000	1.000	1.000	1	44.19	48493	848	0.94		30	30
#	-0.204;0.206	-0.119;0.191	-0.184;0.216	0.175;0.253	0.038;0.196	-0.125;0.145	0.652;1.012	-0.123;0.177	-0.231;0.269	-0.018;0.412	0.689;1.131	-0.196;0.224	-0.181;0.219	0.684;1.064	0.646;1.022	0.819;1.067	100000	0.022	0.859	1	18.48	885	885	0.94		0	0
0.080;0.490	-0.020;0.430	0.128;0.568	0.205;0.615	0.481;0.921	0.015;0.405	0.143;0.613	-0.160;0.200	0.141;0.641	-0.099;0.401	0.251;0.681	0.410;0.754	-0.037;0.433	0.850;1.150	0.505;0.855	-0.049;0.337	0.038;0.326	001000	1.000	1.000	1	69.95	48551	906	1.00		30	30
-0.007;0.303	-0.211;0.239	0.452;0.802	0.750;1.250	#	-0.132;0.268	0.333;0.793	-0.140;0.140	#	0.372;0.732	0.790;1.210	-0.054;0.329	0.795;1.205	0.671;0.941	-0.200;0.300	#	0.293;0.640	010000	1.000	1.000	1	30.93	48561	916	0.82		30	30
0.457;0.757	-0.018;0.392	-0.107;0.173	-0.192;0.198	-0.105;0.225	0.020;0.490	0.036;0.286	0.556;1.006	0.296;0.716	#	-0.112;0.368	0.793;1.088	0.405;0.765	0.606;1.036	#	0.633;1.058	0.808;1.105	000001	1.000	1.000	1	74.74	48567	922	0.88		30	30
-0.056;0.224	-0.032;0.288	-0.191;0.299	-0.217;0.223	#	-0.004;0.486	-0.147;0.213	0.653;0.993	-0.072;0.238	0.059;0.499	-0.216;0.284	0.700;0.985	-0.049;0.381	-0.072;0.408	0.583;1.023	0.639;1.084	0.565;0.684	100000	0.016	0.833	1	18.44	924	924	0.94		0	0
0.072;0.412	-0.055;0.425	0.364;0.644	0.603;0.853	0.765;1.235	0.399;0.719	0.004;0.484	#	-0.123;0.137	-0.167;0.193	0.810;1.170	0.525;0.967	0.442;0.782	0.685;0.985	0.583;1.013	0.617;0.983	0.445;0.793	100010	1.000	1.000	1	40.82	48579	934	0.94		30	30
0.444;0.714	0.702;1.162	0.542;0.972	0.557;1.017	0.765;1.235	0.830;1.170	0.770;1.230	0.090;0.440	-0.157;0.203	0.750;1.250	0.726;1.026	0.157;0.619	0.760;1.240	-0.189;0.221	0.191;0.531	0.298;0.674	0.404;0.831	010000	1.000	1.000	1	36.49	48582	937	1.00		30	30
0.134;0.504	-0.045;0.285	0.417;0.917	0.381;0.821	0.158;0.428	0.512;0.992	0.066;0.446	-0.063;0.347	0.607;1.097	#	0.154;0.564	0.107;0.598	0.047;0.337	0.611;0.951	0.164;0.554	-0.011;0.365	0.105;0.581	000001	1.000	1.000	1	74.90	48604	959	0.94		30	30
0.017;0.212	0.055;0.555	0.038;0.408	0.144;0.404	0.078;0.378	0.008;0.458	#	0.092;0.562	0.148;0.578	0.102;0.492	0.190;0.460	0.083;0.387	0.123;0.543	0.077;0.447	-0.033;0.437	#	0.097;0.394	000010	0.100	1.000	1	1.00	970	970	0.88		0	0
0.270;0.600	#	0.207;0.607	0.186;0.646	0.162;0.582	-0.044;0.436	#	#	-0.014;0.074	0.025;0.355	0.100;0.380	0.184;0.509	0.103;0.463	0.018;0.132	0.312;0.562	#	0.015;0.451	001000	0.100	1.000	1	4.00	981	981	0.76		0	0
0.795;1.205	0.783;1.123	0.739;1.059	0.719;1.069	0.645;1.035	-0.143;0.147	0.493;0.993	0.129;0.629	0.765;1.235	-0.111;0.139	0.646;0.976	0.422;0.835	0.454;0.884	0.850;1.150	0.252;0.722	0.288;0.753	0.356;0.842	001000	1.000	1.000	3	40.67	48671	1026	1.00		30	30
0.061;0.501	-0.087;0.403	-0.127;0.293	0.051;0.331	#	-0.101;0.309	#	0.211;0.561	-0.149;0.281	-0.158;0.262	0.217;0.487	0.170;0.543	-0.145;0.235	-0.038;0.412	-0.065;0.131	#	0.248;0.665	000010	0.021	0.854	1	8.38	1042	1042	0.82		0	0
-0.147;0.193	0.398;0.768	-0.162;0.248	-0.116;0.204	-0.136;0.164	-0.194;0.236	0.618;1.118	0.337;0.837	-0.118;0.142	-0.092;0.198	0.276;0.576	0.649;0.973	0.305;0.645	-0.191;0.209	0.650;0.910	0.099;0.564	0.684;0.971	100000	1.000	1.000	1	76.59	48699	1054	1.00		30	30
0.497;0.787	0.600;0.930	0.813;1.143	0.781;1.041	0.098;0.538	0.303;0.553	#	0.330;0.710	0.285;0.695	0.087;0.577	0.406;0.716	0.056;0.459	0.741;1.001	-0.107;0.343	0.296;0.616	0.370;0.766	0.184;0.611	001000	1.000	1.000	1	70.99	48713	1068	0.94		30	30
0.066;0.526	0.015;0.325	0.063;0.533	0.010;0.450	-0.028;0.412	0.865;1.135	#	0.041;0.291	0.845;1.155	0.789;1.129	0.759;1.089	#	0.536;0.816	0.135;0.615	0.024;0.394	0.262;0.608	0.054;0.441	000001	1.000	1.000	1	52.97	48736	1091	0.88		30	30
0.773;1.133	0.830;1.080	0.568;0.958	#	0.577;0.877	0.305;0.735	0.596;0.946	0.367;0.847	0.416;0.816	0.509;0.989	0.495;0.895	#	0.663;1.083	0.770;1.230	0.458;0.878	0.480;0.935	0.579;0.847	001000	1.000	1.000	1	41.56	48751	1106	0.88		30	30
0.007;0.084	0.001;0.301	0.010;0.440	-0.088;0.402	0.052;0.312	0.254;0.524	0.057;0.407	#	0.328;0.701	0.235;0.495	0.050;0.310	#	-0.044;0.356	0.180;0.440	0.353;0.623	0.105;0.422	#	000001	0.031	0.889	1	3.33	1125	1125	0.82		0	0
0.695;0.955	0.765;1.065	0.605;0.935	0.680;1.100	0.053;0.423	0.631;0.951	0.646;0.946	#	#	0.781;1.031	#	0.390;0.665	0.404;0.854	0.722;1.162	0.206;0.646	-0.056;0.409	0.278;0.566	001010	1.000	1.000	1	43.05	48802	1157	0.82		30	30
-0.226;0.244	-0.126;0.214	-0.178;0.202	-0.178;0.202	-0.156;0.184	0.477;0.827	-0.195;0.265	#	-0.108;0.212	0.265;0.565	-0.198;0.242	0.501;0.953	-0.159;0.221	#	0.475;0.895	0.529;0.777	0.530;0.917	000110	1.000	1.000	2	104.33	48809	1164	0.88		30	30
-0.030;0.360	0.770;1.230	0.243;0.533	0.240;0.710	0.870;1.130	0.233;0.643	0.800;1.200	0.298;0.648	0.076;0.356	0.138;0.488	0.641;0.941	0.430;0.725	-0.221;0.279	#	0.209;0.549	0.483;0.750	0.513;0.870	010000	1.000	1.000	2	52.69	48832	1187	0.94		30	30
-0.016;0.314	#	#	0.234;0.514	0.201;0.591	-0.184;0.236	#	-0.164;0.266	#	0.139;0.281	0.194;0.484	0.053;0.465	-0.091;0.289	-0.054;0.196	-0.022;0.428	-0.065;0.301	0.052;0.528	010000	0.100	1.000	1	1.00	1216	1216	0.76		0	0
0.012;0.262	0.271;0.581	0.021;0.391	-0.015;0.355	-0.011;0.269	0.288;0.668	0.368;0.718	#	0.087;0.367	0.555;0.985	-0.161;0.329	#	-0.006;0.414	0.694;1.044	-0.180;0.180	-0.188;0.306	-0.183;0.183	010000	1.000	1.000	1	75.30	48871	1226	0.88		30	30
0.499;0.859	#	0.243;0.683	-0.047;0.293	0.784;1.124	0.550;0.960	0.586;0.966	0.669;0.949	0.379;0.659	0.333;0.833	0.670;1.030	0.437;0.899	0.640;1.130	0.311;0.781	#	0.437;0.714	0.630;0.927	100001	1.000	1.000	3	47.09	48884	1239	0.88		30	30
0.316;0.786	0.053;0.413	0.820;1.180	0.583;0.973	0.255;0.715	0.262;0.612	0.281;0.771	0.417;0.817	-0.131;0.329	-0.124;0.246	0.258;0.598	0.477;0.722	-0.145;0.325	-0.102;0.288	0.597;0.937	0.310;0.607	0.215;0.572	100010	1.000	1.000	2	76.50	48888	1243	1.00		30	30
0.104;0.554	#	-0.152;0.328	0.163;0.493	0.060;0.470	0.681;1.041	0.041;0.351	0.191;0.581	0.499;0.879	#	-0.080;0.320	#	#	0.737;1.117	0.307;0.677	0.207;0.573	0.311;0.648	000001	1.000	1.000	1	72.07	48934	1289	0.76		30	30
0.372;0.812	0.533;0.793	0.572;0.952	0.767;1.047	0.715;1.115	-0.043;0.377	0.358;0.798	0.240;0.530	0.452;0.782	0.336;0.626	0.762;1.062	0.059;0.491	0.087;0.527	0.134;0.534	-0.003;0.497	#	0.057;0.374	000001	1.000	1.000	1	62.30	48964	1319	0.94		30	30
0.630;1.070	#	0.450;0.890	0.211;0.531	0.425;0.785	0.091;0.341	#	0.385;0.755	0.825;1.175	0.775;1.225	#	0.369;0.664	-0.065;0.285	#	0.345;0.705	0.046;0.541	0.343;0.809	000001	1.000	1.000	2	58.88	49035	1390	0.76		30	30
-0.226;0.244	-0.197;0.223	-0.129;0.151	0.136;0.231	-0.161;0.169	0.755;1.245	-0.153;0.227	0.658;1.128	0.587;0.917	0.742;1.062	#	0.648;1.110	0.790;1.210	0.010;0.430	0.630;1.120	0.707;1.064	#	000010	0.100	1.000	1	1.00	1401	1401	0.88		0	0
-0.225;0.225	-0.180;0.180	-0.195;-0.043	-0.140;0.140	-0.143;0.157	0.263;0.583	-0.198;0.202	-0.097;0.293	#	0.232;0.482	-0.144;0.146	-0.098;0.295	0.132;0.602	-0.107;0.283	-0.127;0.323	-0.063;0.264	-0.138;0.338	010000	0.100	1.000	1	1.50	1449	1449	0.94		0	0
0.639;1.029	0.039;0.469	0.488;0.748	0.166;0.446	0.192;0.472	0.279;0.529	0.419;0.839	0.481;0.881	0.253;0.723	0.327;0.767	0.294;0.594	0.211;0.486	-0.232;0.268	0.227;0.717	0.007;0.407	0.356;0.732	0.389;0.676	000100	1.000	1.000	1	87.47	49109	1464	1.00		30	30
0.243;0.693	0.389;0.789	0.321;0.801	0.508;0.898	0.640;0.890	#	0.529;0.979	0.371;0.661	0.216;0.596	0.241;0.521	0.507;0.967	0.080;0.532	#	0.173;0.643	0.186;0.526	0.183;0.559	0.070;0.506	000110	1.000	1.000	2	110.47	49125	1480	0.88		30	30
-0.040;0.270	0.043;0.513	0.716;1.076	0.188;0.628	#	0.171;0.671	-0.077;0.333	-0.053;0.217	0.527;0.847	0.799;1.129	#	0.202;0.516	0.347;0.607	0.060;0.320	-0.170;0.290	-0.101;0.176	0.078;0.346	000001	1.000	1.000	1	71.44	49130	1485	0.88		30	30
0.537;0.837	0.755;1.245	0.447;0.787	0.513;0.803	0.640;0.890	0.544;1.004	0.845;1.155	0.210;0.500	0.141;0.471	0.548;0.828	0.611;0.981	0.032;0.297	0.199;0.629	0.026;0.396	0.022;0.332	0.086;0.492	-0.063;0.393	000001	1.000	1.000	1	57.92	49152	1507	1.00		30	30
0.450;0.700	0.394;0.684	0.756;1.026	0.737;0.987	0.615;0.905	0.413;0.803	0.450;0.820	0.433;0.883	0.679;1.049	0.358;0.848	0.317;0.757	#	0.388;0.688	0.625;1.095	#	0.414;0.799	0.342;0.729	000001	1.000	1.000	1	66.76	49168	1523	0.88		30	30
0.062;0.392	0.461;0.811	-0.127;0.253	0.017;0.387	-0.114;0.206	0.468;0.858	0.063;0.333	0.301;0.601	0.770;1.230	0.655;1.035	-0.135;0.155	0.501;0.816	0.660;0.980	-0.228;0.242	0.365;0.805	0.493;0.878	0.484;0.742	000001	1.000	1.000	2	64.77	49173	1528	1.00		30	30
0.304;0.774	-0.196;0.274	0.526;0.806	0.447;0.847	0.177;0.627	#	-0.120;0.300	0.368;0.778	-0.129;0.201	-0.140;0.230	-0.075;0.375	0.370;0.694	-0.067;0.193	-0.136;0.214	0.432;0.882	0.320;0.765	0.244;0.601	000110	1.000	1.000	2	83.52	49189	1544	0.94		30	30
0.412;0.692	0.086;0.566	0.258;0.628	0.255;0.675	0.276;0.726	0.483;0.833	0.464;0.844	0.415;0.685	0.513;0.793	0.612;1.002	0.451;0.711	#	0.095;0.385	-0.244;0.246	0.351;0.711	0.166;0.641	0.225;0.701	000001	1.000	1.000	1	103.91	49202	1557	0.94		30	30
-0.173;0.177	#	-0.132;0.168	-0.122;0.328	0.135;0.475	0.209;0.589	-0.368;0.384	0.059;0.319	-0.156;0.334	-0.080;0.340	0.055;0.335	-0.065;0.308	-0.023;0.042	-0.100;0.260	-0.033;0.257	-0.035;0.440	0.006;0.294	010000	0.031	0.889	1	2.33	1589	1589	0.94		0	0
0.845;1.155	0.132;0.522	0.800;1.200	0.785;1.215	0.849;1.149	0.372;0.862	0.766;1.046	#	0.820;1.180	0.483;0.953	0.669;1.099	0.377;0.760	0.113;0.513	0.262;0.522	0.187;0.677	0.354;0.651	0.557;0.825	000001	1.000	1.000	1	42.91	49244	1599	0.94		30	30
0.131;0.631	-0.109;0.351	0.620;0.930	0.490;0.800	0.574;0.984	0.259;0.679	0.428;0.778	-0.057;0.233	0.352;0.802	#	0.363;0.793	0.222;0.517	0.060;0.320	0.174;0.564	0.360;0.760	0.024;0.400	0.393;0.671	000001	1.000	1.000	1	101.52	49255	1610	0.94		30	30
