-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	#	#	0	0	#	#	0	#	0	0	#	0	1	0	0	0	0	0	0	0	0	000010000000000000000000000000000000000000000	1.000	1.000	1	31.97	49528	12593	0.74		59	59
0	0	#	1	#	0	#	0	0	#	1	0	0	0	0	0	0	0	#	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	1	37.03	49577	12642	0.78		59	59
0	#	0	1	0	0	0	0	0	0	#	#	0	0	0	1	0	#	0	0	0	1	#	000000000000000000000000000000000000000001000	1.000	1.000	2	31.63	49604	12669	0.78		59	59
#	0	#	0	#	0	1	0	0	#	0	#	0	0	0	1	#	0	0	0	0	0	1	000000000000000000000000100000000000000100000	0.114	0.957	1	49.95	49761	12826	0.74		59	163
0	0	1	0	0	0	#	#	#	#	0	1	0	0	0	0	#	0	0	0	#	#	1	100000000000000000000000000000000000100000000	1.000	1.000	1	29.79	49942	13007	0.70		59	59
0	0	0	0	#	0	0	#	1	0	0	0	#	0	0	0	#	#	1	0	0	#	0	000000000000001000000000000000000000000000000	1.000	1.000	1	39.44	49556	13266	0.74		58	58
0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	#	0	0	0	0	0	0	000000000000000000000000100000000000000100000	1.000	1.000	1	34.90	49384	13739	0.96		50	50
#	0	0	0	0	0	0	1	0	0	1	1	#	0	0	#	0	0	0	0	0	0	0	000000000100000000000000000000000000010000000	1.000	1.000	2	47.09	49418	14418	0.87		49	49
0	#	0	0	0	0	0	#	1	0	#	0	#	0	0	0	#	#	1	0	0	#	0	000000000000001000000000000000000000000000000	1.000	1.000	1	39.45	49556	14556	0.70		56	56
#	0	1	#	0	0	#	#	#	#	#	1	0	0	0	0	1	0	1	0	0	0	1	100000000000000000000000000000000000000001000	1.000	1.000	1	34.33	49623	14623	0.70		56	56
0	1	#	0	0	0	0	#	0	0	1	#	0	0	0	#	0	0	0	1	#	#	0	000000000100000000000000000000000000000000000	0.102	0.955	1	45.58	49656	15078	0.74		111	167
#	0	#	0	0	0	1	#	0	0	#	#	#	0	#	1	0	0	0	0	0	1	#	000000000000000000000000100000000000000000000	1.000	1.000	1	38.05	49689	15174	0.65		55	55
0	0	#	0	0	0	0	0	0	0	1	#	#	0	#	1	#	0	#	0	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	30.44	49803	15288	0.74		55	55
#	0	0	0	0	0	0	0	0	0	1	1	0	#	#	1	0	0	#	0	0	#	1	000000000000000000000000000000000000100000000	1.000	1.000	1	30.44	49803	15288	0.78		55	55
0	0	#	1	#	0	#	#	#	#	0	1	0	#	0	1	#	#	0	1	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	1	42.96	49912	15397	0.61		55	55
#	0	0	0	#	1	0	0	1	0	1	#	0	0	0	#	#	0	#	0	0	0	#	000000000000000000000000000000000000000000010	1.000	1.000	1	28.18	49361	15491	0.70		48	48
#	1	#	0	0	0	0	1	0	#	1	1	0	#	#	#	#	0	0	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	1	44.59	49593	15723	0.70		54	54
0	0	1	#	#	#	0	1	#	0	0	#	0	#	#	#	1	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.103	0.956	1	31.87	49879	16009	0.65		54	54
0	#	#	1	#	0	0	0	0	1	1	0	0	0	0	0	0	0	#	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	1	37.03	49577	16352	0.83		53	53
#	0	1	0	0	0	0	0	0	#	0	1	0	0	0	0	1	0	0	0	#	#	1	100000000000000000000000000000000000100000000	1.000	1.000	2	29.81	49942	16717	0.83		53	53
0	1	0	0	0	0	#	1	#	#	0	#	0	0	#	0	0	0	0	#	0	0	0	000000000000000000000000000000000001000000000	0.087	0.952	1	48.65	49362	16782	0.74		46	99
0	0	0	1	#	0	1	0	#	#	0	#	0	0	0	#	1	0	#	0	0	0	#	000000000000000000000000100000000000000001000	1.000	1.000	1	29.10	49734	17154	0.70		52	52
#	0	0	0	#	1	0	0	1	#	1	1	#	0	0	0	0	0	#	0	0	0	#	000000000000000000000000000000000000000000010	1.000	1.000	1	28.16	49361	17426	0.74		45	45
#	0	#	0	0	#	0	1	0	0	0	0	0	0	#	1	1	0	1	1	0	0	0	100000000000000000000000000000000001000000000	1.000	1.000	1	28.10	49492	18202	0.83		44	44
#	0	0	1	0	0	1	0	#	0	0	1	0	0	0	1	1	0	#	0	0	#	#	000000000000000000000000100000000000000001000	1.000	1.000	1	29.11	49734	18444	0.78		50	50
0	0	#	1	0	0	0	#	0	0	#	#	0	0	#	0	0	0	1	0	0	#	0	000000000000000000000000000000000000000001000	0.325	0.978	1	34.20	49844	18554	0.74		100	100
0	0	0	0	0	0	#	0	0	1	1	1	#	0	0	0	1	0	0	#	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	63.86	49870	18580	0.87		50	50
0	0	#	0	0	1	#	0	0	#	0	#	1	0	0	1	0	0	#	0	#	0	0	000000000000000000000000000000000000001000010	1.000	1.000	1	33.89	49440	18795	0.74		43	43
0	#	1	#	0	#	#	0	#	#	1	1	0	0	#	#	#	#	#	1	0	0	1	100000000100000000000000000000000000000000000	1.000	1.000	1	45.08	50000	18870	0.52		50	50
0	1	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	0	#	1	0	0	0	000000000000000000000000000000000001010000000	1.000	1.000	1	46.30	49666	19021	0.91		49	49
0	0	0	0	0	1	0	0	#	1	0	0	0	#	0	#	#	#	0	#	0	#	0	000000000000000000000000000000000000100000010	1.000	1.000	1	44.65	49729	19084	0.70		92	92
0	#	0	#	#	#	0	#	#	1	#	#	#	#	0	0	#	0	1	#	0	#	#	000000000000000000000000000000000000100001000	0.400	0.982	1	51.51	49971	19404	0.39		133	225
0	0	0	0	#	#	0	1	0	0	0	0	0	#	0	#	0	#	#	1	0	#	0	000000000000000000000000000000000001000000000	1.000	1.000	1	52.67	49524	19524	0.70		48	48
0	#	0	1	0	0	#	0	#	#	#	1	0	0	#	1	0	#	0	#	0	#	0	000000000000000000000000000000000000000001000	1.000	1.000	1	36.88	49912	20089	0.61		95	95
0	0	#	0	0	0	0	0	0	0	1	#	0	0	#	1	0	0	#	0	#	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	30.46	49803	20288	0.78		47	47
0	#	#	1	#	#	#	0	0	0	#	#	0	0	0	0	0	0	#	0	0	1	0	000000000000000000000000000000000000000001000	1.000	1.000	1	32.38	49844	20329	0.65		47	47
0	0	0	1	#	#	0	0	#	0	#	0	0	0	0	1	0	0	#	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	29.24	49443	20573	0.78		41	41
0	0	0	0	0	0	0	0	0	#	0	1	0	0	#	1	1	0	#	0	#	0	0	000000000000000000000000000000000000010000000	1.000	1.000	1	30.70	49467	20597	0.83		41	41
0	#	#	#	#	#	1	0	0	0	0	1	0	0	0	1	0	0	#	0	#	1	#	000000000000000000000000100000000000000000000	1.000	1.000	2	36.93	49930	20819	0.65		93	93
0	1	#	0	#	#	#	0	0	0	0	1	#	#	#	#	#	#	#	0	#	0	#	000000000000000000000000000000001000000000000	1.000	1.000	1	88.90	49897	21027	0.43		133	133
0	0	1	1	0	#	1	0	0	#	1	1	0	0	#	1	0	0	0	0	#	0	1	000000000000000000000000100000000000000001000	1.000	1.000	1	30.58	49907	21037	0.83		46	46
#	0	1	#	0	0	#	#	#	#	1	1	#	0	#	1	1	0	0	0	0	0	#	100000000000000000000000000000000000100000000	1.000	1.000	1	30.60	49426	21201	0.61		40	40
0	0	#	0	#	1	#	0	0	0	0	0	1	#	#	1	0	0	0	0	0	#	0	000000000000000000000000000000000000001000010	1.000	1.000	1	33.94	49440	21215	0.74		40	40
0	#	0	1	0	0	0	#	0	#	#	1	0	0	0	1	#	0	0	0	#	0	0	000000000001000000000000000000000000000001000	1.000	1.000	1	38.44	49476	21251	0.74		40	40
#	1	#	0	#	#	0	#	0	0	#	1	#	1	1	#	0	1	0	0	0	#	0	000000000000000000000000000000001000000000000	1.000	1.000	2	45.23	49921	21366	0.61		91	91
0	#	0	#	#	0	#	0	0	1	1	#	#	0	#	0	0	0	0	1	0	0	0	000000000100000000000000000000000000100000000	1.000	1.000	1	34.94	49677	21452	0.70		45	45
0	0	0	#	0	0	1	0	0	0	0	1	#	0	0	1	0	0	0	0	0	1	#	000000000000000000000000100000000000000000000	1.000	1.000	1	36.93	49930	21705	0.87		90	90
#	0	0	0	0	0	0	0	0	#	0	#	0	0	0	0	0	1	0	0	0	0	0	000000000010000000000000000000000000000000000	1.000	1.000	1	41.88	49941	21716	0.87		45	45
0	#	0	1	#	0	0	0	0	#	1	#	#	0	#	0	0	#	1	#	0	#	1	000000000000000000000000000000000000100001000	1.000	1.000	1	46.21	49404	21824	0.61		39	39
0	#	0	#	0	#	1	0	0	#	0	1	#	0	0	1	0	0	0	0	0	#	#	000000000000000000000000100000000000000000000	0.471	0.985	1	36.53	49930	22109	0.70		134	134
0	0	0	0	0	0	1	0	0	0	#	1	0	0	0	1	0	#	#	#	#	0	0	000000000000000000000000100000000000100000000	1.000	1.000	1	38.05	49920	22340	0.78		44	44
0	0	1	0	0	0	0	0	0	1	#	1	#	0	0	0	1	0	0	0	#	1	1	100000000000000000000000000000000000100000000	1.000	1.000	1	29.81	49942	22362	0.87		44	44
#	0	0	1	0	0	1	0	0	0	#	0	0	0	0	#	#	0	0	0	0	#	0	000000000000000000000000100000000000000100000	1.000	1.000	1	34.96	49384	22449	0.78		38	38
0	0	1	#	#	0	#	0	0	1	1	1	#	0	0	1	1	#	0	0	0	#	#	100000000000000000000000000000000000100000000	1.000	1.000	1	30.62	49426	22491	0.70		38	38
0	0	0	1	#	0	0	0	#	0	#	#	0	0	0	1	0	0	1	#	0	#	1	000000000000000000000000000000000000000001000	1.000	1.000	1	29.26	49443	22508	0.74		38	38
#	0	0	1	#	0	#	0	0	#	#	1	0	0	0	1	1	0	#	0	0	0	#	000000000000000000000000000000000000000001000	0.103	0.956	1	33.31	49734	22799	0.70		81	81
#	0	0	0	0	0	0	#	0	0	1	#	0	#	#	1	0	#	#	#	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	2	30.48	49803	22868	0.65		43	43
0	0	0	0	0	1	0	0	0	#	0	0	#	0	0	#	1	#	0	#	0	0	0	000000000000000000000000000000000000100000010	1.000	1.000	1	44.65	49729	23077	0.78		80	80
0	#	0	0	0	0	1	0	0	1	#	#	0	0	0	1	#	0	0	0	0	#	1	000000000000000000000000100000000000100000000	1.000	1.000	1	38.73	49378	23088	0.78		37	37
#	0	0	0	0	0	0	0	#	0	#	1	#	0	#	0	0	#	0	#	0	0	1	000000000000000000000000000010000000000001000	1.000	1.000	1	28.70	49436	23146	0.70		37	37
0	0	0	0	0	0	0	0	0	#	0	1	0	0	#	1	1	0	#	0	0	0	0	000000000000000000000000000000000000010000000	1.000	1.000	1	30.69	49467	23177	0.87		37	37
0	0	0	0	0	0	0	#	#	1	0	#	0	#	0	1	#	0	1	#	0	0	0	000000000000000000000000000000000000101000000	1.000	1.000	1	29.64	49893	23603	0.74		42	42
1	1	0	0	0	#	#	#	0	0	0	0	#	1	1	#	0	1	1	0	0	#	#	000010000000000000000000000000001000000000000	1.000	1.000	1	32.77	49946	23656	0.70		42	42
#	0	#	#	0	0	0	0	0	0	0	#	0	0	0	#	0	0	0	1	0	1	0	000000000000000000000000000000001000000000000	0.100	0.955	1	42.93	49597	23952	0.78		41	83
0	#	0	1	0	0	0	#	0	0	#	1	0	#	0	1	0	#	0	#	#	1	#	000000000000000000000000000000000000000001000	1.000	1.000	1	31.66	49604	23959	0.65		41	41
0	1	#	0	#	#	#	#	#	0	1	1	0	0	0	1	0	0	0	0	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	34.51	49641	23996	0.74		41	41
0	0	#	1	#	0	#	0	0	0	1	1	0	0	#	1	0	#	0	#	0	0	1	000000000001000000000000000000000000000001000	0.100	0.955	1	30.83	49785	24140	0.74		41	83
0	#	0	0	0	0	1	0	0	1	#	#	0	0	0	1	1	0	0	0	#	#	1	000000000000000000000000100000000000100000000	1.000	1.000	2	38.89	49378	24378	0.78		35	35
0	0	0	1	0	#	0	0	0	0	1	0	0	0	0	1	0	#	1	#	#	0	1	000000000000000000000000000000000000000001000	1.000	1.000	2	29.29	49443	24443	0.83		35	35
0	0	#	0	0	#	#	0	0	#	0	0	#	0	1	0	0	0	0	0	0	0	0	000010000000000000000000000000000000000000000	1.000	1.000	1	31.91	49528	25013	0.78		39	39
1	0	#	#	#	0	0	0	0	0	0	1	#	#	1	0	#	1	0	0	0	1	0	000000000010000000000000000000000000000000000	0.109	0.957	1	65.41	49842	25057	0.74		79	154
0	1	0	0	#	0	0	0	0	0	#	#	#	1	1	0	0	1	0	0	0	#	#	000000000000000000000000000000001000000000000	0.108	0.956	1	40.08	49921	25076	0.74		114	189
#	0	1	#	0	#	#	0	#	#	1	1	0	#	0	0	1	0	1	0	0	0	1	100000000000000000000000000000000000000001000	1.000	1.000	1	34.32	49623	25108	0.70		39	39
0	#	0	0	0	0	0	0	0	1	1	1	0	#	0	0	1	#	0	#	0	1	1	000000000000000000000000000000000000100000000	1.000	1.000	1	54.62	49662	25147	0.83		39	39
0	0	#	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	#	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	1	28.05	49668	25153	0.91		39	39
0	0	0	#	0	0	0	0	0	1	0	#	#	0	0	1	1	0	1	1	0	0	0	000000000000000000000000000000000000101000000	1.000	1.000	1	29.62	49893	25378	0.87		39	39
0	0	1	0	0	0	#	0	0	#	0	1	0	0	0	0	1	0	0	0	#	1	1	100000000000000000000000000000000000100000000	1.000	1.000	1	29.88	49942	25427	0.87		39	39
1	0	0	0	0	#	0	#	#	0	#	0	0	0	0	#	#	0	1	0	0	0	0	000000000000000000000000000000100000000000000	1.000	1.000	2	56.94	49399	25529	0.74		34	34
0	#	0	1	#	0	0	#	0	0	#	1	#	0	0	1	1	0	0	0	#	0	#	000000000001000000000000000000000000000001000	1.000	1.000	1	38.48	49476	25606	0.70		34	34
0	0	#	1	0	#	#	0	#	#	#	1	0	#	0	0	1	0	1	0	0	0	1	100000000000000000000000000000000000000001000	1.000	1.000	1	34.34	49623	25753	0.70		38	38
#	#	0	#	#	0	1	#	0	0	0	1	#	0	0	1	0	#	0	#	0	1	0	000000000000000000000000100000000000000000000	1.000	1.000	1	38.13	49689	25819	0.65		38	38
0	0	0	0	0	1	#	0	0	#	0	0	#	0	#	#	1	#	0	#	0	0	0	000000000000000000000000000000000000100000010	1.000	1.000	1	44.65	49729	25859	0.70		72	72
0	0	0	0	0	0	0	0	0	0	1	1	0	0	#	1	0	#	#	#	#	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	30.49	49803	25933	0.78		38	38
1	1	0	0	0	0	0	#	0	0	0	0	0	1	1	0	0	#	0	0	0	1	0	000010000000000000000000000000000000000000000	0.461	0.985	1	57.63	49869	25999	0.91		110	110
0	0	0	0	0	#	0	0	0	#	0	#	0	0	0	0	#	1	0	#	#	0	#	000000000010000000000000000000000000000000000	1.000	1.000	1	41.93	49941	26071	0.70		38	38
#	1	#	0	0	#	0	0	0	0	0	0	0	1	#	0	0	1	1	0	0	#	#	000010000000000000000000000000001000000000000	1.000	1.000	1	32.75	49946	26076	0.74		38	38
0	0	#	1	0	0	1	0	0	#	1	0	#	0	#	1	0	#	#	0	0	0	0	000000000000000000000000100000000000000100000	1.000	1.000	1	34.95	49384	26159	0.74		33	33
0	0	0	0	0	0	#	#	#	0	1	1	0	0	0	0	#	0	0	#	0	0	1	000000000000000000000000000010000000000001000	1.000	1.000	1	28.67	49436	26211	0.78		33	33
0	#	0	#	0	1	#	#	0	0	0	#	0	#	#	1	0	0	1	#	0	0	#	000000000000000000000000000000000100000000010	1.000	1.000	2	34.76	49551	26326	0.61		37	37
0	1	#	#	0	0	#	#	0	#	#	1	0	0	0	1	0	0	0	#	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	34.48	49641	26416	0.70		37	37
#	0	0	0	#	#	0	#	0	0	#	#	#	#	1	0	0	1	0	0	0	1	0	000000000010000000000000000000000000000000000	0.087	0.952	1	60.93	49962	26737	0.65		181	391
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	#	1	#	#	0	0	0	000000000000000000000000000000000010000000000	0.087	0.952	2	50.08	49360	26780	0.87		32	69
1	0	#	0	0	#	0	0	0	0	#	0	#	0	0	0	#	0	1	0	0	0	#	000000000000000000000000000000100000000000000	1.000	1.000	1	56.82	49399	26819	0.74		32	32
0	0	0	0	0	#	0	0	0	#	0	#	0	#	#	1	0	0	1	#	0	0	#	000000000000000000000000000000000100000000010	1.000	1.000	1	34.79	49551	26971	0.70		36	36
#	0	0	0	0	0	0	#	0	0	1	1	0	0	#	#	#	#	0	0	0	#	0	000000000100000000000000000000000000000000000	0.113	0.957	1	40.65	49968	27388	0.70		68	100
0	#	#	1	0	0	0	#	#	0	#	0	0	0	#	1	0	0	#	#	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	29.41	49443	27508	0.65		31	31
0	#	0	#	0	0	0	0	0	1	#	1	0	0	0	#	1	0	0	#	0	#	#	000000000000000000000000000000000000100000000	0.328	0.978	1	54.37	49870	27590	0.70		143	143
0	0	0	#	#	0	0	0	0	0	0	0	0	#	0	#	0	#	#	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	1	58.89	49947	27807	0.74		107	107
0	#	#	1	0	#	#	0	0	0	#	#	0	0	0	0	0	0	#	0	#	1	#	000000000000000000000000000000000000000001000	1.000	1.000	1	32.42	49844	27909	0.61		35	35
0	0	1	1	#	0	0	1	0	0	0	#	0	#	0	0	1	0	#	#	0	0	0	000000000100000000000000000000000000000001000	1.000	1.000	1	31.78	49879	27944	0.78		35	35
0	0	#	#	#	#	#	1	0	#	1	1	0	0	#	0	0	0	0	0	0	#	#	000000000100000000000000000000000000000000000	0.348	0.979	1	44.06	49884	27949	0.61		66	66
0	1	1	#	0	#	0	1	0	#	#	#	0	0	0	0	1	#	#	0	0	0	#	100000000000000100000000000000000000000000000	1.000	1.000	1	36.11	49895	27960	0.65		35	35
0	#	0	#	0	0	1	0	0	0	0	#	#	#	0	#	0	0	0	0	0	1	#	000000000000000000000000100000000000000000000	1.000	1.000	1	36.93	49930	27995	0.70		70	70
0	0	1	0	0	0	0	0	0	#	0	#	0	0	0	#	1	0	0	0	#	#	1	100000000000000000000000000000000000100000000	1.000	1.000	1	29.93	49942	28007	0.78		35	35
#	#	#	#	0	0	0	#	#	#	0	0	#	1	0	0	#	1	0	0	0	0	#	000000000000000000000000000000010000000000000	0.313	0.977	1	107.00	49954	28111	0.57		298	360
#	0	0	0	#	0	0	1	0	0	1	1	0	0	#	0	0	0	#	#	0	0	0	000000000100000000000000000000000000010000000	1.000	1.000	1	47.59	49418	28128	0.78		30	30
0	0	#	0	0	0	#	#	0	1	1	1	#	0	0	1	1	#	0	0	0	0	#	100000000000000000000000000000000000100000000	1.000	1.000	1	30.55	49426	28136	0.74		30	30
0	0	0	0	0	0	0	#	#	0	#	1	0	0	0	0	#	0	#	#	0	0	1	000000000000000000000000000010000000000001000	1.000	1.000	1	28.71	49436	28146	0.74		30	30
0	0	0	0	0	0	0	0	#	0	1	1	0	#	0	#	#	0	0	#	#	0	1	000000000000000000000000000010000000000001000	1.000	1.000	1	28.71	49436	28146	0.74		30	30
#	1	#	0	#	0	0	0	#	#	1	0	0	#	#	0	0	0	0	1	#	0	0	000000000000000000000000000000000001010000000	1.000	1.000	1	46.70	49666	28376	0.65		34	34
0	0	#	1	#	0	#	#	0	0	#	1	0	0	0	0	#	0	#	0	#	0	0	000000000000000000000000000000000000000001000	0.273	0.974	1	78.31	49978	28448	0.65		725	759
0	#	#	1	0	0	0	#	0	0	1	1	0	#	0	#	0	#	0	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	68.20	49861	28571	0.74		34	34
0	0	0	0	0	0	0	0	0	0	1	0	0	#	0	#	#	0	0	0	0	0	0	000000000000000000000000000000000000010000000	0.255	0.973	1	56.42	49933	28637	0.87		69	99
0	#	0	0	0	#	#	0	0	0	0	1	0	0	1	0	0	1	0	#	#	#	0	000000000010000000000000000000000000000000000	1.000	1.000	1	49.86	49990	28700	0.74		68	68
0	#	0	1	#	#	#	#	#	1	1	#	#	#	#	0	#	0	#	#	0	#	#	000000000000000000000000000000000000100001000	1.000	1.000	1	50.46	49971	28759	0.35		126	126
0	0	#	0	#	1	0	0	0	#	0	0	1	0	0	1	0	0	0	#	0	0	0	000000000000000000000000000000000000001000010	1.000	1.000	1	34.26	49440	28795	0.83		29	29
0	#	0	0	0	0	0	0	#	#	0	1	0	0	0	1	1	#	#	0	0	#	0	000000000000000000000000000000000000010000000	1.000	1.000	1	30.66	49467	28822	0.74		29	29
0	0	#	#	0	0	1	#	0	#	1	0	#	0	0	1	#	0	#	0	0	0	1	000000000000000000000000100000000000000001000	1.000	1.000	1	40.85	49845	28823	0.70		63	63
#	#	1	#	#	0	#	0	0	0	#	1	0	#	#	#	0	#	0	1	0	#	1	100000000100000000000000000000000000000000000	1.000	1.000	1	45.25	50000	28870	0.52		34	34
0	0	1	1	#	0	1	#	0	#	0	1	0	#	0	1	0	0	0	0	0	0	#	100000000000000000000000100000000000000000000	1.000	1.000	1	33.27	49532	28887	0.78		33	33
#	0	#	0	0	#	0	0	0	0	0	#	0	0	0	#	0	0	0	1	0	1	0	000000000000000000000000000000001000000000000	0.099	0.955	1	42.93	49597	28952	0.78		33	67
1	1	0	#	1	#	#	#	#	0	0	0	#	#	0	0	#	0	0	0	0	0	0	000010000000000000000000000000001000000000000	0.103	0.956	1	62.80	49986	29133	0.65		70	70
0	0	0	0	0	0	0	0	#	0	1	1	1	#	0	0	0	#	0	1	#	0	#	000000000000000000000000000000000000101000000	1.000	1.000	1	40.98	49827	29182	0.78		33	33
#	0	#	0	0	#	0	0	#	1	0	#	#	0	#	0	1	0	1	0	#	0	#	000000000000000000000000000000000000100000000	1.000	1.000	2	48.38	49866	29221	0.61		33	33
0	0	1	#	0	#	0	1	0	#	1	1	0	0	0	0	0	0	0	0	0	#	#	000000000100000000000000000000000000000000000	1.000	1.000	1	39.43	49884	29239	0.78		33	33
0	1	1	0	0	0	0	1	0	#	#	1	0	0	0	0	1	#	#	0	0	0	#	100000000000000100000000000000000000000000000	1.000	1.000	1	36.13	49895	29250	0.78		33	33
0	0	1	1	0	0	1	0	0	0	#	1	0	0	0	1	0	0	0	0	0	0	1	000000000000000000000000100000000000000001000	1.000	1.000	1	30.53	49907	29262	0.96		33	33
0	0	0	1	0	#	#	0	0	0	0	#	0	0	0	1	0	0	0	1	0	0	0	000000000000000000000000000000000000000001000	0.120	0.958	1	39.79	49912	29267	0.87		33	62
1	1	0	0	0	#	#	#	0	0	0	0	0	1	#	0	0	1	1	0	0	#	#	000010000000000000000000000000001000000000000	1.000	1.000	1	32.75	49946	29301	0.74		33	33
0	#	0	0	0	0	0	#	#	0	1	1	0	0	0	0	#	0	0	#	0	0	1	000000000000000000000000000010000000000001000	1.000	1.000	1	28.72	49436	29436	0.78		28	28
0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	#	#	#	1	0	0	0	0	000000000000001000000000000000000000000000000	1.000	1.000	1	39.46	49556	29556	0.78		32	32
0	#	#	1	#	0	0	0	0	1	1	0	0	0	0	0	0	#	0	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	1	36.94	49577	29577	0.83		32	32
0	1	#	#	0	0	#	#	0	0	#	1	0	0	#	1	0	0	0	0	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	34.46	49641	29641	0.74		32	32
#	#	1	0	0	0	#	0	0	0	#	0	0	#	#	0	0	0	0	0	#	1	1	100000000000000000000000000000000000000000000	1.000	1.000	1	77.73	49923	29649	0.70		65	65
