landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	#	#	#	#	#	#	#	#	0	0	0	#	#	0	0	#	#	#	0100100	0.000	0.233	1	65.38	975	130	0.32		47	161
#	#	2306.370;16419.630	-36.120;498.120	1	1	#	#	3	#	#	#	1	50	#	0	0	0	#	1010100	1.000	1.000	1	13.33	905	131	0.53		6	6
5	1	#	-253.400;351.400	10	3	#	#	3	#	#	0	#	0	0	0	#	#	0	1010100	1.000	1.000	2	40.33	906	132	0.58		6	6
5	1	-4804.450;5276.450	#	#	6	#	#	#	1	0	0	0	0	#	0	0	0	0	1010100	1.000	1.000	1	26.67	907	133	0.68		6	6
#	#	-8175.730;8177.730	-141.120;141.120	#	#	#	0	#	#	#	#	#	0	0	0	#	#	0	1000000	0.000	0.285	3	73.26	972	135	0.37		185	219
#	#	-8175.730;8177.730	-141.120;141.120	#	#	#	0	#	#	#	#	#	0	0	0	#	#	0	0010100	0.000	0.177	2	73.26	972	135	0.37		82	219
#	4	-5642.510;5782.510	-193.560;199.560	1	0	#	#	3	0	0	0	0	0	#	0	0	0	#	0100101	1.000	1.000	2	49.00	909	135	0.74		6	6
#	4	-5642.510;5782.510	-193.560;199.560	1	0	#	#	#	#	0	0	0	0	#	0	0	#	#	0100101	1.000	1.000	1	49.00	909	135	0.58		6	6
#	2	#	#	#	#	0	0	4	#	#	0	0	#	#	#	#	#	#	1101001	0.000	0.429	2	31.66	910	136	0.32		6	12
#	1	#	#	6	4	0	#	4	#	#	0	#	0	#	0	1	0	#	0110101	1.000	1.000	1	10.83	913	139	0.53		6	6
5	1	-3632.350;4208.350	#	#	2	#	#	4	#	0	0	#	1	#	1	#	0	0	1010110	0.025	0.692	1	31.74	914	140	0.58		6	13
5	1	-4752.450;5328.450	#	#	2	#	#	4	#	0	0	#	1	#	1	#	0	0	1010110	0.025	0.692	1	31.74	914	140	0.58		6	13
3	1	#	#	#	0	2	#	4	#	0	0	0	#	0	#	1	#	#	1001110	1.000	1.000	1	34.83	786	141	0.53		6	6
4	#	-6415.640;7921.640	#	10	#	#	0	4	0	#	#	0	#	0	#	#	1	0	1100011	1.000	1.000	1	34.83	788	143	0.53		6	6
#	#	#	-148.280;174.280	10	5	#	6	#	#	#	#	#	#	0	0	0	#	#	1001110	1.000	1.000	1	14.50	918	144	0.37		6	6
#	3	#	#	#	0	#	2	#	0	#	0	1	1	0	#	#	0	#	1010100	1.000	1.000	1	29.83	920	146	0.47		6	6
2	3	-3643.440;6213.440	-132.160;160.160	2	0	#	#	2	0	0	0	0	#	0	#	0	#	0	1000100	0.025	0.692	1	44.12	922	148	0.74		6	13
1	#	-4319.390;4417.390	#	2	#	0	0	#	#	#	#	0	#	#	#	0	#	#	1010100	1.000	1.000	1	40.83	536	149	0.37		6	6
1	#	#	#	1	#	0	#	#	1	#	#	0	#	#	#	1	#	#	1111111	1.000	1.000	2	11.33	924	150	0.32		6	6
#	#	16801.500;28002.500	122.800;425.200	5	6	#	#	#	0	#	0	#	1	0	#	#	#	#	1001000	1.000	1.000	1	16.33	925	151	0.42		6	6
#	1	#	122.800;425.200	5	6	#	#	#	0	#	0	#	1	0	#	#	0	#	1001000	1.000	1.000	1	16.33	925	151	0.47		6	6
3	1	-2912.260;2912.260	#	#	0	#	0	3	#	1	#	#	#	0	#	1	0	#	1000110	1.000	1.000	1	35.50	797	152	0.53		6	6
#	#	-4245.380;4267.380	#	#	1	0	#	#	0	#	1	#	#	0	#	0	#	0	0101010	0.000	-0.173	1	32.94	927	153	0.42		6	19
4	4	#	-366.920;368.920	10	#	#	#	#	#	0	0	#	#	#	0	#	0	0	0010100	0.035	0.714	2	19.86	930	156	0.47		7	7
4	4	#	-366.920;368.920	10	#	#	#	#	#	0	0	#	#	#	0	#	0	0	1000000	0.000	0.429	1	19.86	930	156	0.47		7	7
#	#	#	-171.360;171.360	1	1	0	#	#	#	1	#	1	5	0	0	#	0	0	1011100	1.000	1.000	1	14.67	933	159	0.58		6	6
4	4	-3002.290;3494.290	#	3	#	3	0	3	0	0	#	#	0	#	0	0	#	0	1101000	0.035	0.714	1	54.10	934	160	0.68		7	14
#	#	#	-306.480;318.480	#	#	#	#	3	0	0	#	#	#	0	#	0	#	0	1000010	0.000	0.090	1	70.44	994	161	0.37		20	226
#	#	#	-306.480;318.480	#	#	#	#	3	0	0	#	#	#	0	#	0	#	0	0100000	0.000	0.105	3	70.44	994	161	0.37		98	226
#	2	-7616.680;7616.680	#	#	#	0	#	#	#	0	#	#	1	#	0	0	0	0	0011100	0.000	0.077	1	33.34	936	162	0.47		6	13
6	#	#	#	#	#	#	0	7	#	#	#	#	0	#	0	1	1	0	1111101	1.000	1.000	2	26.67	943	169	0.42		6	6
#	#	#	-236.880;236.880	#	1	0	0	7	#	#	#	#	0	0	0	#	1	#	1111101	1.000	1.000	1	32.21	943	169	0.47		12	12
#	#	#	-243.960;249.960	#	#	#	3	#	#	#	#	#	1	0	0	#	#	#	0011000	0.000	0.021	1	51.57	945	170	0.26		33	54
3	1	-6576.610;7088.610	-335.840;379.840	6	6	0	#	#	0	0	0	0	#	#	0	0	0	#	1011100	1.000	1.000	1	40.00	944	170	0.74		6	6
3	1	-6576.610;7088.610	-335.840;379.840	6	6	0	#	#	0	0	0	0	1	0	0	0	0	#	1011100	1.000	1.000	1	40.00	944	170	0.84		6	6
4	#	#	#	3	5	#	#	3	#	0	0	0	#	0	#	#	#	#	1000000	0.000	0.429	1	52.76	899	172	0.42		20	20
4	#	#	#	3	5	#	#	3	#	0	0	0	#	0	#	#	#	#	0101000	0.000	0.314	2	52.76	899	172	0.42		6	20
#	4	#	-352.800;352.800	1	1	0	0	#	0	#	#	#	#	#	0	#	#	1	1111100	0.214	0.857	2	34.80	950	176	0.47		12	12
1	4	-6468.580;6524.580	-261.120;273.120	3	#	2	#	2	0	0	0	#	0	#	#	0	#	#	1000010	1.000	1.000	1	39.33	951	177	0.63		6	6
#	3	#	-299.440;315.440	2	#	0	#	3	0	0	#	#	#	0	#	#	0	#	0011000	0.000	0.440	1	57.09	916	178	0.47		13	25
#	3	#	-299.440;315.440	2	#	0	#	3	0	0	#	#	#	0	#	#	0	#	1000000	0.000	0.269	1	57.09	920	178	0.47		18	25
#	#	#	-211.680;211.680	6	#	#	#	5	#	0	0	0	1	#	0	0	1	#	1001011	0.035	0.714	2	17.57	955	181	0.53		7	7
#	#	#	-211.680;211.680	6	#	#	#	5	#	0	0	0	1	#	0	0	1	#	0100000	0.000	-0.143	2	17.57	955	181	0.53		7	7
3	4	-2407.260;3417.260	-128.320;204.320	2	0	0	3	#	#	#	0	#	#	#	0	#	#	0	1001000	1.000	1.000	1	32.17	957	183	0.58		6	6
#	4	-2407.260;3417.260	-128.320;204.320	2	0	0	3	#	#	#	0	#	#	0	0	#	#	0	1001000	0.000	0.044	1	32.00	995	183	0.58		13	26
3	#	#	#	#	#	0	#	3	0	0	#	#	0	#	#	#	0	0	0001010	0.000	-0.003	1	59.96	1000	184	0.42		14	47
3	#	#	#	#	#	0	#	3	0	0	#	#	0	#	#	#	0	0	1000000	0.000	0.429	1	59.96	1000	184	0.42		47	47
#	#	4520.550;14601.450	645.120;1370.880	#	#	0	#	#	0	0	0	#	5	#	#	0	0	#	1001000	1.000	1.000	1	10.67	959	185	0.47		6	6
#	1	#	#	10	3	#	#	#	#	0	0	#	#	0	0	#	#	#	1010100	0.035	0.714	1	38.59	960	186	0.37		12	18
#	#	-5684.510;5740.510	-322.560;322.560	#	5	#	#	4	#	#	0	#	0	0	1	0	0	#	1110100	0.000	0.429	1	29.10	833	188	0.53		6	12
4	2	-3696.330;3696.330	-287.280;287.280	1	#	#	#	3	#	0	#	#	#	#	0	#	0	#	1100100	1.000	1.000	1	66.67	447	189	0.47		6	6
#	#	#	#	#	1	0	0	#	#	#	#	1	0	0	#	0	0	#	1000100	1.000	1.000	1	28.50	969	195	0.42		6	6
#	#	#	#	2	#	#	#	#	#	0	0	0	#	#	#	0	#	#	0100001	0.000	-0.166	2	58.98	841	199	0.26		6	74
#	#	#	#	2	#	#	#	#	#	0	0	0	#	#	#	0	#	#	1000100	0.000	0.452	2	58.98	929	199	0.26		24	74
2	#	4255.620;12768.380	#	6	0	#	0	4	#	0	0	0	#	0	0	0	0	#	0010100	0.000	0.429	1	11.71	974	200	0.68		7	7
2	#	4255.620;12768.380	#	6	0	#	0	4	#	0	0	0	#	0	0	0	0	#	0101000	0.000	0.429	1	11.71	974	200	0.68		7	7
6	3	-7053.630;7059.630	#	#	1	0	0	#	0	#	0	1	5	0	#	#	#	#	1010100	1.000	1.000	1	24.17	979	205	0.58		6	6
6	3	-7053.630;7059.630	#	#	1	0	0	3	0	#	0	1	5	0	#	0	#	#	1010100	1.000	1.000	1	24.17	979	205	0.68		6	6
1	#	#	-267.120;267.120	#	#	0	0	6	#	#	1	#	#	#	#	#	#	#	0000001	0.003	-0.566	1	30.65	982	208	0.32		19	25
1	#	#	-267.120;267.120	#	#	0	0	6	#	#	1	#	#	#	#	#	#	#	1111100	0.035	0.714	1	30.65	982	208	0.32		25	25
5	#	-4022.360;4042.360	-238.920;244.920	#	#	0	2	#	0	#	#	0	0	#	#	0	1	#	1100101	1.000	1.000	2	23.83	988	214	0.53		6	6
5	#	-4022.360;4042.360	-238.920;244.920	#	2	0	2	#	0	#	#	#	0	#	#	0	1	#	1100101	1.000	1.000	1	23.83	988	214	0.53		6	6
4	2	#	-218.880;254.880	#	#	0	#	#	#	#	0	0	0	0	#	#	0	0	0000010	0.000	-0.143	1	44.65	966	216	0.53		12	25
#	#	-3788.350;4052.350	-181.520;201.520	6	1	#	9	#	0	#	0	1	0	#	#	#	0	0	0010100	1.000	1.000	1	27.17	991	217	0.58		6	6
#	4	-6496.580;6496.580	-317.520;317.520	1	1	0	1	3	0	0	0	#	#	0	0	#	#	0	0010101	0.000	0.429	1	36.14	992	218	0.74		6	12
4	#	-7340.670;7668.670	-284.497;213.640	8	#	#	0	2	#	0	#	#	#	#	0	0	0	0	1000100	0.000	0.429	1	30.87	993	219	0.58		6	18
4	#	-6266.570;6502.570	-266.160;278.160	10	#	0	3	#	0	0	0	#	1	#	0	0	#	0	1100010	1.000	1.000	1	34.43	994	220	0.68		7	7
#	#	-6032.620;7856.620	#	#	#	#	3	7	0	#	0	#	7	#	0	1	1	0	1001000	0.000	-0.429	1	15.57	995	221	0.53		7	7
#	#	-6032.620;7856.620	#	#	#	#	3	7	0	#	0	#	7	#	0	1	1	0	0110111	0.000	0.429	2	15.57	995	221	0.53		7	7
4	1	#	-357.516;174.360	8	2	0	0	#	#	#	0	#	#	0	#	0	0	0	0100000	1.000	1.000	1	68.33	996	222	0.63		6	6
#	#	-3939.360;4125.360	#	#	6	0	#	#	#	#	0	#	#	#	0	0	#	0	1100100	0.000	0.314	1	52.33	868	223	0.37		6	30
#	4	-3745.340;3871.340	-327.600;327.600	6	#	#	5	4	0	0	#	0	1	#	0	0	#	0	0000100	0.000	0.143	1	18.00	999	225	0.68		7	7
3	1	-5492.500;5708.500	#	#	6	#	3	#	#	0	0	0	#	#	#	1	0	#	1001010	1.000	1.000	1	24.86	1000	226	0.53		7	7
#	1	-7080.690;8376.690	#	#	#	0	3	#	0	#	0	#	#	0	0	1	0	0	0100100	0.000	-0.165	1	29.05	961	226	0.58		6	13
6	1	#	#	10	0	#	#	#	0	0	0	0	#	0	#	0	#	#	1011100	1.000	1.000	2	21.00	873	228	0.53		5	5
5	#	#	#	#	#	#	3	#	#	0	0	0	2	#	#	#	0	#	1100110	1.000	1.000	1	27.00	874	229	0.37		5	5
5	#	#	#	#	2	#	3	4	#	0	0	0	2	#	#	0	0	#	1100110	1.000	1.000	1	27.00	874	229	0.53		5	5
#	#	-7916.710;2343.155	-294.480;330.480	7	3	#	#	3	#	0	0	1	#	0	0	0	0	#	1010100	1.000	1.000	1	12.60	877	232	0.63		5	5
#	#	-7916.710;7988.710	-294.480;330.480	7	3	#	#	3	#	0	0	1	#	#	0	0	0	#	1010100	1.000	1.000	2	12.60	877	232	0.58		5	5
2	3	-6820.610;6844.610	-287.280;287.280	#	1	0	0	6	#	1	1	#	0	0	#	1	1	#	1111100	1.000	1.000	1	9.80	878	233	0.74		5	5
6	#	#	-236.880;236.880	#	1	#	0	7	#	#	#	#	0	#	0	#	1	#	1011100	0.000	0.429	1	32.21	943	234	0.42		12	12
6	#	#	-236.880;236.880	#	1	#	0	7	#	#	#	#	0	#	0	#	1	#	0100001	0.000	-0.143	1	32.21	943	234	0.42		12	12
5	1	-2881.270;3167.270	-288.000;468.000	#	#	0	#	#	1	#	0	0	0	#	0	#	0	#	1100000	0.000	0.294	1	35.45	880	235	0.58		5	17
5	1	2709.751;3167.270	-288.000;468.000	#	#	0	#	#	1	#	0	0	#	#	0	#	0	#	1100000	0.000	0.486	1	5.20	235	235	0.53		0	0
#	4	#	#	#	2	#	#	#	0	0	#	0	#	#	0	#	#	0	0101000	0.029	0.702	1	51.64	934	236	0.37		17	23
