-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	0	0	#	0	0	#	0	0	#	0	0	#	#	1	0	0	0	#	#	#	#	000000000100000000000000000000000000000000000	0.763	0.973	1	118.03	898	11	0.57		43	60
#	#	#	#	0	0	0	#	0	0	#	0	0	0	0	#	#	0	0	0	0	0	#	000010000000000000000000000000001000000000000	0.383	0.909	1	177.63	750	13	0.61		31	263
0	#	#	0	#	0	0	#	#	#	#	0	#	0	0	#	0	#	0	#	#	0	#	000000000000001000000000000000000000000000000	0.394	0.911	2	152.86	860	14	0.43		5	297
1	#	0	0	#	0	0	0	0	#	#	#	0	#	#	0	#	1	0	0	0	1	#	000000000010000000000000000000000000000000000	0.390	0.910	3	43.64	780	15	0.61		5	42
#	#	0	#	0	0	#	#	#	#	0	0	0	#	0	0	#	0	#	#	#	0	0	000010000000000000000000010000000000000000000	0.355	0.902	1	155.59	16	16	0.48		2	360
#	#	0	1	0	#	#	0	0	#	1	#	#	#	#	0	0	#	1	0	#	#	#	000000000000000000000000000000000000000001000	0.763	0.973	1	19.20	867	17	0.43		5	5
#	#	0	1	#	#	#	0	#	#	#	#	#	0	0	#	#	0	#	0	0	0	1	000000000000000000000000100000000000000001000	0.635	0.956	1	25.62	663	18	0.43		4	13
1	#	0	#	0	0	0	#	0	#	#	#	#	#	#	0	0	#	0	0	0	0	#	000000000000000000000000000000001000000000000	0.455	0.924	2	143.77	950	19	0.52		65	202
#	0	#	#	0	#	#	0	0	0	0	#	0	#	0	0	0	0	0	0	0	#	#	000000000000000000000100000000000000000000000	0.417	0.916	5	177.99	959	23	0.61		17	248
1	#	0	#	#	0	#	0	0	0	#	#	0	#	#	0	#	#	#	0	#	#	#	000010000000000000000000000000001000000000000	0.589	0.948	1	132.51	950	25	0.39		81	288
0	#	#	0	#	#	0	#	0	0	0	#	#	#	0	#	#	#	0	1	0	0	#	000000000100000000000000000000000000000000010	0.476	0.928	1	113.18	671	26	0.48		2	95
1	#	0	#	#	#	0	0	0	0	#	#	#	#	1	0	0	1	0	#	0	#	0	000000000010000000000000000000000000000000000	0.460	0.925	1	33.70	780	29	0.57		6	25
1	#	0	#	#	#	0	#	#	0	0	#	0	#	#	0	#	#	0	#	#	1	0	000000000000000000000000000000010000000000000	0.515	0.936	3	46.11	958	30	0.43		19	45
0	#	#	0	0	#	#	0	#	#	#	#	#	0	0	#	1	#	#	#	0	0	#	000000000000000000000000000000100000000000000	0.378	0.907	2	37.14	845	33	0.39		5	47
#	0	#	#	0	#	0	#	#	0	0	#	0	#	#	#	0	#	#	#	0	0	0	000000000000000000000001000000000000000000000	0.412	0.915	4	146.95	994	35	0.43		28	430
#	0	0	0	#	#	#	0	#	#	0	0	1	0	#	1	0	#	0	#	#	0	0	000000000000000000000000000000000000001000000	0.942	0.994	2	41.45	940	37	0.57		15	15
1	#	#	#	0	#	0	#	0	0	#	0	#	#	0	0	#	1	0	#	#	1	#	000010000000000000000000000000001000000000001	0.257	0.873	1	36.61	683	38	0.48		2	14
#	0	0	#	0	#	0	0	0	1	0	1	0	#	#	#	1	#	1	0	#	0	1	000000000000000000000000000000000000100000000	1.000	1.000	2	5.50	684	39	0.65		2	2
#	0	0	0	#	#	0	0	#	0	#	#	#	1	0	0	#	0	0	0	0	#	#	000000000000000000000000000000010000000000000	0.498	0.933	3	128.76	949	41	0.57		21	74
#	#	0	#	#	#	#	#	#	0	0	0	0	1	1	0	0	1	0	#	#	1	#	000010000000000000000000000000000000000000000	0.574	0.946	1	25.46	849	42	0.52		6	14
0	#	#	#	0	#	0	#	0	1	1	1	#	0	#	0	1	#	#	0	#	0	1	000000000000000000000000000000000000100000000	1.000	1.000	2	12.00	688	43	0.57		2	2
#	#	#	#	#	#	#	0	#	0	#	0	0	0	0	#	#	#	0	#	0	0	0	000000000000000000000000000000000001000000000	0.384	0.909	4	152.23	934	44	0.43		17	410
#	0	0	0	0	0	0	#	0	#	#	1	#	1	0	#	0	1	0	#	#	1	#	000000000000000000000000000000010000000000000	1.000	1.000	1	24.00	905	48	0.61		6	6
#	#	0	0	1	0	0	#	#	0	#	#	0	1	#	#	#	0	#	0	0	0	0	000010000000000000000000000000000000000000001	0.712	0.967	1	40.75	804	49	0.57		8	16
1	0	#	0	1	0	0	0	0	0	#	0	0	0	0	0	#	0	0	#	#	#	#	000010000000000000000000000000000000000000001	1.000	1.000	1	50.40	523	51	0.70		5	5
#	0	#	1	0	0	0	1	0	#	0	1	#	#	#	0	1	#	#	#	0	0	0	000000000100000000000000000000000000000001000	1.000	1.000	1	22.00	697	52	0.61		2	2
0	0	#	1	#	0	#	#	0	0	#	#	0	0	0	#	#	#	#	#	#	#	#	000000000000000000000000000000000000000001000	0.666	0.960	4	59.65	985	53	0.39		67	87
0	0	0	0	#	#	#	#	#	#	0	#	0	0	0	#	#	#	#	1	0	0	#	000000000100000000000000000000000000000000000	0.739	0.970	2	111.99	960	54	0.48		54	76
0	0	#	#	0	0	0	1	#	0	#	1	#	0	#	0	#	0	#	#	#	#	#	000000000100000000000000000000000000000000000	0.763	0.973	1	29.00	881	57	0.48		5	5
1	#	#	#	0	#	0	0	0	#	0	#	0	#	1	#	#	#	#	#	0	0	0	000010000000000000000000000000000000000000000	0.822	0.981	3	31.50	871	58	0.48		15	16
0	#	0	0	#	0	0	0	0	0	#	0	#	0	#	#	0	#	#	#	0	#	#	000000010000000000000000000000000000000000000	0.391	0.910	1	153.80	706	61	0.52		2	181
0	#	#	0	#	#	0	0	#	0	#	#	0	0	#	#	#	0	#	0	0	0	#	000000000000000000000000000000000000000000010	0.417	0.916	3	147.20	984	62	0.48		22	241
#	0	0	#	#	0	#	0	0	#	0	#	#	1	#	0	0	#	#	#	0	1	#	000010000000000000000000000000000000000000001	0.310	0.890	1	40.64	708	63	0.48		2	31
#	0	#	1	#	#	0	#	#	0	#	#	#	0	#	#	#	#	#	#	0	0	0	000000000001000000000000000000000000000001000	0.466	0.926	1	67.15	602	64	0.35		5	64
0	0	#	#	#	0	#	#	#	#	#	#	0	#	0	0	#	#	0	#	0	0	#	100000000000000000000000000000000000000000000	0.486	0.930	2	130.63	972	65	0.39		87	324
0	0	#	#	#	0	#	0	#	#	#	#	0	#	#	0	1	#	0	#	0	0	#	100000000000000000000000000000000000000000000	0.460	0.925	1	57.48	966	65	0.43		11	41
0	#	#	0	#	0	#	#	#	#	0	#	#	#	#	#	#	0	#	1	#	#	#	000000000000000000000000000000000000101000000	0.257	0.873	1	100.82	711	66	0.26		2	98
#	0	0	#	#	0	0	0	0	0	#	0	#	0	#	#	#	0	0	#	#	#	#	000000000000000000000000000000000000001000000	0.427	0.919	3	165.11	940	67	0.48		26	246
#	#	1	#	#	0	#	#	#	0	#	#	#	#	0	#	#	0	#	#	0	0	0	100000000000000100000000000000000000000000000	0.505	0.934	1	78.82	713	68	0.35		4	113
0	1	#	#	#	#	#	#	0	0	0	#	0	#	0	0	0	#	0	#	#	0	#	000000000000000000000000000000001000000000000	0.822	0.981	4	84.68	895	70	0.48		27	32
#	#	#	0	0	0	#	0	0	0	0	0	0	#	#	#	#	#	#	#	#	#	#	000000000000000000000000100000000000000000000	0.379	0.907	3	140.81	952	75	0.39		29	495
1	0	0	0	0	#	0	#	0	#	#	0	#	#	#	0	0	#	0	0	#	0	#	000010000000000000000000000000000000000000000	0.902	0.990	1	171.87	913	76	0.57		89	100
#	0	#	0	1	0	#	#	0	0	0	0	#	#	#	#	#	0	#	0	#	#	#	000000000000000000000000000000000000000000001	0.814	0.980	4	98.12	932	77	0.43		32	35
#	1	0	#	#	0	0	#	0	#	#	#	0	#	0	#	0	1	0	0	#	0	0	000000000000000000000000000000010000000000000	0.470	0.927	3	37.90	723	78	0.57		5	11
1	0	#	#	0	#	0	0	#	#	#	0	#	1	#	0	1	0	#	#	0	0	#	000010000000000000000000000000000000000000000	0.861	0.985	1	36.00	947	79	0.52		9	9
0	0	1	1	0	#	#	#	#	0	1	1	0	#	#	1	0	#	#	#	#	#	#	000000000000000000000000100000000000000001000	0.283	0.881	1	16.67	725	80	0.48		2	6
0	#	0	#	0	#	#	#	0	0	0	#	#	1	0	0	1	0	0	#	#	0	0	000000000000000000000000000000001000000000000	1.000	1.000	1	23.00	727	82	0.61		2	2
#	0	#	#	0	#	0	#	#	0	0	#	0	#	#	0	0	#	#	#	0	0	0	000000000000000000000001000000000000000000000	0.417	0.916	2	147.68	994	87	0.48		25	340
#	#	#	0	#	1	#	#	#	0	#	0	#	#	0	#	#	0	0	#	0	#	0	000000000000000000000000000000000000000000010	0.910	0.991	2	65.83	903	89	0.39		19	19
#	#	0	0	#	0	0	0	0	#	#	0	0	1	#	#	#	#	#	0	0	0	#	000000000010000000000000000000010000000000000	0.253	0.872	2	124.21	833	91	0.52		4	156
0	#	0	0	0	0	0	#	0	0	#	0	0	#	#	1	0	0	0	#	#	0	#	000000000100000000000000000000000000000000000	0.758	0.973	1	118.08	898	92	0.65		37	52
0	#	0	0	#	0	0	#	#	0	#	0	0	#	#	1	0	0	0	#	#	#	#	000000000100000000000000000000000000000000000	0.758	0.973	2	118.08	898	92	0.52		37	52
#	#	0	#	#	0	1	0	0	0	#	#	0	0	#	1	#	#	#	0	#	0	0	000000000000000000000000100000000000100000000	0.565	0.944	2	65.32	738	93	0.52		2	32
0	1	#	0	#	#	#	#	#	0	0	1	#	#	1	#	0	#	#	#	0	#	0	000000000000000000000000000000001000000000000	1.000	1.000	1	10.00	739	94	0.43		3	3
#	#	#	#	0	0	0	#	#	0	1	0	0	0	#	0	#	0	#	#	#	1	1	100000000000000000000000000000000000000000000	0.740	0.970	2	16.00	741	96	0.52		2	3
0	#	#	0	#	#	0	0	0	#	0	#	0	1	0	#	#	#	0	#	#	#	0	000000000000000000000000000000010000000000000	0.629	0.955	2	98.60	949	97	0.48		28	54
#	0	1	#	#	0	0	0	0	0	#	1	#	#	0	0	0	#	0	#	0	#	0	100000000000000000000000000000000000000000000	0.924	0.992	1	68.38	972	98	0.61		17	17
0	#	0	0	0	#	#	0	#	0	1	#	#	0	0	#	0	#	#	#	#	0	0	000000000000000000000000000000000000010000000	0.534	0.939	2	70.37	965	100	0.52		7	19
#	0	#	#	0	#	#	0	0	#	0	#	0	#	0	#	0	0	0	0	0	#	#	000000000000000000000100000000000000000000000	0.400	0.913	1	152.19	959	101	0.52		14	281
#	#	0	0	0	0	#	#	#	0	#	#	0	0	#	#	#	#	0	#	0	#	0	010000000000000000000000000000000000000000000	0.378	0.907	4	150.19	882	102	0.43		9	353
#	0	#	1	0	#	1	0	#	0	#	#	0	#	#	1	0	#	0	#	0	1	1	000000000000000000000000100000000000000000000	1.000	1.000	1	16.50	748	103	0.57		2	2
#	#	0	0	#	#	0	0	0	#	0	0	#	0	#	1	#	#	0	#	#	0	0	000000000000000000000000000000000001000000000	0.429	0.919	1	104.23	934	104	0.52		8	64
1	#	#	0	#	0	#	#	#	0	0	0	#	0	#	0	#	0	#	0	0	#	0	000010000000000000000000000000000000000000000	0.827	0.981	2	160.65	974	105	0.52		99	104
#	#	#	0	#	#	0	0	0	#	#	#	#	#	#	0	0	0	#	0	#	#	0	000000000000000000000000000000000000000100000	0.355	0.902	3	152.88	752	107	0.39		3	386
0	0	0	0	0	0	0	#	0	#	0	0	#	#	0	#	#	0	0	0	1	0	#	000000000000000000000000000000000010000000000	1.000	1.000	2	29.00	754	109	0.70		4	4
#	0	#	#	#	#	#	#	#	#	#	#	#	#	1	#	0	#	#	0	#	#	#	000010000000000000000000000001000000000000000	0.389	0.910	1	49.02	756	111	0.17		2	39
#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	0	0	0	#	#	#	#	#	000000000000000000000000000000000001000000000	0.358	0.902	3	146.96	987	113	0.17		9	457
0	0	0	#	0	#	0	0	0	0	#	0	#	0	#	#	#	1	0	#	#	0	#	000000000010000000000000000000000000000000000	1.000	1.000	2	63.50	759	114	0.57		2	2
0	0	#	#	0	0	#	#	#	1	#	1	0	#	#	#	#	#	#	0	0	1	1	100000000000000000000000000000000000100000000	0.861	0.985	2	3.00	760	115	0.48		2	3
#	0	0	0	#	0	0	0	#	0	#	#	#	1	0	0	#	0	0	0	0	#	#	000000000000000000000000000000010000000000000	0.502	0.933	2	128.78	949	123	0.61		19	66
1	#	0	#	0	#	#	#	#	0	#	#	#	1	0	0	#	1	0	0	#	#	0	000010000000000000000000000000000000000000000	0.444	0.922	1	58.11	950	125	0.48		9	37
1	#	0	0	0	#	#	#	#	#	#	#	#	1	0	0	0	1	#	0	0	#	0	000010000000000000000000000000000000000000000	0.444	0.922	1	58.11	950	125	0.52		9	37
#	0	1	0	0	#	0	0	#	0	#	#	0	#	#	1	1	#	0	#	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	2	10.50	773	128	0.61		2	2
0	0	#	#	#	#	#	0	#	0	0	0	#	0	#	#	#	0	#	#	#	0	0	000000000000000000000000000000000010000000000	0.387	0.909	2	140.72	754	130	0.43		4	285
1	#	0	0	#	0	0	0	0	#	#	#	0	#	#	0	#	1	0	#	0	1	#	000000000010000000000000000000000000000000000	0.383	0.909	1	43.84	780	135	0.57		3	35
1	#	0	0	#	0	0	0	0	#	#	#	0	#	#	0	#	1	#	0	0	1	#	000000000010000000000000000000000000000000000	0.383	0.909	1	43.84	780	135	0.57		3	35
#	0	#	1	#	0	#	#	0	0	#	#	0	#	0	#	#	#	#	#	#	#	#	000000000000000000000000000000000000000001000	0.665	0.960	1	59.65	985	136	0.30		61	79
0	0	#	1	#	#	#	#	0	0	#	#	0	0	0	0	#	#	#	#	#	#	#	000000000000000000000000000000000000000001000	0.761	0.973	2	74.86	985	136	0.39		49	56
#	#	#	0	0	#	0	#	#	0	0	#	0	#	#	#	0	#	#	#	0	0	0	000000000000000000000001000000000000000000000	0.381	0.908	1	141.73	994	140	0.43		23	477
0	0	0	#	0	0	0	#	#	#	1	1	0	#	0	#	#	0	0	#	0	#	#	000000000100000000000000000000000000000000000	0.400	0.913	3	53.70	881	141	0.57		7	31
0	0	0	#	#	0	#	#	0	#	#	0	0	#	0	0	#	0	#	#	#	0	0	000000000100000000000000000000000000000000000	0.464	0.926	2	160.62	961	142	0.52		24	127
0	#	#	0	#	0	0	#	0	0	#	0	0	#	#	1	0	0	0	1	#	#	0	000000000100000000000000000000000000000000000	0.734	0.970	1	112.81	898	143	0.61		24	35
0	#	0	0	0	0	0	#	0	0	#	0	0	#	#	1	0	#	0	#	#	#	#	000000000100000000000000000000000000000000000	0.745	0.971	1	118.18	898	143	0.57		32	46
0	#	0	1	0	#	0	0	0	1	1	1	#	#	0	#	#	0	1	#	0	#	#	000000000000000000000000000000000000100001000	1.000	1.000	1	7.17	867	144	0.61		6	6
1	#	0	0	#	#	0	#	#	0	0	#	0	#	#	#	#	1	0	#	#	1	0	000000000000000000000000000000010000000000000	0.553	0.942	1	43.87	958	146	0.48		16	34
1	#	0	#	#	#	0	#	#	0	#	#	0	#	#	0	#	#	0	#	#	1	0	000000000000000000000000000000010000000000000	0.531	0.939	1	46.26	958	146	0.39		16	37
#	#	#	#	#	0	0	0	#	#	#	#	0	0	0	#	0	0	#	0	#	#	0	100000000001000000000000000000000000000000000	0.277	0.879	2	159.20	792	147	0.43		2	306
1	#	0	0	1	0	0	#	#	0	#	#	0	1	#	#	#	0	0	0	0	0	0	000010000000000000000000000000000000000000001	0.773	0.975	1	35.86	804	148	0.65		6	7
#	#	0	0	1	0	#	#	#	0	#	#	0	#	#	0	0	0	#	0	0	0	0	000010000000000000000000000000000000000000001	0.668	0.960	1	99.88	804	148	0.57		11	36
#	#	1	0	#	0	#	0	0	#	1	1	#	0	0	0	#	0	#	#	0	#	#	000000000000100000000000000000000000010000000	0.272	0.878	2	26.11	794	149	0.52		2	16
0	0	1	#	#	#	#	0	#	0	0	#	#	#	0	#	#	#	0	0	#	0	0	100000000000000000000000000000000000000000000	0.911	0.991	1	93.37	995	150	0.48		63	67
#	0	1	#	#	0	0	#	0	0	#	1	#	#	0	0	0	0	0	#	0	#	0	100000000000000000000000000000000000000000000	0.894	0.989	1	70.95	972	153	0.61		15	16
0	0	1	#	#	0	0	0	0	0	#	1	#	#	0	0	0	0	0	#	0	#	0	100000000000000000000000000000000000000000000	0.942	0.994	1	72.62	972	153	0.70		15	15
1	#	#	0	#	0	#	#	#	#	0	0	#	0	#	0	#	0	0	0	0	#	0	000010000000000000000000000000000000000000000	0.841	0.983	2	161.33	974	155	0.52		93	96
1	#	#	0	#	0	#	#	#	0	0	0	#	0	#	0	#	0	0	0	#	#	0	000010000000000000000000000000000000000000000	0.823	0.981	1	156.07	974	155	0.52		93	99
1	#	0	#	0	#	0	0	#	0	#	0	#	1	#	#	0	0	0	0	#	#	0	000000000000000000000000000000000010000000000	0.343	0.899	2	123.63	914	158	0.57		6	67
#	1	#	#	#	#	#	0	#	0	0	0	#	1	0	#	0	0	0	0	0	#	0	000010000000000000000000000000001000000000001	0.507	0.934	1	95.15	804	159	0.57		3	46
0	#	0	0	0	#	#	0	0	0	0	#	0	1	1	0	0	#	#	#	#	#	#	000000000010000000000000000000000000000000000	0.521	0.937	2	27.57	833	162	0.57		7	19
0	#	0	0	#	#	0	0	0	#	#	1	#	#	#	#	#	1	#	#	#	#	0	000000000010000000000000000000000000000000000	0.526	0.938	3	22.10	808	163	0.39		3	10
0	1	#	#	#	0	#	#	0	0	0	#	0	#	0	0	0	#	0	#	#	0	#	000000000000000000000000000000001000000000000	0.805	0.979	1	84.99	895	166	0.52		24	29
#	0	0	#	0	#	#	0	0	0	0	#	0	#	0	0	0	0	0	0	0	#	#	000000000000000000000100000000000000000000000	0.424	0.918	1	185.07	959	168	0.65		13	162
0	#	#	#	0	0	#	#	#	0	0	0	#	#	0	#	1	0	0	#	0	#	#	000000000100000000000000000000000000000000000	0.485	0.930	2	60.75	814	169	0.48		5	21
1	0	0	0	0	#	0	#	0	#	#	0	#	1	#	0	#	#	0	0	#	0	#	000010000000000000000000000000000000000000000	0.844	0.983	1	128.92	937	171	0.57		37	45
#	0	0	#	0	0	#	#	0	#	#	#	0	#	#	0	#	#	0	1	0	#	0	000000000100000000000000000000000000000000000	0.772	0.974	1	96.00	961	172	0.48		26	33
0	#	0	0	0	#	#	0	#	0	0	0	#	1	1	#	0	1	0	#	#	0	0	000000000000000000000000000000001000000000000	0.453	0.924	1	25.86	819	174	0.65		2	7
1	0	#	#	0	0	#	0	#	#	0	#	0	1	1	0	0	1	0	0	#	1	0	000010000000000000000000000000000000000000000	0.740	0.970	2	31.00	820	175	0.70		4	6
0	#	0	0	0	0	0	0	0	0	#	#	#	1	1	0	#	#	0	#	0	#	#	000000000000000000000000000000000010000000000	0.406	0.914	2	28.59	823	178	0.61		2	17
0	#	#	#	#	#	0	0	#	0	#	#	0	0	#	#	#	0	#	0	0	0	#	000000000000000000000000000000000000000000010	0.398	0.912	2	130.82	984	179	0.43		21	267
#	#	0	#	#	#	#	#	#	#	#	#	#	0	#	0	0	0	#	#	#	#	#	000000000000000000000000000000000001000000000	0.368	0.905	2	148.28	987	180	0.22		7	314
#	0	0	#	#	#	0	#	#	#	#	0	#	#	0	#	#	#	#	#	0	#	0	000000000000000000000000000000000000100000010	0.248	0.870	3	160.06	830	185	0.30		3	354
#	0	#	#	#	0	#	#	#	#	#	#	0	#	#	0	#	#	0	#	0	0	0	100000000000000000000000000000000000000000000	0.440	0.921	1	139.56	972	186	0.35		66	395
#	#	0	0	#	0	0	0	0	#	#	0	0	1	#	#	0	#	#	0	0	0	#	000000000010000000000000000000010000000000000	0.259	0.874	1	125.62	833	188	0.57		2	126
1	#	#	#	0	0	0	#	0	#	#	#	#	#	#	0	0	#	0	0	0	0	#	000000000000000000000000000000001000000000000	0.450	0.923	2	143.77	950	189	0.48		53	172
0	#	#	#	#	#	1	#	#	#	#	#	0	0	0	#	#	#	#	0	#	#	1	000000000000000000000000100000000000100000000	0.565	0.944	2	21.62	841	196	0.30		2	12
0	0	#	1	#	0	#	#	0	0	#	#	0	0	0	#	#	#	0	#	#	#	#	000000000000000000000000000000000000000001000	0.639	0.956	1	64.16	922	197	0.43		44	62
0	#	#	0	0	#	#	0	#	#	#	0	0	0	0	#	#	#	0	#	0	0	#	000000000000000000000000000000100000000000000	0.403	0.913	3	149.22	980	200	0.48		14	232
#	0	0	1	#	#	#	0	#	#	#	0	#	#	0	1	0	0	#	0	#	0	0	000000000000000000000000100000000000000100000	1.000	1.000	1	25.50	847	202	0.52		2	2
#	#	0	#	#	#	#	0	#	#	#	#	0	0	#	#	0	0	0	0	0	#	#	000000000000000001000000000000000000000000000	0.364	0.904	5	149.22	971	203	0.39		6	285
#	#	0	#	0	#	#	#	#	0	0	0	0	1	1	0	0	1	0	#	0	1	#	000010000000000000000000000000000000000000000	0.551	0.942	1	31.50	849	204	0.61		4	10
#	#	0	0	#	0	#	#	#	0	0	0	0	#	1	0	0	1	0	#	#	1	0	000010000000000000000000000000000000000000000	0.583	0.947	1	30.88	849	204	0.61		5	11
#	0	#	0	1	0	#	#	0	#	0	0	#	#	#	#	#	0	#	0	#	0	#	000000000000000000000000000000000000000000001	0.792	0.977	1	99.28	932	205	0.43		26	29
1	0	0	#	#	0	0	0	0	0	0	1	0	0	0	0	#	#	0	#	#	#	0	000010000000000000000000000000000000000000000	1.000	1.000	1	69.25	1000	206	0.70		4	4
0	#	#	0	#	#	0	0	#	0	#	#	0	0	#	#	#	0	#	#	0	0	#	000000000000000000000000000000000000000000010	0.408	0.914	2	131.31	984	208	0.43		20	277
0	#	0	0	0	0	1	#	#	0	1	1	#	0	#	1	0	#	0	#	#	0	1	000000000000000000000000100000000000000000000	1.000	1.000	2	15.50	854	209	0.65		2	2
1	#	#	#	0	#	0	0	0	#	0	#	0	#	#	#	#	#	#	#	0	0	0	000010000000000000000000000000000000000000000	0.774	0.975	1	140.77	1000	210	0.43		166	186
1	0	#	0	#	0	#	#	#	#	0	#	#	#	0	#	0	#	0	#	#	1	0	000000000000000000000010000000000000000000000	0.394	0.911	2	42.54	856	211	0.43		2	14
0	1	0	#	#	0	#	0	0	#	0	0	#	1	0	#	#	0	#	0	0	1	#	000000000000000000000000000000001000000000000	1.000	1.000	1	31.50	857	212	0.61		2	2
0	#	0	0	#	#	#	#	#	#	0	#	0	0	0	#	0	#	#	1	0	0	#	000000000100000000000000000000000000000000000	0.730	0.969	1	125.02	898	214	0.48		36	53
0	#	#	0	#	0	0	#	#	#	#	#	#	0	0	#	0	#	0	#	#	0	#	000000000000001000000000000000000000000000000	0.382	0.908	2	143.47	860	215	0.39		3	283
#	#	0	0	#	#	#	#	0	0	#	#	0	#	0	0	0	#	#	#	0	0	#	000000000000000000000000000000100000000000000	0.362	0.903	2	149.91	980	217	0.43		13	323
0	#	#	0	#	#	0	0	0	#	0	#	0	1	0	#	#	#	0	#	#	0	0	000000000000000000000000000000010000000000000	0.620	0.953	1	100.44	949	219	0.52		20	39
0	#	#	#	#	#	0	0	0	#	0	#	#	1	#	#	#	#	0	#	#	#	0	000000000000000000000000000000010000000000000	0.624	0.954	2	90.72	949	219	0.35		30	57
#	#	0	#	#	#	0	#	1	#	0	#	#	0	0	0	0	0	0	0	0	0	1	000000000000000000000001000000000000000000000	1.000	1.000	2	54.00	865	220	0.61		2	2
#	#	0	#	0	0	#	0	0	#	#	#	0	0	#	#	0	0	#	#	0	#	1	000000000000000000000000000000000000000001000	0.565	0.944	1	40.81	899	222	0.48		11	20
#	0	0	#	#	0	0	0	0	0	#	0	#	0	#	#	#	0	0	0	0	#	#	000000000000000000000000000000000000001000000	0.434	0.920	1	172.20	940	224	0.57		19	152
#	#	#	0	0	0	1	0	0	0	0	0	0	#	#	#	#	#	#	#	#	#	#	000000000000000000000000100000000000000000000	0.882	0.988	2	69.20	952	225	0.43		25	25
#	#	#	0	0	0	#	0	0	0	0	0	0	#	#	#	#	0	#	#	#	#	#	000000000000000000000000100000000000000000000	0.382	0.908	1	142.66	952	225	0.43		25	366
#	0	0	0	#	#	#	0	#	#	0	0	1	0	#	1	0	#	0	#	0	0	0	000000000000000000000000000000000000001000000	0.934	0.993	1	44.15	940	230	0.61		13	13
0	#	#	#	#	#	#	#	#	#	0	1	0	0	#	#	#	0	#	0	#	0	#	000000000000000000000000000000000000100001000	0.323	0.893	2	63.68	876	231	0.35		4	54
0	0	#	0	#	0	#	#	#	#	#	#	#	#	#	0	#	#	0	#	0	0	#	100000000000000000000000000000000000000000000	0.487	0.931	2	134.27	972	232	0.35		64	242
#	#	#	#	0	0	0	#	#	0	0	#	0	#	#	0	#	#	#	#	0	#	0	000010000000000000000000000100000000000000000	0.327	0.894	1	140.46	950	233	0.39		4	461
0	#	#	0	#	#	0	1	#	#	1	1	0	#	#	#	#	0	0	#	0	0	#	000000000100000000000000000000000000010000000	0.502	0.933	1	21.67	881	236	0.48		2	6
0	0	#	0	0	0	0	1	#	0	1	1	0	0	#	0	#	0	#	#	#	#	#	000000000100000000000000000000000000000000000	0.799	0.978	1	42.50	881	236	0.61		2	2
0	#	#	#	0	0	0	1	#	#	#	1	#	0	#	0	#	#	#	#	#	#	#	000000000100000000000000000000000000000000000	0.635	0.956	2	29.60	881	236	0.35		4	5
#	#	0	#	#	0	#	#	0	#	#	0	0	1	#	#	#	1	0	0	#	#	0	000000000000000000000000000000010000000000000	0.537	0.940	1	72.68	921	238	0.43		21	45
