Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.875;1.125	-0.160;0.190	0.777;1.077	0.310;0.640	-0.206;0.284	-0.074;0.236	-0.141;0.179	0.475;0.975	#	0.010;0.320	-0.227;0.263	0.213;0.675	-0.132;0.158	0.139;0.449	0.164;0.544	0.537;0.963	0.409;0.696	100000	1.000	1.000	2	53.96	49644	315	0.94		30	30
0.136;0.576	0.306;0.716	0.382;0.742	0.454;0.734	0.401;0.901	-0.054;0.416	0.484;0.874	0.101;0.371	0.048;0.518	#	0.491;0.961	0.108;0.422	0.134;0.494	-0.022;0.448	0.155;0.495	0.172;0.509	#	000001	1.000	1.000	1	80.54	49646	317	0.88		30	30
0.199;0.639	-0.075;0.285	0.359;0.839	0.154;0.534	0.189;0.479	0.399;0.749	-0.030;0.280	-0.087;0.323	0.592;1.012	#	#	0.211;0.466	-0.040;0.280	0.347;0.627	0.316;0.716	-0.180;0.235	#	000001	1.000	1.000	2	60.66	49666	337	0.82		30	30
0.481;0.911	0.455;0.785	0.707;0.967	0.865;1.135	0.850;1.150	-0.229;0.231	#	-0.066;0.194	-0.243;0.257	-0.151;0.159	0.845;1.155	-0.096;0.258	-0.183;0.217	-0.198;0.222	-0.119;0.291	-0.013;0.372	-0.010;0.238	010000	1.000	1.000	3	33.19	49676	347	0.94		30	30
0.521;0.891	0.114;0.384	0.806;1.156	0.686;1.086	0.679;1.109	-0.106;0.234	0.217;0.687	0.620;1.090	0.630;0.900	0.488;0.918	0.485;0.925	0.117;0.471	-0.085;0.185	-0.153;0.217	0.013;0.423	0.374;0.661	0.391;0.748	000001	1.000	1.000	1	34.52	49695	366	1.00		30	30
-0.079;0.241	-0.086;0.194	-0.101;0.259	-0.097;0.313	-0.164;0.306	-0.104;0.256	-0.130;0.250	0.522;0.832	-0.168;0.322	-0.043;0.207	-0.059;0.231	0.511;0.582	-0.045;0.245	#	0.527;0.907	0.503;0.899	0.607;0.944	100000	0.003	0.714	1	15.81	388	388	0.94		0	0
#	-0.209;0.230	#	-0.265;-0.145	-0.152;0.236	#	-0.230;0.230	-0.064;0.266	-0.126;0.154	-0.593;0.282	-0.175;0.175	#	-0.137;0.278	-0.181;0.342	#	-0.090;0.273	-0.128;0.124	010000	0.075	0.967	1	10.00	389	389	0.71		0	0
0.105;0.425	0.326;0.513	-0.007;0.413	-0.098;0.342	0.045;0.485	-0.049;0.321	#	0.240;0.670	-0.001;0.429	-0.069;0.301	#	0.115;0.479	0.046;0.386	0.051;0.058	0.005;0.485	0.190;0.685	0.304;0.561	001000	0.056	0.944	1	3.33	445	445	0.88		0	0
-0.219;0.241	-0.107;0.153	#	-0.059;0.291	0.011;0.291	0.337;0.617	-0.163;0.197	-0.225;0.225	-0.021;0.379	0.438;0.577	-0.047;0.243	-0.172;0.172	-0.096;0.696	-0.024;0.436	#	-0.129;0.129	-0.134;0.134	010000	0.100	1.000	1	1.00	464	464	0.88		0	0
0.684;1.024	0.676;1.136	0.595;1.095	0.717;1.057	0.154;0.644	0.183;0.573	0.368;0.858	#	0.086;0.586	0.239;0.719	0.382;0.632	0.257;0.729	0.089;0.569	-0.128;0.302	0.370;0.690	0.186;0.473	0.418;0.666	100000	1.000	1.000	2	63.77	49813	484	0.94		30	30
-0.206;0.244	0.122;0.612	-0.179;0.241	-0.155;0.245	-0.180;0.230	0.002;0.462	0.316;0.481	0.437;0.837	-0.108;0.142	-0.197;0.263	-0.141;0.179	0.816;1.062	0.222;0.472	#	0.818;1.078	0.647;0.934	0.740;1.058	100000	0.100	1.000	1	1.00	489	489	0.94		0	0
0.013;0.403	-0.310;-0.082	-0.181;0.189	-0.146;0.154	-0.109;0.151	-0.144;0.226	-0.172;0.308	#	-0.100;0.300	-0.192;0.228	-0.290;0.519	-0.186;0.295	-0.118;0.362	-0.015;0.425	-0.061;0.399	0.268;0.713	#	000010	0.016	0.833	1	5.17	498	498	0.88		0	0
0.348;0.618	-0.086;0.374	0.840;1.160	-0.038;0.282	0.855;1.145	-0.090;0.240	0.838;1.088	0.478;0.758	0.031;0.411	0.124;0.444	-0.032;0.258	0.253;0.597	-0.169;0.241	0.105;0.355	0.360;0.800	0.062;0.527	0.532;0.820	001000	1.000	1.000	1	38.48	49866	537	1.00		30	30
-0.194;0.196	0.606;1.046	#	#	0.785;1.215	0.749;1.009	0.597;0.947	0.261;0.591	-0.157;0.303	-0.029;0.401	0.772;1.052	-0.125;0.229	0.431;0.831	#	-0.095;0.185	0.415;0.712	0.168;0.555	000001	1.000	1.000	2	29.68	49873	544	0.82		30	30
0.788;1.068	#	#	0.696;1.196	0.845;1.155	0.803;1.093	0.763;1.133	#	0.697;1.007	#	0.845;1.155	0.305;0.708	-0.146;0.344	0.513;0.933	0.334;0.714	0.230;0.724	0.293;0.759	000001	1.000	1.000	1	24.29	49903	574	0.76		30	30
0.855;1.145	0.795;1.205	-0.150;0.150	-0.170;0.170	0.790;1.210	0.825;1.175	0.860;1.140	0.126;0.406	0.376;0.716	-0.197;0.203	#	-0.133;0.133	0.805;1.195	-0.052;0.238	#	-0.077;0.279	-0.188;0.188	010000	1.000	1.000	2	28.37	49913	584	0.88		30	30
0.156;0.566	-0.047;0.423	0.355;0.735	0.226;0.606	-0.083;0.267	0.612;1.032	0.073;0.443	0.371;0.791	0.206;0.476	#	-0.157;0.273	0.049;0.471	0.169;0.609	0.263;0.543	0.131;0.631	#	-0.050;0.426	000010	1.000	1.000	1	95.26	49925	596	0.88		30	30
#	-0.090;0.400	-0.001;0.299	0.503;0.913	0.493;0.833	-0.021;0.339	-0.075;0.395	#	0.197;0.597	0.488;0.918	-0.196;0.304	0.056;0.458	0.192;0.452	0.260;0.640	0.038;0.408	0.205;0.492	#	000001	1.000	1.000	1	74.34	49929	600	0.82		30	30
0.264;0.664	0.398;0.718	0.330;0.740	0.381;0.701	0.540;0.840	0.277;0.717	0.460;0.800	-0.019;0.291	0.113;0.443	0.154;0.634	0.446;0.896	0.085;0.536	0.493;0.873	0.262;0.762	0.022;0.302	0.004;0.311	0.251;0.588	000100	1.000	1.000	1	70.52	49938	609	1.00		30	30
0.476;0.856	0.222;0.602	0.173;0.423	0.875;1.125	0.875;1.125	0.452;0.842	0.245;0.535	0.295;0.585	#	#	-0.082;0.408	0.690;1.064	#	#	0.274;0.554	#	0.543;0.960	000001	1.000	1.000	1	55.84	49968	639	0.71		30	30
0.216;0.225	-0.120;0.230	#	#	-0.141;0.259	-0.135;0.215	-0.150;0.270	0.426;0.676	#	-0.170;0.250	-0.127;0.243	0.393;0.659	-0.127;0.223	-0.104;0.186	0.265;0.745	0.355;0.820	0.438;0.726	001000	0.004	0.718	1	27.64	668	668	0.82		0	0
0.316;0.736	0.270;0.740	-0.184;0.246	-0.100;0.360	0.112;0.382	0.688;1.078	0.412;0.712	#	0.133;0.443	0.426;0.866	0.200;0.500	0.320;0.693	#	#	0.472;0.912	0.151;0.586	0.322;0.659	000001	1.000	1.000	1	53.55	48337	692	0.82		21	21
#	-0.118;0.222	0.009;0.349	0.428;0.738	0.312;0.582	0.422;0.682	-0.149;0.261	0.258;0.728	0.850;1.150	0.870;1.130	-0.074;0.306	-0.167;0.167	-0.003;0.317	0.596;0.876	-0.205;0.205	0.342;0.699	0.005;0.372	000001	1.000	1.000	2	37.39	48367	722	0.94		21	21
0.308;0.808	0.865;1.115	0.657;1.137	0.708;1.108	0.008;0.388	0.675;1.125	0.850;1.150	0.353;0.603	-0.135;0.165	0.355;0.675	0.453;0.933	0.291;0.586	0.383;0.743	0.561;0.981	0.359;0.729	0.348;0.843	0.289;0.785	010000	1.000	1.000	1	49.33	48395	750	1.00		30	30
-0.177;0.223	0.606;0.856	0.554;1.014	0.730;1.130	0.840;1.160	0.780;1.090	-0.097;0.163	-0.107;0.383	0.118;0.388	0.448;0.778	0.760;1.240	0.495;0.800	0.464;0.754	-0.047;0.243	0.599;0.849	0.652;0.949	0.366;0.813	010000	1.000	1.000	1	30.18	48407	762	1.00		30	30
0.019;0.519	0.264;0.644	0.518;0.768	0.684;0.964	0.438;0.788	#	0.249;0.739	0.363;0.773	0.255;0.565	0.267;0.517	0.537;0.987	0.155;0.616	0.433;0.833	#	0.005;0.305	0.327;0.812	#	000001	1.000	1.000	2	60.01	48409	764	0.82		30	30
0.198;0.688	0.651;1.011	#	0.182;0.512	0.590;0.890	0.760;1.240	-0.184;0.186	#	0.318;0.788	#	0.013;0.323	0.099;0.413	0.136;0.456	0.099;0.529	-0.096;0.224	-0.178;0.178	0.330;0.627	000001	1.000	1.000	1	39.26	48465	820	0.82		30	30
0.291;0.681	0.299;0.559	0.439;0.829	0.307;0.677	0.220;0.640	#	0.169;0.649	0.184;0.464	0.304;0.704	0.287;0.667	0.250;0.650	0.203;0.546	0.513;0.943	-0.128;0.142	0.192;0.472	0.152;0.568	0.176;0.563	000001	1.000	1.000	1	88.67	48498	853	0.94		30	30
-0.250;0.268	-0.132;0.230	#	-0.145;0.145	-0.152;0.278	#	-0.230;0.332	-0.064;0.236	-0.126;0.154	-0.208;0.282	#	-0.182;0.316	-0.137;0.163	-0.181;0.209	#	-0.014;0.267	-0.153;-0.128	010000	0.045	0.924	1	19.50	879	879	0.76		0	0
-0.032;0.328	-0.196;0.224	0.492;0.762	#	0.750;1.250	-0.157;0.293	0.323;0.803	-0.150;0.150	0.513;0.763	0.362;0.742	0.795;1.205	0.005;0.270	0.750;1.250	0.656;0.956	-0.140;0.240	-0.109;0.297	0.273;0.660	010000	1.000	1.000	2	32.19	48561	916	0.94		30	30
0.107;0.477	0.151;0.441	0.346;0.766	0.324;0.674	0.306;0.806	-0.055;0.385	0.388;0.728	0.530;0.790	#	0.575;0.845	0.175;0.675	0.409;0.684	0.411;0.771	-0.173;0.197	0.327;0.627	0.308;0.674	0.526;0.794	000001	1.000	1.000	2	76.29	48574	929	0.94		30	30
0.419;0.739	0.732;1.132	0.507;1.007	0.592;0.982	0.810;1.190	#	0.760;1.240	0.035;0.495	#	0.825;1.175	0.656;1.096	0.236;0.540	0.775;1.225	-0.159;0.191	#	0.258;0.713	0.414;0.821	010000	1.000	1.000	1	27.00	48582	937	0.82		30	30
-0.191;0.229	-0.189;0.201	-0.096;0.164	-0.081;0.189	-0.159;0.241	0.022;0.452	-0.164;0.196	#	-0.113;0.267	-0.074;0.306	-0.175;0.265	0.089;0.531	-0.101;-0.033	0.082;0.342	-0.014;0.476	0.005;0.401	0.122;0.459	000010	0.100	1.000	1	17.33	957	957	0.94		0	0
#	-0.154;0.216	-0.179;0.261	-0.100;0.210	#	0.290;0.560	-0.210;0.250	0.435;0.885	0.374;0.854	#	-0.102;0.198	0.573;0.917	0.157;0.627	0.467;0.508	0.383;0.863	0.531;0.828	0.542;0.909	000110	0.100	1.000	1	1.50	977	977	0.82		0	0
-0.206;-0.141	0.122;0.612	-0.179;0.241	-0.155;0.245	-0.180;0.230	0.002;0.462	0.046;0.316	0.437;0.837	-0.108;0.142	-0.197;0.432	-0.141;0.179	0.816;1.062	0.222;0.472	#	0.818;1.078	0.647;0.934	0.740;1.058	100000	0.100	1.000	1	4.00	1008	1008	0.94		0	0
-0.082;0.218	-0.006;0.364	-0.106;0.204	0.360;0.610	0.384;0.764	0.629;0.909	#	0.078;0.548	-0.128;0.202	0.276;0.716	0.394;0.704	0.405;0.739	0.125;0.505	-0.191;0.239	0.351;0.691	-0.060;0.385	0.198;0.674	000100	1.000	1.000	1	80.76	48661	1016	0.94		30	30
0.870;1.130	0.322;0.782	0.665;1.055	0.830;1.150	#	0.678;0.948	0.538;0.868	0.353;0.843	0.478;0.748	0.229;0.599	0.721;1.091	0.303;0.548	0.122;0.612	0.124;0.624	#	0.391;0.707	0.331;0.738	000001	1.000	1.000	1	52.84	48715	1070	0.88		30	30
0.133;0.473	-0.002;0.308	-0.195;0.265	#	-0.162;0.258	-0.082;0.368	0.008;0.408	-0.140;0.140	0.277;0.587	-0.075;0.285	0.130;0.440	-0.123;0.123	0.738;0.998	-0.161;0.229	-0.167;0.173	-0.202;0.213	-0.134;0.134	000001	1.000	1.000	1	80.30	48718	1073	0.94		30	30
0.803;1.103	0.710;1.200	0.633;0.893	0.552;0.902	0.502;0.952	0.295;0.745	0.566;0.976	0.357;0.857	0.416;0.816	0.534;0.964	0.505;0.885	0.508;0.970	0.713;1.033	0.870;1.130	#	0.524;0.891	0.490;0.936	001000	1.000	1.000	1	26.24	48751	1106	0.94		30	30
0.573;0.933	#	0.408;0.698	0.043;0.363	0.815;1.185	0.327;0.777	0.403;0.843	-0.119;0.261	0.559;0.979	0.875;1.125	0.810;1.190	-0.061;0.351	0.099;0.519	0.419;0.799	-0.010;0.350	0.113;0.380	-0.204;0.282	000010	1.000	1.000	1	32.71	48752	1107	0.94		30	30
0.526;0.906	0.552;0.902	0.146;0.606	0.372;0.742	0.273;0.563	0.333;0.633	0.230;0.570	0.041;0.481	0.234;0.524	0.436;0.696	0.428;0.888	0.047;0.381	0.394;0.874	0.373;0.803	0.018;0.508	0.163;0.430	0.117;0.534	000100	1.000	1.000	4	62.32	48762	1117	1.00		30	30
#	-0.189;0.241	0.081;0.381	#	0.358;0.608	0.682;1.102	0.286;0.546	-0.144;0.276	0.807;1.077	0.758;1.178	#	0.417;0.829	0.447;0.927	-0.124;0.276	0.192;0.632	0.070;0.417	#	000001	1.000	1.000	1	50.28	48790	1145	0.76		30	30
0.615;1.035	0.720;1.110	0.580;0.960	0.750;1.030	0.103;0.373	#	0.671;0.921	0.025;0.385	0.692;1.092	0.736;1.076	0.555;0.875	0.381;0.675	0.429;0.829	0.817;1.067	0.226;0.626	0.052;0.300	0.243;0.600	001010	1.000	1.000	4	34.86	48802	1157	0.94		30	30
0.271;0.551	0.402;0.652	0.152;0.572	0.275;0.555	0.306;0.796	0.078;0.488	0.447;0.867	-0.028;0.442	0.075;0.415	0.075;0.455	0.461;0.831	-0.003;0.252	0.301;0.681	0.030;0.470	-0.006;0.304	0.019;0.365	0.190;0.567	000110	1.000	1.000	1	75.58	48807	1162	1.00		30	30
0.534;0.824	-0.201;0.209	0.218;0.708	-0.002;0.248	0.769;1.139	0.595;0.915	0.571;0.981	0.664;0.954	0.359;0.679	0.428;0.738	0.715;0.985	0.540;0.795	0.635;1.135	0.361;0.731	0.352;0.832	0.387;0.763	0.575;0.982	100001	1.000	1.000	1	38.94	48884	1239	1.00		30	30
0.174;0.484	0.438;0.718	-0.132;0.308	0.158;0.498	0.045;0.485	0.686;1.036	0.031;0.361	0.206;0.566	0.514;0.864	#	-0.090;0.330	0.339;0.722	0.782;1.042	0.797;1.057	0.242;0.742	0.236;0.543	0.346;0.614	000001	1.000	1.000	1	48.87	48934	1289	0.94		30	30
0.681;1.041	0.197;0.587	#	-0.073;0.187	#	0.805;1.195	-0.133;0.357	0.008;0.468	0.179;0.559	0.845;1.155	#	0.429;0.871	-0.130;0.250	-0.124;0.126	0.409;0.689	0.318;0.595	0.319;0.706	000010	1.000	1.000	1	49.15	48946	1301	0.82		30	30
-0.076;0.224	-0.095;0.185	-0.182;0.228	-0.207;0.273	-0.236;0.254	0.144;0.434	-0.157;0.223	0.529;0.859	0.161;0.631	0.134;0.594	#	0.774;1.098	-0.170;0.240	0.084;0.394	0.792;1.072	0.601;0.967	0.697;1.044	100010	1.000	1.000	4	91.73	49072	1427	0.94		30	30
0.761;1.041	0.367;0.847	0.498;0.808	0.448;0.888	0.377;0.717	0.476;0.806	0.658;0.908	0.188;0.588	#	0.400;0.840	#	#	0.158;0.458	0.428;0.698	0.579;0.989	0.443;0.750	0.505;0.961	000001	1.000	1.000	1	45.89	49089	1444	0.82		30	30
0.308;0.618	0.834;1.114	0.361;0.731	0.123;0.393	#	#	0.289;0.689	0.093;0.433	0.080;0.510	0.481;0.841	0.176;0.616	0.602;0.916	#	-0.064;0.366	0.435;0.735	0.068;0.326	0.618;1.114	000001	1.000	1.000	1	53.48	49112	1467	0.82		30	30
0.268;0.668	0.429;0.749	0.391;0.731	0.463;0.943	0.550;0.980	0.273;0.653	0.589;0.919	0.321;0.711	0.161;0.651	0.176;0.586	0.602;0.872	0.169;0.444	0.329;0.809	0.203;0.613	0.136;0.576	0.183;0.559	#	000110	1.000	1.000	5	64.06	49125	1480	0.94		30	30
0.596;0.946	0.643;0.983	0.591;0.931	0.608;0.868	#	0.335;0.725	0.449;0.909	0.147;0.437	0.732;1.022	0.365;0.845	0.283;0.753	0.021;0.463	0.216;0.526	0.379;0.809	0.147;0.537	#	0.057;0.444	000010	1.000	1.000	1	45.25	49174	1529	0.88		30	30
-0.150;0.200	0.822;1.162	0.592;1.032	#	0.820;1.180	0.636;1.106	0.760;1.240	0.225;0.555	-0.192;0.258	0.543;1.033	0.770;1.230	0.586;0.842	0.116;0.606	0.097;0.407	0.709;1.039	0.313;0.649	0.430;0.836	010000	1.000	1.000	1	28.46	49175	1530	0.94		30	30
0.347;0.757	0.196;0.456	#	0.300;0.630	#	0.433;0.883	0.474;0.834	0.360;0.740	0.418;0.888	0.677;0.937	#	0.294;0.598	0.000;0.480	-0.139;0.141	0.316;0.746	0.270;0.537	0.300;0.627	000001	1.000	1.000	1	85.81	49202	1557	0.82		30	30
0.008;0.458	#	#	0.456;0.796	#	0.294;0.594	0.346;0.666	0.090;0.430	-0.160;0.170	0.599;0.959	0.282;0.722	0.026;0.272	#	-0.171;0.249	-0.112;0.228	0.087;0.562	0.018;0.395	000001	1.000	1.000	1	69.95	49265	1620	0.76		30	30
0.523;0.773	0.810;1.190	0.377;0.717	0.124;0.444	0.108;0.538	0.230;0.480	0.750;1.250	0.065;0.515	#	0.646;0.956	0.553;1.043	0.185;0.666	-0.078;0.202	0.330;0.780	0.056;0.396	0.026;0.362	0.364;0.791	000001	1.000	1.000	1	51.44	49277	1632	0.94		29	29
0.528;0.778	-0.202;0.208	0.394;0.864	0.789;1.109	0.636;0.936	-0.029;0.451	-0.124;0.236	-0.210;0.210	0.427;0.877	#	0.620;0.890	0.074;0.388	#	0.234;0.674	0.020;0.350	-0.165;0.191	0.185;0.631	000010	1.000	1.000	4	34.58	49278	1633	0.88		29	29
0.370;0.860	#	0.479;0.749	0.443;0.893	0.301;0.791	0.019;0.299	0.199;0.619	0.380;0.670	-0.024;0.236	-0.016;0.344	0.317;0.577	0.259;0.583	-0.163;0.317	-0.031;0.329	0.182;0.502	0.298;0.793	0.315;0.562	000100	1.000	1.000	1	76.01	49280	1635	0.94		29	29
0.190;0.680	#	0.132;0.582	0.371;0.861	0.540;0.880	0.293;0.763	0.400;0.730	0.219;0.719	0.176;0.596	0.384;0.884	0.490;0.910	0.289;0.692	0.346;0.636	#	0.323;0.723	0.438;0.784	0.320;0.776	000001	1.000	1.000	1	104.27	49298	1653	0.88		29	29
0.057;0.317	#	-0.090;0.300	-0.077;0.193	-0.025;0.415	0.185;0.234	0.039;0.369	0.203;0.533	-0.104;0.146	-0.170;0.200	0.039;0.319	0.640;0.905	0.188;0.468	-0.210;0.280	0.529;0.839	0.272;0.727	0.682;1.020	001000	0.011	0.800	1	10.80	1690	1690	0.94		0	0
0.200;0.460	-0.116;0.174	#	0.011;0.421	-0.159;-0.055	-0.090;0.452	-0.172;0.352	0.182;0.462	#	-0.095;0.255	#	-0.003;0.531	-0.219;0.212	-0.089;0.342	0.074;0.384	#	#	000010	0.014	0.815	1	23.78	1692	1692	0.71		0	0
-0.220;0.220	-0.115;0.315	-0.229;0.231	#	#	-0.112;0.278	0.815;1.185	0.510;0.628	-0.185;0.205	#	-0.093;0.367	-0.147;0.147	-0.170;0.170	0.765;1.235	-0.140;0.140	0.174;0.490	-0.017;0.271	010000	0.100	1.000	1	1.00	1703	1703	0.82		0	0
-0.220;0.220	-0.115;0.315	-0.229;0.231	#	#	-0.112;0.278	0.815;1.435	0.628;0.888	-0.185;0.205	#	-0.093;0.367	-0.147;0.147	-0.170;0.170	0.765;1.235	-0.140;0.140	0.174;0.490	-0.017;0.271	010000	1.000	1.000	1	37.83	49348	1703	0.82		28	28
0.105;0.515	0.677;1.313	-0.092;0.228	-0.078;0.202	0.023;0.383	0.289;0.689	0.417;0.887	0.245;0.595	0.100;0.550	0.546;0.775	0.033;0.483	#	0.307;0.787	0.585;0.885	0.112;0.602	0.327;0.752	0.225;0.622	000001	0.100	1.000	1	2.00	1721	1721	0.94		0	0
#	#	-0.210;0.220	-0.116;0.134	-0.118;0.132	-0.240;0.250	-0.242;-0.194	0.811;1.061	-0.125;0.155	-0.207;0.223	-0.172;0.188	0.819;1.094	-0.226;0.234	-0.107;0.193	0.777;1.097	0.802;1.099	#	000010	0.003	0.708	1	46.32	1733	1733	0.82		0	0
-0.153;0.227	-0.137;0.153	#	0.153;0.174	-0.221;0.259	-0.115;0.195	-0.117;0.143	0.653;1.023	0.175;0.565	0.054;0.424	-0.100;0.150	0.666;1.039	0.384;0.684	0.060;0.400	0.698;0.978	0.665;0.972	0.682;0.990	001010	0.100	1.000	1	10.00	1758	1758	0.94		0	0
0.805;1.195	0.018;0.458	0.245;0.745	0.296;0.626	0.144;0.564	0.136;0.506	0.802;1.132	0.700;1.050	0.141;0.611	-0.131;0.289	0.407;0.867	0.539;0.991	0.437;0.867	0.094;0.514	0.344;0.834	0.566;0.893	0.857;0.975	000010	0.100	1.000	1	1.00	1767	1767	1.00		0	0
0.166;0.626	-0.015;0.415	0.212;0.542	0.072;0.512	0.379;0.859	-0.091;0.399	0.023;0.503	#	-0.125;0.135	-0.130;0.300	0.258;0.568	0.539;0.922	0.357;0.372	-0.161;0.229	0.550;0.910	0.443;0.690	0.523;0.970	100000	0.100	1.000	1	5.50	1768	1768	0.94		0	0
0.748;1.018	0.075;0.535	0.598;0.848	0.481;0.871	0.214;0.654	0.049;0.489	0.303;0.573	-0.166;0.304	0.430;0.850	0.018;0.448	0.622;0.701	#	0.563;0.813	0.500;0.920	0.123;0.553	-0.028;0.368	0.238;0.595	001000	0.100	1.000	1	1.00	1771	1771	0.94		0	0
#	0.139;0.389	0.512;0.792	0.840;1.160	0.810;1.190	0.634;0.964	-0.125;0.155	0.297;0.717	0.012;0.492	0.291;0.419	0.257;0.567	0.523;0.789	-0.099;0.201	0.125;0.495	0.619;0.869	#	0.067;0.543	000001	0.100	1.000	1	1.00	1801	1801	0.88		0	0
0.247;0.359	0.084;0.504	0.518;0.908	0.415;0.905	0.458;0.718	0.524;0.994	0.055;0.305	0.357;0.777	0.034;0.434	0.580;0.960	0.130;0.410	#	-0.163;0.167	0.006;0.316	0.078;0.518	0.447;0.763	0.289;0.666	000001	0.100	1.000	1	1.00	1812	1812	0.94		0	0
-0.088;0.372	0.081;0.521	0.069;0.319	0.132;0.612	0.422;0.752	0.024;0.394	0.049;0.439	0.553;0.873	0.271;0.721	#	0.392;0.812	0.541;0.846	#	0.442;0.702	0.585;0.895	0.551;0.734	#	001000	0.100	1.000	1	1.00	1813	1813	0.82		0	0
0.259;0.689	0.176;0.586	#	0.715;0.724	0.294;0.694	0.132;0.542	0.080;0.480	0.430;0.810	0.218;0.558	0.263;0.513	0.209;0.649	#	-0.006;0.494	0.193;0.483	#	0.562;0.898	#	001000	0.100	1.000	1	2.67	1817	1817	0.76		0	0
-0.042;0.208	-0.039;0.331	-0.087;0.213	-0.099;0.231	-0.431;0.315	0.102;0.512	#	0.571;1.041	-0.095;0.405	0.330;0.590	0.111;0.461	0.710;1.044	0.151;0.451	-0.206;0.244	0.633;1.083	0.547;0.707	0.650;1.096	100000	0.100	1.000	1	2.50	1860	1860	0.94		0	0
0.286;0.666	-0.079;0.361	-0.022;0.258	0.494;0.884	0.070;0.540	0.284;0.594	0.535;0.875	0.378;0.552	0.476;0.776	-0.091;0.289	#	-0.021;0.293	0.121;0.581	0.218;0.508	0.038;0.388	0.178;0.534	0.335;0.712	000001	0.100	1.000	1	1.00	1870	1870	0.94		0	0
0.185;0.555	0.393;0.893	0.252;0.742	0.840;1.160	#	0.845;1.155	0.129;0.559	0.456;0.906	0.193;0.473	0.340;0.760	0.088;0.388	0.347;0.819	0.443;0.823	0.539;0.641	0.256;0.686	0.501;0.877	0.259;0.557	000001	0.100	1.000	1	1.00	1875	1875	0.94		0	0
