X1	X1	Class
-1.2774	2.9637	001
-0.1376	2.3335	001
-1.7332	0.9393	001
-1.4179	0.9704	001
-0.9003	2.0507	001
-2.0532	0.2308	001
-2.4069	2.8191	001
-1.7056	3.3206	001
-3.0891	2.5915	001
-1.0478	0.9737	001
-2.4269	2.2151	001
-2.8914	4.0015	001
-1.4476	3.1249	001
-1.0721	2.4882	001
-1.7098	2.7818	001
-1.0251	3.2016	001
-0.8254	2.1718	001
-0.8901	1.9047	001
-1.686	1.7587	001
-1.2627	2.1445	001
-1.994	1.7922	001
-0.1497	1.3166	001
-2.144	1.1685	001
-2.5309	2.5437	001
-2.0601	1.4945	001
-2.121	1.1582	001
-2.6436	0.7734	001
-2.6421	0.7714	001
0.0468	2.6141	001
-1.44	1.6744	001
-2.3262	2.5537	001
-0.5455	3.0871	001
-2.3573	1.7613	001
-0.1277	2.6489	001
-1.7608	4.5902	001
-2.1875	1.7	001
-0.3191	2.4004	001
-1.9988	1.7268	001
-1.492	2.999	001
-0.8496	1.642	001
-1.2403	1.6269	001
-2.0716	2.593	001
-3.3839	1.9805	001
-2.1995	1.3876	001
-0.8896	0.0619	001
-0.5372	0.7408	001
-1.2803	1.5164	001
-0.6708	2.7051	001
0.221	1.8255	011
0.1727	1.7478	011
0.325	2.6882	011
-0.063	2.0884	011
0.1207	2.4137	011
-0.0196	2.3028	011
0.1421	2.0665	011
-0.0587	2.428	011
0.3266	1.9639	011
-0.4938	2.1727	011
0.7469	1.5087	011
-0.0855	1.6136	011
-0.3896	2.242	011
-0.3621	1.888	011
-0.0131	1.8703	011
0.4117	2.1215	011
-0.2983	1.1686	011
0.1325	1.8861	011
-0.2611	1.6585	011
0.3019	2.1494	011
-1.4903	0.5511	101
-1.9845	1.2046	101
-1.5314	0.9559	101
-1.5714	0.3582	101
-1.3342	-0.0896	101
-1.6979	0.3759	101
-1.9267	0.5424	101
-1.5239	-0.1317	101
-1.3415	0.912	101
-1.3859	0.9488	101
-1.2911	0.4963	101
-1.7962	0.376	101
-1.7694	0.7376	101
-1.7116	0.7312	101
-1.3048	0.4595	101
-1.4103	0.3241	101
-1.389	0.5815	101
-1.1782	1.0887	101
-1.2857	0.0399	101
-1.5551	1.0433	101
-1.0807	0.7409	111
-0.7647	0.5618	111
-0.3183	0.3267	111
-0.1491	0.1182	111
-0.7731	0.7059	111
-0.5581	0.749	111
-0.7581	0.5643	111
-0.9874	0.529	111
-0.1392	0.4716	111
-0.6522	0.4626	111
-0.4903	0.4336	111
0.1682	0.9533	111
-0.3919	0.867	111
-0.5083	0.3821	111
-0.2722	0.7339	111
-0.424	0.3167	111
-0.8815	0.2733	111
-0.2678	0.4613	111
-0.4973	0.5655	111
-0.5281	0.3212	111
